504103401118410; LEVOCARB; LEVOCARB; NOT FOUND; 250 MG + 25 MG COM CT 3 ENV AL POLIET X 10; BS2
504103501112414; LIPLESS; LIPLESS; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 30; BS2
504112070050503; LIPLESS; LIPLESS; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 60; BS2
504114010051303; LIPLESS; LIPLESS; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 90; BS2
504109401111415; LEVEL; LEVEL; NOT FOUND; 100 MCG + 20 MCG COM REV CT BL AL PLAS INC X 21; BS2
504109402116313; LEVEL; LEVEL; NOT FOUND; 100 MCG + 20 MCG COM REV CT BL AL PLAS INC X 63; BS2
504103801116415; LOVELLE; LOVELLE; NOT FOUND; 0.25MG + 0.05MG COM REV CT BL AL PLAS INC X 21 ; BS2
504113101117416; LAMOTRIX; LAMOTRIX; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 30; BS2
504113103111415; LAMOTRIX; LAMOTRIX; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; BS2
504113102113414; LAMOTRIX; LAMOTRIX; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; BS2
504110802114419; LEVOTROID; LEVOTROID; NOT FOUND; 100 MCG COM CT 5 BL AL PLAS AMB X 20; BS2
504110803110417; LEVOTROID; LEVOTROID; NOT FOUND; 100 MCG COM CT BL AL PLAS AMB X 20; BS2
504110801118410; LEVOTROID; LEVOTROID; NOT FOUND; 100 MCG COM CT 2 BL AL PLAS AMB X 15; BS2
504110805113413; LEVOTROID; LEVOTROID; NOT FOUND; 12.5 MCG COM CT 5 BL AL PLAS AMB X 20; BS2
504110806111414; LEVOTROID; LEVOTROID; NOT FOUND; 12.5 MCG COM CT BL AL PLAS AMB X 20; BS2
504110804117415; LEVOTROID; LEVOTROID; NOT FOUND; 12.5 MCG COM CT 2 BL AL PLAS AMB X 15; BS2
504110808112418; LEVOTROID; LEVOTROID; NOT FOUND; 125 MCG COM CT 5 BL AL PLAS AMB X 20; BS2
504110809119416; LEVOTROID; LEVOTROID; NOT FOUND; 125 MCG COM CT BL AL PLAS AMB X 20; BS2
504110807116411; LEVOTROID; LEVOTROID; NOT FOUND; 125 MCG COM CT 2 BL AL PLAS AMB X 15; BS2
504110811113411; LEVOTROID; LEVOTROID; NOT FOUND; 150 MCG COM CT 5 BL AL PLAS AMB X 20; BS2
504110812111412; LEVOTROID; LEVOTROID; NOT FOUND; 150 MCG COM CT BL AL PLAS AMB X 20; BS2
504110810117413; LEVOTROID; LEVOTROID; NOT FOUND; 150 MCG COM CT 2 BL AL PLAS AMB X 15; BS2
504110814112416; LEVOTROID; LEVOTROID; NOT FOUND; 175 MCG COM CT 5 BL AL PLAS AMB X 20; BS2
504110815119414; LEVOTROID; LEVOTROID; NOT FOUND; 175 MCG COM CT BL AL PLAS AMB X 20; BS2
504110813116418; LEVOTROID; LEVOTROID; NOT FOUND; 175 MCG COM CT 2 BL AL PLAS AMB X 15; BS2
504110817111410; LEVOTROID; LEVOTROID; NOT FOUND; 200 MCG COM CT 5 BL AL PLAS AMB X 20; BS2
504110818118419; LEVOTROID; LEVOTROID; NOT FOUND; 200 MCG COM CT BL AL PLAS AMB X 20; BS2
504110816115412; LEVOTROID; LEVOTROID; NOT FOUND; 200 MCG COM CT 2 BL AL PLAS AMB X 15; BS2
504110820112414; LEVOTROID; LEVOTROID; NOT FOUND; 25 MCG COM CT 5 BL AL PLAS AMB X 20; BS2
504110821119412; LEVOTROID; LEVOTROID; NOT FOUND; 25 MCG COM CT BL AL PLAS AMB X 20; BS2
504110819114417; LEVOTROID; LEVOTROID; NOT FOUND; 25 MCG COM CT 2 BL AL PLAS AMB X 15; BS2
504110823111419; LEVOTROID; LEVOTROID; NOT FOUND; 300 MCG 100 COM BL AL PLAS AMB; BS2
504110824118417; LEVOTROID; LEVOTROID; NOT FOUND; 300 MCG COM CT BL AL PLAS AMB X 20; BS2
504110822115410; LEVOTROID; LEVOTROID; NOT FOUND; 300 MCG COM CT 2 BL AL PLAS AMB X 15; BS2
504110826110413; LEVOTROID; LEVOTROID; NOT FOUND; 50 MCG COM CT 5 BL AL PLAS AMB X 20; BS2
504110827117411; LEVOTROID; LEVOTROID; NOT FOUND; 50 MCG COM CT BL AL PLAS AMB X 20; BS2
504110825114415; LEVOTROID; LEVOTROID; NOT FOUND; 50 MCG COM CT 2 BL AL PLAS AMB X 15; BS2
504110829111410; LEVOTROID; LEVOTROID; NOT FOUND; 75 MCG COM CT 5 BL AL PLAS AMB X 20; BS2
504110830118415; LEVOTROID; LEVOTROID; NOT FOUND; 75 MCG COM CT BL AL PLAS AMB X 20; BS2
504110828113411; LEVOTROID; LEVOTROID; NOT FOUND; 75 MCG COM CT 2 BL AL PLAS AMB X 15; BS2
504103601117418; LIVOLON; LIVOLON; NOT FOUND; 1.25 MG COM CT BL AL PLAS INC X 30; BS2
504103603111417; LIVOLON; LIVOLON; NOT FOUND; 1.25 MG COM CT BL AL PLAS INC X 90; BS2
504103602113416; LIVOLON; LIVOLON; NOT FOUND; 2.5 MG COM CT BL AL PLAS INC X 30; BS2
