93799, ACCU-CHEK ACTIVE , ACCU CHEK ACTIVE, NOT FOUND, K 3X2 TIRAS x 150, ROC
83659, ACCU-CHEK ACTIVE , ACCU CHEK ACTIVE, NOT FOUND, K COMBO T+BD x 100, ROC
98677, ACCU-CHEK ACTIVE , ACCU CHEK ACTIVE, NOT FOUND, K COMBO T+BI x 100, ROC
98678, ACCU-CHEK ACTIVE , ACCU CHEK ACTIVE, NOT FOUND, K COMBO T+PD x 100, ROC
83656, ACCU-CHEK ACTIVE , ACCU CHEK ACTIVE, NOT FOUND, K COMBO T+TD x 75, ROC
103555, ACCU-CHEK ACTIVE , ACCU CHEK ACTIVE, NOT FOUND, K COMBO TIRA x 100, ROC
99514, ACCU-CHEK ACTIVE , ACCU CHEK ACTIVE, NOT FOUND, K COMBO TIRA x 60, ROC
98679, ACCU-CHEK ACTIVE , ACCU CHEK ACTIVE, NOT FOUND, K COMBO TIRA x 75, ROC
71072, ACCU-CHEK ACTIVE , ACCU CHEK ACTIVE, NOT FOUND, KIT 10L/10T x 1, ROC
147794, ACCU-CHEK ACTIVE , ACCU CHEK ACTIVE, NOT FOUND, KIT25 L3P2 x 75, ROC
150190, ACCU-CHEK ACTIVE , ACCU CHEK ACTIVE, NOT FOUND, METER ONLY x 1, ROC
63872, ACCU-CHEK ACTIVE , ACCU CHEK ACTIVE, NOT FOUND, TIRAS TESTE x 10, ROC
80249, ACCU-CHEK ACTIVE , ACCU CHEK ACTIVE, NOT FOUND, TIRAS TESTE x 100, ROC
63873, ACCU-CHEK ACTIVE , ACCU CHEK ACTIVE, NOT FOUND, TIRAS TESTE x 25, ROC
63874, ACCU-CHEK ACTIVE , ACCU CHEK ACTIVE, NOT FOUND, TIRAS TESTE x 50, ROC
71073, ACCU-CHEK ADVANTAG , ACCU CHEK ADVANTAG, NOT FOUND, KIT 10L/10T x 1, ROC
64612, ACCU-CHEK ADVANTAG , ACCU CHEK ADVANTAG, NOT FOUND, TEST II x 10, ROC
56544, ACCU-CHEK ADVANTAG , ACCU CHEK ADVANTAG, NOT FOUND, TEST II x 25, ROC
56545, ACCU-CHEK ADVANTAG , ACCU CHEK ADVANTAG, NOT FOUND, TEST II x 50, ROC
71074, ACCU-CHEK GO , ACCU CHEK GO, NOT FOUND, KIT 10L/10T x 1, ROC
71075, ACCU-CHEK GO , ACCU CHEK GO, NOT FOUND, TIRAS TESTE x 10, ROC
67119, ACCU-CHEK GO , ACCU CHEK GO, NOT FOUND, TIRAS TESTE x 25, ROC
67120, ACCU-CHEK GO , ACCU CHEK GO, NOT FOUND, TIRAS TESTE x 50, ROC
147795, ACCU-CHEK MULTICLI , ACCU CHEK MULTICLI, NOT FOUND, K LANC+12LAN x 1, ROC
89427, ACCU-CHEK MULTICLI , ACCU CHEK MULTICLI, NOT FOUND, LA TEST GLIC x 24, ROC
117545, ACCU-CHEK MULTICLI , ACCU CHEK MULTICLI, NOT FOUND, LANCETAS x 102, ROC
117547, ACCU-CHEK MULTICLI , ACCU CHEK MULTICLI, NOT FOUND, LANCETAS x 204, ROC
93800, ACCU-CHEK PER NANO , ACCU CHEK PER NANO, NOT FOUND, K T TES+P N x 50, ROC
76583, ACCU-CHEK PER NANO , ACCU CHEK PER NANO, NOT FOUND, KIT. x 1, ROC
93801, ACCU-CHEK PERFORMA , ACCU CHEK PERFORMA, NOT FOUND, K 3X2 TIRAS x 150, ROC
98681, ACCU-CHEK PERFORMA , ACCU CHEK PERFORMA, NOT FOUND, K COMBO T+FR x 100, ROC
83664, ACCU-CHEK PERFORMA , ACCU CHEK PERFORMA, NOT FOUND, K COMBO T+MP x 100, ROC
98683, ACCU-CHEK PERFORMA , ACCU CHEK PERFORMA, NOT FOUND, K COMBO T+PD x 75, ROC
98680, ACCU-CHEK PERFORMA , ACCU CHEK PERFORMA, NOT FOUND, K COMBO TIRA x 100, ROC
99515, ACCU-CHEK PERFORMA , ACCU CHEK PERFORMA, NOT FOUND, K COMBO TIRA x 60, ROC
98682, ACCU-CHEK PERFORMA , ACCU CHEK PERFORMA, NOT FOUND, K COMBO TIRA x 75, ROC
146862, ACCU-CHEK PERFORMA , ACCU CHEK PERFORMA, NOT FOUND, KIT MON+LAC x 1, ROC
73797, ACCU-CHEK PERFORMA , ACCU CHEK PERFORMA, NOT FOUND, KIT. x 1, ROC
147796, ACCU-CHEK PERFORMA , ACCU CHEK PERFORMA, NOT FOUND, KIT25 L3P2 x 75, ROC
73794, ACCU-CHEK PERFORMA , ACCU CHEK PERFORMA, NOT FOUND, TIRAS TESTE x 10, ROC
73795, ACCU-CHEK PERFORMA , ACCU CHEK PERFORMA, NOT FOUND, TIRAS TESTE x 25, ROC
73796, ACCU-CHEK PERFORMA , ACCU CHEK PERFORMA, NOT FOUND, TIRAS TESTE x 50, ROC
136409, ACCU-CHEK SOFT PRO , ACCU CHEK SOFT PRO, NOT FOUND, LANCETADOR x 1, ROC
89435, ACCU-CHEK SOFT.II , ACCU CHEK SOFT II, NOT FOUND, LA TEST GLIC x 200, ROC
88321, ACCU-CHEK SOFT.II , ACCU CHEK SOFT II, NOT FOUND, LA TEST GLIC x 25, ROC
129310, ACCU-CHEK SOFTCLIX , ACCU CHEK SOFTCLIX, NOT FOUND, LAN+25LAN x 1, ROC
72828, ACCUTREND , ACCUTREND, NOT FOUND, TIRAS BM LAC x 25, ROC
64019, ACCUTREND , ACCUTREND, NOT FOUND, TIRAS COLEST x 25, ROC
64020, ACCUTREND , ACCUTREND, NOT FOUND, TIRAS COLEST x 5, ROC
64018, ACCUTREND , ACCUTREND, NOT FOUND, TIRAS GLICOS x 25, ROC
64021, ACCUTREND , ACCUTREND, NOT FOUND, TIRAS TRIGLI x 25, ROC
76067, ACTEMRA , ACTEMRA, NOT FOUND, F.AMP INFUS 200 MG 10 ML x 1, ROC
76066, ACTEMRA , ACTEMRA, NOT FOUND, F.AMP INFUS 80 MG 4 ML x 1, ROC
