502812201114317; TARGIFOR; TARGIFOR; NOT FOUND; 1500 MG COM EFEV CT 5 STR AL/AL X 4; S_A
502812301119310; TARGIFOR C; TARGIFOR C; NOT FOUND; 1 G + 1 G COM EFV CT TB PLAS X 16; S_A
502812302115319; TARGIFOR C; TARGIFOR C; NOT FOUND; 500 MG + 500 MG COM EFEV CT STR X 16; S_A
502812804137327; TOPLEXIL; TOPLEXIL; NOT FOUND; 0.184MG/ML + 5MG/ML +2MG/ML XPE INF CT FR VD AMB X 100 ML; S_A
502812803130329; TOPLEXIL; TOPLEXIL; NOT FOUND; 0.184MG/ML + 5MG/ML + 2MG/ML XPE INF CT FR VD AMB X 120 ML; S_A
502812802134320; TOPLEXIL; TOPLEXIL; NOT FOUND; 0.367 MG/ML + 6.66 MG/ML + 6.66 MG/ML XPE AD CT FR VD AMB X 100 ML; S_A
502812801138322; TOPLEXIL; TOPLEXIL; NOT FOUND; 0.367 MG/ML + 6.66 MG/ML + 6.66 MG/ML XPE AD CT FR VD AMB X 120 ML; S_A
502820001110319; TICLID; TICLID; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 20; S_A
502812601155215; TAXOTERE; TAXOTERE; NOT FOUND; 20 MG SOL INJ CX FA VD INC X 0.5 ML + DIL X 1.5 ML; S_A
502812603158319; TAXOTERE; TAXOTERE; NOT FOUND; 20 MG/ML SOL INJ CX FA VD INC X 1 ML; S_A
502812604154317; TAXOTERE; TAXOTERE; NOT FOUND; 20 MG/ML SOL INJ CX FA VD INC X 4 ML; S_A
502812602151213; TAXOTERE; TAXOTERE; NOT FOUND; 80 MG SOL INJ CX FA VD INC X 2.0 ML + DIL X 6.0 ML; S_A
502813201118310; TRIATEC D; TRIATEC D; NOT FOUND; 5 MG + 25 MG COM CT BL AL PLAS INC X 30; S_A
502813202114319; TRIATEC D; TRIATEC D; NOT FOUND; 5 MG + 25 MG COM CT BL AL/AL X 30; S_A
502812901159313; TRENTAL; TRENTAL; NOT FOUND; 20 MG/ML SOL INJ CT 5 AMP VD AMB X 5 ML ; S_A
502812902112310; TRENTAL; TRENTAL; NOT FOUND; 400 MG COM REV LIB PROLONG CT BL AL PLAS INC X 20; S_A
502814070066603; TRIATEC; TRIATEC; NOT FOUND; 2.5 MG COM CT BL AL/PLAS INC X 30; S_A
502814070066703; TRIATEC; TRIATEC; NOT FOUND; 5.0 MG COM CT BL AL/PLAS INC X 30; S_A
502813301112217; TRIATEC PREVENT; TRIATEC PREVENT; NOT FOUND; 10 MG CAP GEL DURA CT FR VD AMB  X 15; S_A
502813302119215; TRIATEC PREVENT; TRIATEC PREVENT; NOT FOUND; 10 MG CAP GEL DURA CT FR VD AMB X 30; S_A
502813102111318; TRIATEC; TRIATEC; NOT FOUND; 2.5 MG COM CT BL AL/AL X 15; S_A
502813101113317; TRIATEC; TRIATEC; NOT FOUND; 2.5 MG COM CT BL AL/AL X 30; S_A
502813104112311; TRIATEC; TRIATEC; NOT FOUND; 5.0 MG COM CT BL AL/AL X 15; S_A
502812080064103; TRIATEC; TRIATEC; NOT FOUND; 5 MG COM CT  BL AL/AL X 30; S_A
502813103116313; TRIATEC; TRIATEC; NOT FOUND; 5 MG COM CT STR X 30; S_A
502812402152313; TARGOCID; TARGOCID; NOT FOUND; 66.66 MG/ML PO LIOF INJ CX FA VD INC + AMP DIL X 3 ML (200MG/3ML) ; S_A
502812401156315; TARGOCID; TARGOCID; NOT FOUND; 133.33 MG/ML PO LIOF INJ CX FA VD AMB + AMP DIL X 3 ML (400MG/3 ML) ; S_A
502824602119410; TAMCORE; TAMCORE; NOT FOUND; 160 MG COM REV CT BL AL/AL X 15; S_A
502824603115419; TAMCORE; TAMCORE; NOT FOUND; 160 MG COM REV CT BL AL/AL X 30; S_A
502824604111417; TAMCORE; TAMCORE; NOT FOUND; 160 MG COM REV CT BL AL/AL X 60; S_A
502824605118415; TAMCORE; TAMCORE; NOT FOUND; 320 MG COM REV CT BL AL/AL X 15; S_A
502824606114413; TAMCORE; TAMCORE; NOT FOUND; 320 MG COM REV CT BL AL/AL X 30; S_A
502824607110411; TAMCORE; TAMCORE; NOT FOUND; 320 MG COM REV CT BL AL/AL X 60; S_A
502824601112412; TAMCORE; TAMCORE; NOT FOUND; 80 MG COM REV CT BL AL/AL X 15; S_A
502824608117411; TAMCORE; TAMCORE; NOT FOUND; 80 MG COM REV CT BL AL/AL X 30; S_A
502824609113418; TAMCORE; TAMCORE; NOT FOUND; 80 MG COM REV CT BL AL/AL X 60; S_A
