502805501159313; GLUCANTIME; GLUCANTIME; NOT FOUND; 300 MG/ML SOL INJ CX 25 AMP VD INC X 5 ML; S_A
502805502155311; GLUCANTIME; GLUCANTIME; NOT FOUND; 300 MG/ML SOL INJ CX 50 AMP VD INC X 5 ML; S_A
502805201112311; GARDENAL; GARDENAL; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 20; S_A
502805203131313; GARDENAL; GARDENAL; NOT FOUND; 40 MG/ML SOL OR PED CT FR VD AMB GOT X 20 ML; S_A
502805204111316; GARDENAL; GARDENAL; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 20; S_A
502817702111117; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS INC X 30; S_A
502817701115119; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS INC X 60; S_A
502814801119111; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 1 MG COM CT BL AL PLAS INC X 30; S_A
502814802115111; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS INC X 30 ; S_A
502814803111118; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS INC X 60; S_A
502814804118116; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS INC X 30 ; S_A
502814805114114; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS INC X 60; S_A
502805601153317; GRANOCYTE; GRANOCYTE; NOT FOUND; 33.6 MUI PO LIOF INJ CX  5 FA VD INC + 5 SER PREENCHIDAS X 1 ML + 2 AGU; S_A
