74545, DAZOTIL , DAZOTIL, NOT FOUND, CPR 500 MG x 6, SNV
74904, DAZOTIL , DAZOTIL, NOT FOUND, SUSP 250 MG 60 ML x 1 (/5ML), SNV
49793, DEFLAREN , DEFLAREN, NOT FOUND, CREME 0.10 % 10 G x 1, SNV
72796, DEFLAREN , DEFLAREN, NOT FOUND, CREME 0.10 % 10 G x 50, SNV
56141, DERMAZOL , DERMAZOL, NOT FOUND, CREME 10 MG 25 G x 1 (/G), SNV
58997, DEXAMETASONA MG , DEXAMETASONA, DEXAMETASONA, ELIXIR 0.50 MG 120 ML x 1 (/5ML), SNV
54839, DIABECONTROL , DIABECONTROL, NOT FOUND, CPR 250 MG x 100, SNV
72287, DIABECONTROL , DIABECONTROL, NOT FOUND, CPR 250 MG x 500, SNV
49059, DILAMOL , DILAMOL, NOT FOUND, CPR 2 MG x 20, SNV
48082, DILAMOL , DILAMOL, NOT FOUND, XAR. 2 MG 120 ML x 1 (/5ML), SNV
68040, DILAVAX , DILAVAX, NOT FOUND, CPR 10 MG x 30, SNV
73820, DILAVAX , DILAVAX, NOT FOUND, CPR 10 MG x 500, SNV
