54904, PERMATON , PERMATON, NOT FOUND, CPR 100 MG x 100, SNV
49045, PIROXIL , PIROXIL, NOT FOUND, CAPS 20 MG x 10, SNV
76946, PRAZONIL , PRAZONIL, NOT FOUND, CAPS 20 MG x 30, SNV
59617, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 20 MG x 20, SNV
74967, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 20 MG x 500, SNV
59615, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 5 MG x 20, SNV
73398, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 5 MG x 500, SNV
49049, PREDVAL , PREDVAL, NOT FOUND, CPR 20 MG x 20, SNV
49048, PREDVAL , PREDVAL, NOT FOUND, CPR 5 MG x 20, SNV
78373, PROMETAZOL , PROMETAZOL, NOT FOUND, AMP. 50 MG 2 ML x 100, SNV
75212, PROMETAZOL , PROMETAZOL, NOT FOUND, AMP. 50 MG 2 ML x 25, SNV
62068, PROMETAZOL , PROMETAZOL, NOT FOUND, CPR 25 MG x 10, SNV
77752, PROMETAZOL , PROMETAZOL, NOT FOUND, CPR REVEST 25 MG x 20, SNV
62069, PROMETAZOL , PROMETAZOL, NOT FOUND, CREME 20 MG 30 G x 1 (/G), SNV
67113, PRONASTERON , PRONASTERON, NOT FOUND, CPR 1 MG x 30, SNV
56153, PRONASTERON , PRONASTERON, NOT FOUND, CPR 5 MG x 15, SNV
