75229, CARBAMAZEPINA MG , CARBAMAZEPINA, CARBAMAZEPINA, CPR 200 MG x 20, SNV
120344, CARBAMAZEPINA MG , CARBAMAZEPINA, CARBAMAZEPINA, CPR 200 MG x 500, SNV
28878, CICLOVULON , CICLOVULON, NOT FOUND, CPR x 21, SNV
46923, CIMETIVAL , CIMETIVAL, NOT FOUND, CPR 200 MG x 40, SNV
73216, CIMETIVAL , CIMETIVAL, NOT FOUND, CPR 200 MG x 500, SNV
52858, CINAZON , CINAZON, NOT FOUND, CPR 25 MG x 30, SNV
74880, CINAZON , CINAZON, NOT FOUND, CPR 25 MG x 500, SNV
52859, CINAZON , CINAZON, NOT FOUND, CPR 75 MG x 30, SNV
72789, CINAZON , CINAZON, NOT FOUND, CPR 75 MG x 500, SNV
73419, CLOR. VERAPAMIL MG , CLOR VERAPAMIL, CLORIDRATO VERAPAMIL, CPR REVEST 80 MG x 20, SNV
75740, CLOR. VERAPAMIL MG , CLOR VERAPAMIL, CLORIDRATO VERAPAMIL, CPR REVEST 80 MG x 30, SNV
49822, CONVULSAN , CONVULSAN, NOT FOUND, CPR 200 MG x 20, SNV
69319, CONVULSAN , CONVULSAN, NOT FOUND, CPR 200 MG x 500, SNV
