70035, CARBONATO LITIO MG , CARBONATO LITIO, NOT FOUND, CPR 300 MG x 200, ATV
70036, CARBONATO LITIO MG , CARBONATO LITIO, NOT FOUND, CPR 300 MG x 50, ATV
70037, CARBONATO LITIO MG , CARBONATO LITIO, NOT FOUND, CPR 300 MG x 500, ATV
143758, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 12.5 MG x 30, ATV
160459, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 3.12 MG x 30, ATV
158987, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 6.25 MG x 30, ATV
75473, CEFELIC , CEFELIC, NOT FOUND, CPR 100 MG x 14, ATV
75471, CEFELIC , CEFELIC, NOT FOUND, CPR 50 MG x 20, ATV
75472, CEFELIC , CEFELIC, NOT FOUND, CPR 50 MG x 30, ATV
146374, CLO TERBINAFINA MG , CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 250 MG x 14, ATV
128814, CLO TERBINAFINA MG , CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 250 MG x 28, ATV
113623, CLOPIDOGREL MG , CLOPIDOGREL, CLOPIDOGREL, CPR REVEST 75 MG x 100, ATV
150164, CLOPIDOGREL MG , CLOPIDOGREL, CLOPIDOGREL, CPR REVEST 75 MG x 14, ATV
150165, CLOPIDOGREL MG , CLOPIDOGREL, CLOPIDOGREL, CPR REVEST 75 MG x 28, ATV
84721, CLOPIDOGREL MG , CLOPIDOGREL, CLOPIDOGREL, CPR REVEST 75 MG x 30, ATV
80832, CLOR.MEMANTINA MG , CLOR MEMANTINA, CLORIDRATO MEMANTINA, CPR REVEST 10 MG x 30, ATV
85419, CLOR.MEMANTINA MG , CLOR MEMANTINA, CLORIDRATO MEMANTINA, CPR REVEST 10 MG x 60, ATV
69928, CLOR.PAROXETINA MG , CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR 20 MG x 30, ATV
46164, CRONOGERON , CRONOGERON, NOT FOUND, CPR 25 MG x 30, ATV
46165, CRONOGERON , CRONOGERON, NOT FOUND, CPR 75 MG x 30, ATV
