1008501440012; SOL-CART B; SOL CART B; NOT FOUND; PO HEMO CX CT PLAS X 650 G ; BME
1008501440020; SOL-CART B; SOL CART B; NOT FOUND; PO HEMO CX 10 CT PLAS X 650 G; BME
1008501440039; SOL-CART B; SOL CART B; NOT FOUND; PO HEMO CX CT PLAS X 760 G; BME
1008501440047; SOL-CART B; SOL CART B; NOT FOUND; PO HEMO CX 10 CT PLAS X 760 G; BME
1008500440030; SOLUÇÃO DE RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND; SOL INJ CX/10 AMP PLAS X 1000 ML; BME
1008500440013; SOLUÇÃO DE RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND; AMP 250 ML; BME
1008500440021; SOLUÇÃO DE RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND; AMP 500 ML; BME
1008500440061; SOLUÇÃO DE RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND; SOL INJ IV CX 10 FA PLAS INC SIST FECH X 1000 ML; BME
1008500440043; SOLUÇÃO DE RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND; SOL INJ IV CX 30 FA PLAS INC SIST FECH X 250 ML; BME
1008500440051; SOLUÇÃO DE RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND; SOL INJ IV CX 20 FA PLAS INC SIST FECH X 500 ML; BME
1008500350133; SOLUÇÃO DE CLORETO DE SÓDIO B.BRAUN; SOLUCAO CLORETO SODIO B BRAUN; NOT FOUND; 9 MG/ML SOL INJ IV CX 50 FA PLAS INC SIST FECH X 50 ML; BME
1008500350109; SOLUÇÃO DE CLORETO DE SÓDIO B.BRAUN; SOLUCAO CLORETO SODIO B BRAUN; NOT FOUND; 9 MG/ML SOL INJ IV CX 30 FA PLAS INC SIST FECH X 250 ML; BME
1008500350117; SOLUÇÃO DE CLORETO DE SÓDIO B.BRAUN; SOLUCAO CLORETO SODIO B BRAUN; NOT FOUND; 9 MG/ML SOL INJ IV CX 20 FA PLAS INC SIST FECH X 500 ML; BME
1008500350125; SOLUÇÃO DE CLORETO DE SÓDIO B.BRAUN; SOLUCAO CLORETO SODIO B BRAUN; NOT FOUND; 9 MG/ML SOL INJ IV CX 10 FA PLAS INC SIST FECH X 1000ML; BME
1008500350095; SOLUÇÃO DE CLORETO DE SÓDIO B.BRAUN; SOLUCAO CLORETO SODIO B BRAUN; NOT FOUND; 9 MG/ML SOL INJ IV CX 50 FA PLAS INC SIST FECH X 100 ML; BME
1008500350023; SOLUÇÃO DE CLORETO DE SODIO B.BRAUN; SOLUCAO CLORETO SODIO B BRAUN; NOT FOUND; 9 MG/ML SOL INJ IV CX 20 FA PLAS INC SIST FECH X 100 ML; BME
1008500350032; SOLUÇÃO DE CLORETO DE SODIO B.BRAUN; SOLUCAO CLORETO SODIO B BRAUN; NOT FOUND; 9 MG/ML SOL INJ IV CX 10 FA PLAS INC SIST FECH X 500 ML; BME
1008500240354; SOLUÇÃO DE GLICOSE B. BRAUN; SOLUCAO GLICOSE B BRAUN; NOT FOUND; AMP 1000 ML 10%; BME
1008500240338; SOLUÇÃO DE GLICOSE B. BRAUN; SOLUCAO GLICOSE B BRAUN; NOT FOUND; AMP 250 ML 10%; BME
1008500240346; SOLUÇÃO DE GLICOSE B. BRAUN; SOLUCAO GLICOSE B BRAUN; NOT FOUND; AMP 500 ML 10%; BME
1008500240265; SOLUÇÃO DE GLICOSE B. BRAUN; SOLUCAO GLICOSE B BRAUN; NOT FOUND; 100 MG/ML SOL INJ IV CX 10 FA PLAS INC SIST FECH X 1000 ML; BME
1008500240249; SOLUÇÃO DE GLICOSE B. BRAUN; SOLUCAO GLICOSE B BRAUN; NOT FOUND; 100 MG/ML SOL INJ IV CX 30 FA PLAS INC SIST FECH X 250 ML; BME
1008500240257; SOLUÇÃO DE GLICOSE B. BRAUN; SOLUCAO GLICOSE B BRAUN; NOT FOUND; 100 MG/ML SOL INJ IV CX 20 FA PLAS INC SIST FECH X 500 ML; BME
1008500240321; SOLUÇÃO DE GLICOSE B. BRAUN; SOLUCAO GLICOSE B BRAUN; NOT FOUND; AMP 1000 ML 5%; BME
1008500240291; SOLUÇÃO DE GLICOSE B. BRAUN; SOLUCAO GLICOSE B BRAUN; NOT FOUND; AMP 125 ML 5%; BME
1008500240303; SOLUÇÃO DE GLICOSE B. BRAUN; SOLUCAO GLICOSE B BRAUN; NOT FOUND; AMP 250 ML 5%; BME
1008500240311; SOLUÇÃO DE GLICOSE B. BRAUN; SOLUCAO GLICOSE B BRAUN; NOT FOUND; AMP 500 ML 5%; BME
1008500240230; SOLUÇÃO DE GLICOSE B. BRAUN; SOLUCAO GLICOSE B BRAUN; NOT FOUND; 50 MG/ML SOL INJ IV CX 10 FA PLAS INC SIST FECH X 1000 ML; BME
1008500240214; SOLUÇÃO DE GLICOSE B. BRAUN; SOLUCAO GLICOSE B BRAUN; NOT FOUND; 50 MG/ML SOL INJ IV CX 30 FA PLAS INC SIST FECH X 250 ML; BME
1008500240222; SOLUÇÃO DE GLICOSE B. BRAUN; SOLUCAO GLICOSE B BRAUN; NOT FOUND; 50 MG/ML SOL INJ IV CX 20 FA PLAS INC SIST FECH X 500 ML; BME
1008500240206; SOLUÇÃO DE GLICOSE B. BRAUN; SOLUCAO GLICOSE B BRAUN; NOT FOUND; 50 MG/ML SOL INJ IV CX 50 FA PLAS INC SIST FECH X 100 ML; BME
1008500240273; SOLUÇÃO DE GLICOSE B. BRAUN; SOLUCAO GLICOSE B BRAUN; NOT FOUND; 50 MG/ML SOL INJ IV CX 50 FA PLAS INC SIST FECH X 50 ML; BME
1008500240397; SOLUÇÃO DE GLICOSE B. BRAUN; SOLUCAO GLICOSE B BRAUN; NOT FOUND; AMP 500 ML 50%; BME
1008500240567; SOLUÇÃO DE GLICOSE B. BRAUN; SOLUCAO GLICOSE B BRAUN; NOT FOUND; 50 MG/ML SOL INJ IV CX 10 FA PLAS INC SIST FECH X 500 ML; BME
1008500240559; SOLUÇÃO DE GLICOSE B. BRAUN; SOLUCAO GLICOSE B BRAUN; NOT FOUND; 50 MG/ML SOL INJ IV CX 20 FA PLAS INC SIST FECH X 100 ML; BME
1008500420012; SOLUCÃO DE MANITOL 20%; SOLUCAO MANITOL 20; NOT FOUND; AMP 250 ML 20%; BME
1008500420077; SOLUCÃO DE MANITOL 20%; SOLUCAO MANITOL 20; NOT FOUND; 200 MG/ML SOL INJ IV CX 30 FA PLAS INC SIST FECH X 250 ML; BME
1008501080016; SOLUCÃO DE MANITOL 20%; SOLUCAO MANITOL 20; NOT FOUND; AMP 2000 ML 3%; BME
1008500770013; SORBITOL MANITOL; SORBITOL MANITOL; NOT FOUND; AMP 1000 ML; BME
1008500770024; SORBITOL MANITOL; SORBITOL MANITOL; NOT FOUND; AMP 2000 ML; BME
1008500460011; SULFATO MAGNESIO; SULFATO MAGNESIO; NOT FOUND; AMP 10 ML; BME
1008500460028; SULFATO MAGNESIO; SULFATO MAGNESIO; NOT FOUND; AMP 250 ML; BME
