1008500200012; PERITOFUNDIN I; PERITOFUNDIN I; NOT FOUND; AMP 1000 ML; BME
1008500200014; PERITOFUNDIN I; PERITOFUNDIN I; NOT FOUND; AMP 2000 ML; BME
1008500200030; PERITOFUNDIN II; PERITOFUNDIN II; NOT FOUND; AMP 1000 ML; BME
1008501400010; POLIAMINOÁCIDOS PEDIAMINO TAU; POLIAMINOACIDOS PEDIAMINO TAU; NOT FOUND; 100 MG/ML SOL INJ IV CX 6 FR VD INC X 500 ML; BME
1008500590015; PEDIAM.PLM; PEDIAM PLM; NOT FOUND; FR 100/250 ML 10%; BME
1008500590037; PEDIAM.PLM; PEDIAM PLM; NOT FOUND; FR 1000 ML 10%; BME
1008500590045; PEDIAM.PLM; PEDIAM PLM; NOT FOUND; FR 50 ML 10%; BME
1008500590025; PEDIAM.PLM; PEDIAM PLM; NOT FOUND; FR 250 ML 10% C/AMINOMIX; BME
1008500990043; PERITOFUNDIN DP; PERITOFUNDIN DP; NOT FOUND; AMP 2000 ML DP 1.5; BME
1008501010034; PERITOFUNDIN DP; PERITOFUNDIN DP; NOT FOUND; AMP 2000 ML DP 4.25; BME
1008500640012; PERITOFUNDIN III AG3; PERITOFUNDIN III AG3; NOT FOUND; AMP 1000 ML; BME
