1036701010051; TALERC; TALERC; NOT FOUND; 2 MG/ML XPE CT FR VD AMB X 50 ML; B_I
1036701010084; TALERC; TALERC; NOT FOUND; 10 MG COM REV CT BL AL/AL X 10; B_I
1036701010092; TALERC; TALERC; NOT FOUND; 10 MG COM REV CT 3 BL AL/AL X 10; B_I
1036701010106; TALERC; TALERC; NOT FOUND; 20 MG COM REV CT BL AL/AL X 10; B_I
1036701010114; TALERC; TALERC; NOT FOUND; 20 MG COM REV CT 3 BL AL/AL X 10; B_I
1036701400028; TALERC D; TALERC D; NOT FOUND; 10 MG + 120 MG COM CT 1 BL AL/AL X 7; B_I
1036701400036; TALERC D; TALERC D; NOT FOUND; 10 MG + 120 MG COM CT 2 BL AL/AL X 5; B_I
1036701700013; TRAYENTA DUO; TRAYENTA DUO; NOT FOUND; 2.5MG + 500MG COM REV CT BL AL PLAS BCO X 20; B_I
1036701700021; TRAYENTA DUO; TRAYENTA DUO; NOT FOUND; 2.5MG + 500MG COM REV CT BL AL PLAS BCO X 60; B_I
1036701700031; TRAYENTA DUO; TRAYENTA DUO; NOT FOUND; 2.5MG + 850MG COM REV CT BL AL PLAS BCO X 20; B_I
1036701700048; TRAYENTA DUO; TRAYENTA DUO; NOT FOUND; 2.5MG + 850MG COM REV CT BL AL PLAS BCO X 60; B_I
1036701700056; TRAYENTA DUO; TRAYENTA DUO; NOT FOUND; 2.5MG + 1000MG COM REV CT BL AL PLAS BCO X 20; B_I
1036701700064; TRAYENTA DUO; TRAYENTA DUO; NOT FOUND; 2.5MG + 1000MG COM REV CT BL AL PLAS BCO X 60; B_I
1036701670017; TRAYENTA; TRAYENTA; NOT FOUND; 5 MG COM REV CT BL AL/AL X 10; B_I
1036701670025; TRAYENTA; TRAYENTA; NOT FOUND; 5 MG COM REV CT BL AL/AL X 30; B_I
