1036701610030; BISOLTUSSIN; BISOLTUSSIN; NOT FOUND; 2.0 MG/ML XPE CT FR VD AMB X 120ML; B_I
1036700060126; BEROTEC; BEROTEC; NOT FOUND; 0.25 MG/ML XPE CT FR VD AMB X 120 ML; B_I
1036700060096; BEROTEC; BEROTEC; NOT FOUND; 0.5 MG/ML XPE CT FR VD AMB X 120 ML; B_I
1036700060069; BEROTEC; BEROTEC; NOT FOUND; 5 MG/ML SOL OR CT  FR VD AMB  X 20 ML; B_I
1036700060190; BEROTEC; BEROTEC; NOT FOUND; 2 MG/ML SOL AER DOSIF CT TB AL X 10 ML + BOCAL + AEROCAMERA-0.1 MG/DOSE; B_I
1036700060077; BEROTEC; BEROTEC; NOT FOUND; 4MG/ML SOL AER DOSIF CT TB AL X 15 ML + BOCAL + AE; B_I
1036700060274; BEROTEC; BEROTEC; NOT FOUND; 2 MG/ML SOL AER DOSIF CT TB ACO INOX X 10 ML + BOCAL ; B_I
1036700060282; BEROTEC; BEROTEC; NOT FOUND; 2 MG/ML SOL AER DOSIF CT TB ACO INOX X 10 ML + BOCAL + AEROCAMERA; B_I
1036700140035; BUSCOPAN; BUSCOPAN; NOT FOUND; COMPOSTO - INJ CX C/ 6 AMP X 1 ML; B_I
1036700140121; BUSCOPAN; BUSCOPAN; NOT FOUND; 20 MG SOL INJ CT 5 AMP VD INC X 1 ML; B_I
1036700140022; BUSCOPAN; BUSCOPAN; NOT FOUND; 10 MG/ML SOL ORAL CT FR VD AMB X 20 ML; B_I
1036700140014; BUSCOPAN; BUSCOPAN; NOT FOUND; 10 MG DRG CT 1 BL AL PLAS INC X 20; B_I
1036700130030; BUSCOPAN COMPOSTO; BUSCOPAN COMPOSTO; NOT FOUND; 20 MG + 2.5 G SOL INJ CT 3 AMP VD AMB X 5 ML; B_I
1036700130146; BUSCOPAN COMPOSTO; BUSCOPAN COMPOSTO; NOT FOUND; 333.4MG/ML + 6.7 MG/ML SOL OR CT FR VD CGT X 20 ML ; B_I
1036700130072; BUSCOPAN COMPOSTO; BUSCOPAN COMPOSTO; NOT FOUND; 1 G + 10 MG SUP ADU CT 1 STRIP X 6; B_I
1036700130213; BUSCOPAN COMPOSTO; BUSCOPAN COMPOSTO; NOT FOUND; 250 MG + 10 MG COM REV CT BL AL PLAS INC X 20; B_I
1036700130108; BUSCOPAN COMPOSTO; BUSCOPAN COMPOSTO; NOT FOUND; 10 MG + 250 MG  COM REV CT BL AL PLAS INC X 120 (EMB MULT); B_I
1036700960017; BUSCODUO; BUSCODUO; NOT FOUND; 10 MG + 800 MG SUP RET CT STR X 6; B_I
1036700960041; BUSCODUO; BUSCODUO; NOT FOUND; 10 MG + 500 MG COM REV CT BL AL PLAS INC X 20; B_I
1036700960062; BUSCODUO; BUSCODUO; NOT FOUND; 10 MG + 500 MG COM REV CT BL AL PLAS INC X 120 (EMB MULT); B_I
1036700100063; BISOLVON; BISOLVON; NOT FOUND; 0.8 MG/ML XPE EXP INF CT FR VD AMB X 120 ML; B_I
1036700100071; BISOLVON; BISOLVON; NOT FOUND; 1.6 MG/ML XPE EXPEC ADU CT FR VD AMB X 120 ML; B_I
1036700100033; BISOLVON; BISOLVON; NOT FOUND; 2 MG/ML SOL CT FR VD AMB X 50 ML; B_I
1036700590052; BUTAZONA CÁLCICA; BUTAZONA CALCICA; NOT FOUND; 200 MG COM REV CT 10 BL AL PLAS INC X 10; B_I
1036700590079; BUTAZONA CÁLCICA; BUTAZONA CALCICA; NOT FOUND; 200 MG COM REV CT BL AL PLAS INC X 10; B_I
1036701590099; BUSCOFEM; BUSCOFEM; NOT FOUND; 400MG CAP GEL MOLE CT BL AL PLAS INC X 10; B_I
1036701590129; BUSCOFEM; BUSCOFEM; NOT FOUND; 400 MG CAP GEL MOLE CT BL AL PLAS X 50 (EMB MULT); B_I
