1036701390049; COMPLEX PHARMATON; COMPLEX PHARMATON; NOT FOUND; CAP GEL MOLE CT FR VD AMB X 100; B_I
1036701390022; COMPLEX PHARMATON; COMPLEX PHARMATON; NOT FOUND; CAP GEL MOLE CT FR VD AMB X 30; B_I
1036701030026; COMBIVENT; COMBIVENT; NOT FOUND; 20 MCG/50 MCL + 120 MCG/50 MCL SUSP AER CT FR AL X 10 ML + AEROCAMERA; B_I
1036700620210; CARDIZEM; CARDIZEM; NOT FOUND; 30 MG COM CT BL AL/AL X 50; B_I
1036700620180; CARDIZEM; CARDIZEM; NOT FOUND; 30 MG COM CT BL AL/AL X 20; B_I
1036700620229; CARDIZEM; CARDIZEM; NOT FOUND; 60 MG COM CT BL AL/AL X 50; B_I
1036700620199; CARDIZEM; CARDIZEM; NOT FOUND; 60 MG COM CT BL AL/AL X 20; B_I
1036700620148; CARDIZEM CD; CARDIZEM CD; NOT FOUND; 180 MG CAP LIB GRADUAL CT FR VD AMB X 15; B_I
1036700620164; CARDIZEM CD; CARDIZEM CD; NOT FOUND; 240 MG CAP LIB GRADUAL CT FR VD AMB X 15; B_I
1036700620261; CARDIZEM CD; CARDIZEM CD; NOT FOUND; 240 MG CAPGEL DURA LIB PROL CT BL AL / AL X 16; B_I
1036700620253; CARDIZEM CD; CARDIZEM CD; NOT FOUND; 180 MG CAPGEL DURA LIB PROL CT BL AL / AL X 16; B_I
1036700620104; CARDIZEM SR; CARDIZEM SR; NOT FOUND; 120 MG CAP GEL COM MICROGRANULOS CT FR VD AMB X 20; B_I
1036700620090; CARDIZEM SR; CARDIZEM SR; NOT FOUND; 90 MG CAP GEL COM MICROGRANULOS CT FR VD AMB X 20; B_I
1036700620237; CARDIZEM SR; CARDIZEM SR; NOT FOUND; 90 MG CAP GEL DURA LIB PROL CT BL AL / AL X 20; B_I
1036700620245; CARDIZEM SR; CARDIZEM SR; NOT FOUND; 120 MG CAPGEL DURA LIB PROL CT BL AL / AL X 20; B_I
