1036700490023; ACTILYSE; ACTILYSE; NOT FOUND; 50 MG PO LIOF INJ CT FA VD INC + FA DIL 50 ML + CANUL TRANS; B_I
1036700490031; ACTILYSE; ACTILYSE; NOT FOUND; 20 MG PO LIOF INJ  CT  FA VD INC + FA DIL 20 ML; B_I
1036700490018; ACTILYSE; ACTILYSE; NOT FOUND; 10 MG PO LIOF INJ CT FA VD INC + FA DIL 10 ML; B_I
1036700040028; ATROVENT; ATROVENT; NOT FOUND; 0.25 MG/ML SOL INAL CT FR VD AMB X 20 ML; B_I
1036700040109; ATROVENT; ATROVENT; NOT FOUND; 0.300 MG/ML SOL NAS CT FR PLAS OPC SPRAY X 15 ML; B_I
1036700040031; ATROVENT; ATROVENT; NOT FOUND; 0.4 MG/ML AER DOSIF CT TB AL X 15 ML + BOCAL + AEROCAMERA; B_I
1036700040141; ATROVENT; ATROVENT; NOT FOUND; 20 MCG/DOSE AER DOSIF CT FR ACO INOX X 10 ML + BOCAL; B_I
1036700040151; ATROVENT; ATROVENT; NOT FOUND; 20 MCG/DOSE AER DOSIF CT FR ACO INOX X 10 ML + BOCAL + AEROCAMERA; B_I
1036700580014; ATENSINA; ATENSINA; NOT FOUND; 0.10 MG COM CT BL AL PL INC X 30; B_I
1036700580049; ATENSINA; ATENSINA; NOT FOUND; 0.15 MG COM CT BL AL PL INC X 30; B_I
1036700580057; ATENSINA; ATENSINA; NOT FOUND; 0.20 MG COM CT BL AL PL INC X 30; B_I
1036701360018; AGGRENOX; AGGRENOX; NOT FOUND; 200 MG + 25 MG CAP GEL MICROG CT FR PLAS OPC X 30; B_I
1036701360026; AGGRENOX; AGGRENOX; NOT FOUND; 200 MG + 25 MG CAP GEL MICROG CT FR PLAS OPC X 60; B_I
1036700760012; ANADOR; ANADOR; NOT FOUND; 500 MG SOL ORAL CT FR PLAS OPC GOT X 10 ML; B_I
1036700760195; ANADOR; ANADOR; NOT FOUND; 500 MG SOL ORAL CT FR PLAS OPC GOT X 20 ML; B_I
1036701550011; ANADOR; ANADOR; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; B_I
1036700760292; ANADOR; ANADOR; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 120; B_I
1036700760306; ANADOR; ANADOR; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 24; B_I
1036700760284; ANADOR; ANADOR; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 512; B_I
1036701550038; ANADOR; ANADOR; NOT FOUND; 750 MG COM CT BL AL PLAS INC X 20; B_I
1036700760268; ANADOR; ANADOR; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 240 (EMB MULT); B_I
1036701550062; ANADOR PRT; ANADOR PRT; NOT FOUND; 750 MG COM CT BL AL PLAS INC X 256 (EMB MULT); B_I
1036700070024; ALVEOFACT; ALVEOFACT; NOT FOUND; 54 MG SUS CONC CT FA VD INC X 1.2 ML + SONDA ENDOT; B_I
