1036701040021; PHARMATON; PHARMATON; NOT FOUND; CAP GEL MOLE CT FR VD AMB X 100; B_I
1036701040013; PHARMATON; PHARMATON; NOT FOUND; CAP GEL MOLE CT FR VD AMB X 30; B_I
1036701570020; PHARMATON; PHARMATON; NOT FOUND; CAP GEL MOLE CT FR AMB X 30; B_I
1036701570047; PHARMATON; PHARMATON; NOT FOUND; CAP GEL MOLE CT FR VD AMB X 100; B_I
1036701570039; PHARMATON; PHARMATON; NOT FOUND; CAP GEL MOLE CT FR VD AMB X 60; B_I
1036701640010; PHARMATON KIDDI; PHARMATON KIDDI; NOT FOUND; XPE CT FR VD AMB X 200 ML + CP MED ; B_I
1036700850011; PERLUTAN; PERLUTAN; NOT FOUND; 150 MG + 10 MG SOL INJ CT AMP VD AMB X 1 ML; B_I
1036701650040; PARADOR DUOCAF; PARADOR DUOCAF; NOT FOUND; 250 MG +200 MG + 50 MG COM CT BL AL PLAS OPC X 20; B_I
1036701600019; PRADAXA; PRADAXA; NOT FOUND; 75 MG CAP DURA CT BL AL/AL X 10 ; B_I
1036701600027; PRADAXA; PRADAXA; NOT FOUND; 75 MG CAP DURA CT BL AL/AL X 30; B_I
1036701600061; PRADAXA; PRADAXA; NOT FOUND; 110 MG CAP DURA CT BL AL/AL X 30; B_I
1036701600051; PRADAXA; PRADAXA; NOT FOUND; 110 MG CAP DURA CT BL AL/AL X 10 ; B_I
1036701600078; PRADAXA; PRADAXA; NOT FOUND; 110 MG CAP DURA CT BL AL/AL X 60; B_I
1036701600094; PRADAXA; PRADAXA; NOT FOUND; 150 MG CAP DURA CT BL AL/AL X 10; B_I
1036701600108; PRADAXA; PRADAXA; NOT FOUND; 150 MG CAP DURA CT BL AL/AL X 30; B_I
1036701600116; PRADAXA; PRADAXA; NOT FOUND; 150 MG CAP DURA CT BL AL/AL X 60; B_I
1036700300070; PERSANTIN; PERSANTIN; NOT FOUND; 10 MG/2ML SOL INJ CT 5 AMP VD INC X 2 ML; B_I
1036700300156; PERSANTIN; PERSANTIN; NOT FOUND; 100 MG DRG CT 5 BL AL PLAS INC X 10; B_I
1036700300148; PERSANTIN; PERSANTIN; NOT FOUND; 75 MG DRG CT 10 BL AL PLAS INC X 20; B_I
1036700300131; PERSANTIN; PERSANTIN; NOT FOUND; 75 MG DRG CT 2  BL AL PLAS INC X 20; B_I
