1036701660011; MICARDIS ANLO; MICARDIS ANLO; NOT FOUND; 40 MG + 5 MG COM CT BL AL/AL X 10; B_I
1036701660038; MICARDIS ANLO; MICARDIS ANLO; NOT FOUND; 40 MG + 10 MG COM CT BL AL/AL X 10; B_I
1036701660046; MICARDIS ANLO; MICARDIS ANLO; NOT FOUND; 40 MG + 10 MG COM CT BL AL/AL X 30; B_I
1036701660021; MICARDIS ANLO; MICARDIS ANLO; NOT FOUND; 40 MG + 5 MG COM CT BL AL/AL X 30; B_I
1036701660070; MICARDIS ANLO; MICARDIS ANLO; NOT FOUND; 80 MG + 10 MG COM CT BL AL/AL X 10; B_I
1036701660089; MICARDIS ANLO; MICARDIS ANLO; NOT FOUND; 80 MG + 10 MG COM CT BL AL/AL X 30; B_I
1036701660054; MICARDIS ANLO; MICARDIS ANLO; NOT FOUND; 80 MG + 5 MG COM CT BL AL/AL X 10; B_I
1036701660062; MICARDIS ANLO; MICARDIS ANLO; NOT FOUND; 80 MG + 5 MG COM CT BL AL/AL X 30; B_I
1036700730148; MUCOSOLVAN; MUCOSOLVAN; NOT FOUND; 3.0 MG/ML XPE PED CT FR VD AMB X 120 ML; B_I
1036700730156; MUCOSOLVAN; MUCOSOLVAN; NOT FOUND; 6 MG/ML XPE ADU CT FR VD AMB X 120 ML; B_I
1036700730180; MUCOSOLVAN; MUCOSOLVAN; NOT FOUND; 7.5 MG/ML SOL OR CT FR VD AMB X 50 ML; B_I
1036701530010; MUCOANGIN; MUCOANGIN; NOT FOUND; 20 MG PAS OR SBR MENTA CT BL AL AL X 20; B_I
1036701530037; MUCOANGIN; MUCOANGIN; NOT FOUND; 20 MG PAS OR SBR MENTA CT BL AL AL X 12; B_I
1036700730199; MUCOSOLVAN 24HRS; MUCOSOLVAN 24HRS; NOT FOUND; 75 MG CAP GEL DURA MICROG LIB CONTROL CT BL AL PVC/PVDC X 4; B_I
1036700730261; MUCOSOLVAN 24HRS; MUCOSOLVAN 24HRS; NOT FOUND; 75 MG CAP GEL DURA MICROG LIB CONTROL CT BL AL PVC/PVDC X 80 (EMB MULT); B_I
1036700730202; MUCOSOLVAN 24HRS; MUCOSOLVAN 24HRS; NOT FOUND; 75 MG CAP GEL DURA MICROG LIB CONTROL CT BL AL PVC/PVDC X 5; B_I
1036700730271; MUCOSOLVAN 24HRS; MUCOSOLVAN 24HRS; NOT FOUND; 75 MG CAP GEL DURA MICROG LIB CONTROL CT BL AL PVC/PVDC X 100 (EMB MULT); B_I
1036700730237; MUCOSOLVAN 24HRS; MUCOSOLVAN 24HRS; NOT FOUND; 75 MG CAP GEL DURA MICROG LIB CONTROL CT BL AL PVC/PVDC X 10; B_I
1036700290034; MEXITIL; MEXITIL; NOT FOUND; 100 MG CAP GEL DURA CT 2 BL AL PLAS INC X 10; B_I
1036700290042; MEXITIL; MEXITIL; NOT FOUND; 200 MG CAP GEL DURA CT 3 BL AL PLAS INC X 10; B_I
1036701340017; MICARDIS HCT; MICARDIS HCT; NOT FOUND; 40 MG + 12.5 MG COM CT BL AL/AL X 14; B_I
1036701340025; MICARDIS HCT; MICARDIS HCT; NOT FOUND; 40 MG + 12.5 MG COM CT BL AL/AL X 28; B_I
1036701340033; MICARDIS HCT; MICARDIS HCT; NOT FOUND; 80 MG + 12.5 MG COM CT BL AL/AL X 14; B_I
1036701340041; MICARDIS HCT; MICARDIS HCT; NOT FOUND; 80 MG + 12.5 MG COM CT BL AL/AL X 28; B_I
1036701340051; MICARDIS HCT; MICARDIS HCT; NOT FOUND; 80 MG + 25 MG COM CT BL AL/AL X 14; B_I
1036701340068; MICARDIS HCT; MICARDIS HCT; NOT FOUND; 80 MG + 25 MG COM CT BL AL/AL X 28; B_I
1036701340122; MICARDIS HCT; MICARDIS HCT; NOT FOUND; 40 MG + 12.5 MG COM CT BL AL/AL X 30; B_I
1036701340157; MICARDIS HCT; MICARDIS HCT; NOT FOUND; 80 MG + 12.5 MG COM CT BL AL/AL X 30; B_I
1036701340092; MICARDIS HCT; MICARDIS HCT; NOT FOUND; 80 MG + 25 MG COM CT BL AL/AL X 30; B_I
1036701000021; MIDOTENS; MIDOTENS; NOT FOUND; 4 MG COM REV CT 2 BL AL X 7; B_I
1036701020047; MOVATEC; MOVATEC; NOT FOUND; 10 MG/ML SOL INJ CT 5 AMP VD INC X 1.5 ML; B_I
1036701020055; MOVATEC; MOVATEC; NOT FOUND; 15 MG COM CT BL AL/AL X 10; B_I
1036701020063; MOVATEC; MOVATEC; NOT FOUND; 7.5 MG COM CT BL AL/AL X 10; B_I
