1036701370072; SPIRIVA; SPIRIVA; NOT FOUND; 2.5 MCG DOSE SOL INAL CT FR PLAS 4ML (60 DOSES) + RESPIMAT; B_I
1036701370056; SPIRIVA; SPIRIVA; NOT FOUND; 18 MCG CAP GEL DURA CT 3 BL AL/AL X 10; B_I
1036701370064; SPIRIVA; SPIRIVA; NOT FOUND; 18 MCG CAP GEL DURA CT 3 BL  AL/AL X 10 + HANDIHALER; B_I
1036701370021; SPIRIVA; SPIRIVA; NOT FOUND; 18 MCG CAP GEL DURA CT BL AL/AL X 10 + HANDIHALER; B_I
1036700330069; SILOMAT; SILOMAT; NOT FOUND; 4 MG/ML XPE CT FR VD AMB X 120 ML; B_I
1036700330074; SILOMAT; SILOMAT; NOT FOUND; 60 MG/ML SOL OR CT FR VD AMB X 20 ML; B_I
1036700340046; SILOMAT PLUS; SILOMAT PLUS; NOT FOUND; 48 MG/ML + 9 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; B_I
1036700340038; SILOMAT PLUS; SILOMAT PLUS; NOT FOUND; 4 MG/ML + 0.75 MG/ML XPE CT FR VD AMB X 120 ML; B_I
1036701710019; STRIVERDI RESPIMAT; STRIVERDI RESPIMAT; NOT FOUND; 2.5 MCG PUFF SOL INAL CT FR PLAS 4ML + RESPIMAT; B_I
1036701050019; SECOTEX; SECOTEX; NOT FOUND; 0.4 MG CAP GEL DURA CT BL AL PLAS INC X 20; B_I
1036701050027; SECOTEX; SECOTEX; NOT FOUND; 0.4 MG CAP GEL DURA CT BL AL PLAS INC X 30; B_I
1036701050051; SECOTEX; SECOTEX; NOT FOUND; 0.4 MG COM REV CT BL AL/AL X 30; B_I
1036701050043; SECOTEX; SECOTEX; NOT FOUND; 0.4 MG COM REV CT BL AL/AL X 20; B_I
1036701070011; SIFROL; SIFROL; NOT FOUND; 0.125 MG COM CT BL AL/AL X 30; B_I
1036701070036; SIFROL; SIFROL; NOT FOUND; 0.250 MG COM CT BL AL/AL X 30; B_I
1036701070052; SIFROL; SIFROL; NOT FOUND; 1 MG COM CT BL AL/AL X 30; B_I
1036701070117; SIFROL; SIFROL; NOT FOUND; 0.375 MG COM LIB PROL CT BL AL/AL X 10; B_I
1036701070125; SIFROL; SIFROL; NOT FOUND; 0.375 MG COM LIB PROL CT BL AL/AL X 30; B_I
1036701070133; SIFROL; SIFROL; NOT FOUND; 0.75 MG COM LIB PROL CT BL AL/AL X 10; B_I
1036701070141; SIFROL; SIFROL; NOT FOUND; 0.75 MG COM LIB PROL CT BL AL/AL X 30; B_I
1036701070151; SIFROL; SIFROL; NOT FOUND; 1.5 MG COM LIB PROL CT BL AL/AL X 10; B_I
1036701070168; SIFROL; SIFROL; NOT FOUND; 1.5 MG COM LIB PROL CT BL AL/AL X 30; B_I
1036701070176; SIFROL; SIFROL; NOT FOUND; 3 MG COM LIB PROL CT BL AL/AL X 10; B_I
1036701070184; SIFROL; SIFROL; NOT FOUND; 3 MG COM LIB PROL CT BL AL/AL X 30; B_I
1036701070192; SIFROL; SIFROL; NOT FOUND; 4.5 MG COM LIB PROL CT BL AL/AL X 10; B_I
1036701070206; SIFROL; SIFROL; NOT FOUND; 4.5 MG COM LIB PROL CT BL AL/AL X 30; B_I
