69622; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 20 MG x 14; M_S
69623; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 20 MG x 28; M_S
72441; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 20 MG x 7; M_S
69624; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 14; M_S
69625; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 28; M_S
72442; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 7; M_S
64928; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR REVEST 750 MG x 20; M_S
64737; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); M_S
80684; PERGOVERIS ; PERGOVERIS; NOT FOUND; F.AMP LIOF 150 IU 1 ML x 1 (/75); M_S
57428; PIROXICAM MG ; PIROXICAM; PIROXICAM; CAPS 20 MG x 20; M_S
80685; PRAVASTAT.SODIC.MG ; PRAVASTAT SODIC; NOT FOUND; CPR 10 MG x 30; M_S
80686; PRAVASTAT.SODIC.MG ; PRAVASTAT SODIC; NOT FOUND; CPR 20 MG x 30; M_S
80687; PRAVASTAT.SODIC.MG ; PRAVASTAT SODIC; NOT FOUND; CPR 40 MG x 30; M_S
64940; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; CREME DERMAT 0.50 MG 30 G x 1 (; M_S
64939; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; POM.DERMAT 0.50 MG 30 G x 1 (/G; M_S
64738; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; SOLN CAPIL 0.50 MG 50 G x 1 (/M; M_S
52296; PSIQUIAL ; PSIQUIAL; NOT FOUND; CPR 20 MG x 14; M_S
52297; PSIQUIAL ; PSIQUIAL; NOT FOUND; CPR 20 MG x 28; M_S
