57408; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 30; M_S
58916; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; CPR 200 MG x 20; M_S
58917; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; CPR 400 MG x 20; M_S
59799; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; XAR. AD 50 MG 100 ML x 1 (/ML); M_S
59798; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; XAR. INF 20 MG 100 ML x 1 (/ML); M_S
64685; CEBION ; CEBION; NOT FOUND; CP EF LA S/A 1 G x 10; M_S
2150; CEBION ; CEBION; NOT FOUND; CPR EFER LA 1 G x 10; M_S
76401; CEBION ; CEBION; NOT FOUND; CPR A/P 500 MG x 30; M_S
58502; CEBION ; CEBION; NOT FOUND; CPR EF.ACERO 1 G x 10; M_S
62163; CEBION ; CEBION; NOT FOUND; CPR EF.ACERO 1 G x 30; M_S
64541; CEBION ; CEBION; NOT FOUND; CPR EFE LARA 1 G x 30; M_S
54575; CEBION ; CEBION; NOT FOUND; CPR EFE TUBO 1 G x 2; M_S
58359; CEBION ; CEBION; NOT FOUND; GOTAS 100 MG 30 ML x 1 (/ML); M_S
2152; CEBION ; CEBION; NOT FOUND; GOTAS 200 MG 30 ML x 1 (/ML); M_S
2154; CEBION CALCIO ; CEBION CALCIO; NOT FOUND; CPR EFER x 10; M_S
2151; CEBION EFERVESCENT ; CEBION EFERVESCENT; NOT FOUND; CPR EFER 2 G x 10; M_S
54576; CEBION EFERVESCENT ; CEBION EFERVESCENT; NOT FOUND; CPR EFE TUBO 2 G x 2; M_S
47316; CEBION GLICOSE ; CEBION GLICOSE; NOT FOUND; GRAN ENVELO. 1 G x 10; M_S
2155; CEBION GLICOSE ; CEBION GLICOSE; NOT FOUND; GRAN ENVELO. 1 G x 50; M_S
70224; CEBION ZINCO ; CEBION ZINCO; NOT FOUND; CPR EFER 1 G x 10; M_S
74500; CELAPRAM ; CELAPRAM; NOT FOUND; CPR REVEST 20 MG x 30; M_S
32316; CESTOX ; CESTOX; NOT FOUND; CPR 150 MG x 12; M_S
59174; CETROTIDE ; CETROTIDE; NOT FOUND; F.AMP SOLV 0.25 MG x 1; M_S
47392; CISTICID ; CISTICID; NOT FOUND; CPR 500 MG x 50; M_S
60863; CITALOPRAM MG ; CITALOPRAM; CITALOPRAM; CPR REVEST 20 MG x 30; M_S
2390; CITONEURIN ; CITONEURIN; NOT FOUND; AMP. 1 MG 3 ML x 3; M_S
2392; CITONEURIN ; CITONEURIN; NOT FOUND; AMP. 5 MG 3 ML x 3; M_S
2388; CITONEURIN ; CITONEURIN; NOT FOUND; DRAG 5 MG x 20; M_S
2387; CITONEURIN ; CITONEURIN; NOT FOUND; DRAG 50 Y x 20; M_S
61669; CLARITROMICINA MG ; CLARITROMICINA; CLARITROMICINA; CPR REVEST 500 MG x 10; M_S
61670; CLARITROMICINA MG ; CLARITROMICINA; CLARITROMICINA; CPR REVEST 500 MG x 14; M_S
56130; CLINDAL AZ ; CLINDAL AZ; NOT FOUND; CPR REVEST 500 MG x 2; M_S
54743; CLINDAL AZ ; CLINDAL AZ; NOT FOUND; CPR REVEST 500 MG x 3; M_S
68899; CLINDAL AZ ; CLINDAL AZ; NOT FOUND; CPR REVEST 500 MG x 5; M_S
57413; CLINDAL AZ ; CLINDAL AZ; NOT FOUND; SUSP 40 MG 15 ML x 1 (/ML); M_S
57414; CLINDAL AZ ; CLINDAL AZ; NOT FOUND; SUSP 40 MG 22.5 ML x 1 (/ML); M_S
57047; CLINFAR ; CLINFAR; NOT FOUND; CPR REVEST 10 MG x 10; M_S
57048; CLINFAR ; CLINFAR; NOT FOUND; CPR REVEST 10 MG x 30; M_S
76970; CLINFAR ; CLINFAR; NOT FOUND; CPR REVEST 20 MG x 10; M_S
65413; CLINFAR ; CLINFAR; NOT FOUND; CPR REVEST 20 MG x 30; M_S
76971; CLINFAR ; CLINFAR; NOT FOUND; CPR REVEST 40 MG x 10; M_S
73932; CLINFAR ; CLINFAR; NOT FOUND; CPR REVEST 40 MG x 30; M_S
73933; CLINFAR ; CLINFAR; NOT FOUND; CPR REVEST 80 MG x 10; M_S
73934; CLINFAR ; CLINFAR; NOT FOUND; CPR REVEST 80 MG x 30; M_S
58694; CLO TICLOPIDINA MG ; CLO TICLOPIDINA; CLORIDRATO TICLOPIDINA; CPR REVEST 250 MG x 30; M_S
