1071402210017; BENZOTISAN; BENZOTISAN; NOT FOUND; 25 % EMU TOP CT FR VD AMB X 100 ML; SNV
1071402210020; BENZOTISAN; BENZOTISAN; NOT FOUND; 250 MG/ML EMU TOP CT 50 FR VD AMB X 100 ML (EMB HOSP); SNV
1071402210063; BENZOTISAN; BENZOTISAN; NOT FOUND; 250 MG/ML EMU TOP CT FR PLAS OPC X 60 ML; SNV
1071402210111; BENZOTISAN; BENZOTISAN; NOT FOUND; 250 MG/ML EMU TOP CX 50 FR PLAS OPC X 50 ML (EMB HOSP); SNV
1071401600011; BROMOXON; BROMOXON; NOT FOUND; 3 MG COM CT BL AL PLAS AMB X 20; SNV
1071401600021; BROMOXON; BROMOXON; NOT FOUND; 6 MG COM CT BL AL PLAS AMB X 20; SNV
1071401600046; BROMOXON; BROMOXON; NOT FOUND; 6 MG COM CT BL AL PLAS AMB X 500 (EMB HOSP); SNV
1071401600038; BROMOXON; BROMOXON; NOT FOUND; 3 MG COM CT BL AL PLAS AMB X 500 (EMB HOSP); SNV
1071401770022; BUTILAMIN; BUTILAMIN; NOT FOUND; 6.67 MG + 333.4 MG / ML SOL ORAL CT FR VD AMB X 20; SNV
1071401770014; BUTILAMIN; BUTILAMIN; NOT FOUND; 10 MG +250 MG DPG CT 02 BL AL PLAS INC X 10; SNV
1071401050038; BARBITRON; BARBITRON; NOT FOUND; 40 MG/ML SOL OR CT FR VD AMB X 20 ML; SNV
1071401050046; BARBITRON; BARBITRON; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 20  ; SNV
1071401050054; BARBITRON; BARBITRON; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); SNV
