1071402480011; SULFATO DE NEOMICINA + BACITRACINA; SULFATO NEOMICINA BACITRACINA; NOT FOUND; 5 MG/G + 250 UI/G POM DERM CT BG AL X 10 G; SNV
1071402480036; SULFATO DE NEOMICINA + BACITRACINA; SULFATO NEOMICINA BACITRACINA; NOT FOUND; 5 MG/G + 250 UI/G POM DERM CT BG AL X 15 G; SNV
1071402480052; SULFATO DE NEOMICINA + BACITRACINA; SULFATO NEOMICINA BACITRACINA; NOT FOUND; 5 MG/G + 250 UI/G POM DERM CT BG AL X 50 G; SNV
1071402480060; SULFATO DE NEOMICINA + BACITRACINA; SULFATO NEOMICINA BACITRACINA; NOT FOUND; 5 MG/G + 250 UI/G POM DERM CX 50 BG AL X 50 G (EMB HOSP); SNV
1071402480028; SULFATO DE NEOMICINA + BACITRACINA; SULFATO NEOMICINA BACITRACINA; NOT FOUND; 5 MG/G + 250 UI/G POM DERM CX 50 BG AL X 10 G (EMB HOSP); SNV
1071402480044; SULFATO DE NEOMICINA + BACITRACINA; SULFATO NEOMICINA BACITRACINA; NOT FOUND; 5 MG/G + 250 UI/G POM DERM CX 50 BG AL X 15 G (EMB HOSP); SNV
1071401080042; SANPRONOL; SANPRONOL; NOT FOUND; 40 MG COM CT BL AL PLAS AMB X 40; SNV
1071401410060; SANPRONOL; SANPRONOL; NOT FOUND; 10 MG COM CT 50 STR AL/AL X 10; SNV
1071401410087; SANPRONOL; SANPRONOL; NOT FOUND; 20 MG COM CT 50 STR AL/AL X 10; SNV
1071401410043; SANPRONOL; SANPRONOL; NOT FOUND; 5 MG COM CT 50 STR AL/AL X 10; SNV
1071401080034; SANPRONOL; SANPRONOL; NOT FOUND; 40 MG COM CT BL AL PLAS AMB X 500 (EMB HOSP); SNV
1071402430012; SANVALIV; SANVALIV; NOT FOUND; POM DERM CT BG AL X 30 G; SNV
1071401410052; SANVAPRESS; SANVAPRESS; NOT FOUND; 10 MG COMP CT 02 X 10; SNV
1071401410079; SANVAPRESS; SANVAPRESS; NOT FOUND; 20 MG COMP CT 02 X 10; SNV
1071401410036; SANVAPRESS; SANVAPRESS; NOT FOUND; 5 MG COMP CT 02 X 10; SNV
1071401410204; SANVAPRESS; SANVAPRESS; NOT FOUND; 10 MG COM CT BL AL PLAS TRANS X 500 (EMB HOSP) ; SNV
1071401410212; SANVAPRESS; SANVAPRESS; NOT FOUND; 20 MG COM CT BL AL PLAS TRANS X 500 (EMB HOSP) ; SNV
1071401800142; SULONIL; SULONIL; NOT FOUND; 50 MG/ML SUS OR CX 200 FR PLAS OPC X 15 ML (EMB HOSP) ; SNV
1071401800134; SULONIL; SULONIL; NOT FOUND; 50 MG/ML SUS OR CX 50 FR PLAS OPC X 15 ML (EMB HOSP) ; SNV
1071401800096; SULONIL; SULONIL; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 20; SNV
1071401800101; SULONIL; SULONIL; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); SNV
1071401800118; SULONIL; SULONIL; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 600 (EMB HOSP); SNV
