1071402130027; PROMETAZOL; PROMETAZOL; NOT FOUND; 25 MG/ML SOL INJ CT 25 AMP VD AMB X 2 ML ( EMB HOSP); SNV
1071402130051; PROMETAZOL; PROMETAZOL; NOT FOUND; 25 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP) ; SNV
1071402130061; PROMETAZOL; PROMETAZOL; NOT FOUND; 25 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP); SNV
1071402190011; PROMETAZOL; PROMETAZOL; NOT FOUND; 20 MG/G CREM DERM CT BG AL X 30 G ; SNV
1071402190021; PROMETAZOL; PROMETAZOL; NOT FOUND; 20 MG/G CREM DERM CX 50 BG AL X 30 G (EMB HOSP); SNV
1071402130019; PROMETAZOL; PROMETAZOL; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 10 ; SNV
1071402130043; PROMETAZOL; PROMETAZOL; NOT FOUND; 25 MG COM REV CX BL AL PLAS INC X 500; SNV
1071402130035; PROMETAZOL; PROMETAZOL; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 20; SNV
1071401650019; PRONASTERON; PRONASTERON; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 15; SNV
1071401650043; PRONASTERON; PRONASTERON; NOT FOUND; 1 MG COM CT BL AL PLAS AMB X 30; SNV
1071401650035; PRONASTERON; PRONASTERON; NOT FOUND; 1 MG COM CT BL AL PLAS AMB X 15; SNV
1071401590016; PRAZONIL; PRAZONIL; NOT FOUND; 10 MG CAP GEL DURA CT FR VD AMB X 14; SNV
1071401590024; PRAZONIL; PRAZONIL; NOT FOUND; 20 MG CAP GEL DURA CT FR VD AMB X 7; SNV
1071401590032; PRAZONIL; PRAZONIL; NOT FOUND; 20 MG CAP GEL DURA CT FR VD AMB X 14; SNV
1071401590067; PRAZONIL; PRAZONIL; NOT FOUND; 20 MG CAP GEL DURA CX FR VD AMB X 700 (EMB HOSP); SNV
1071401240024; PIRAZINON; PIRAZINON; NOT FOUND; 3% SUSP FR 150 ML; SNV
1071401240010; PIRAZINON; PIRAZINON; NOT FOUND; 500 MG COMP X 20; SNV
1071401280025; PIROXIL; PIROXIL; NOT FOUND; 10 MG CAP CX CT 01 BL X 10; SNV
1071401280017; PIROXIL; PIROXIL; NOT FOUND; 20 MG CAP CX CT 01 BL X 10; SNV
1071401280033; PIROXIL; PIROXIL; NOT FOUND; 20 MG CAP GEL DURA CX BL AL PLAS AMB X 500 (EMB HOSP); SNV
1071402370052; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 10; SNV
1071402370060; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 20; SNV
1071402370028; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 20; SNV
1071402370087; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT 25 BL AL PLAS INC X 20 (EMB HOSP); SNV
1071402370044; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT 25 BL AL PLAS INC X 20 (EMB HOSP); SNV
1071401190069; PREDVAL; PREDVAL; NOT FOUND; 20 MG COMP CT 02 BL PLAS AMB X 10; SNV
1071401190050; PREDVAL; PREDVAL; NOT FOUND; 5 MG COMP CT 02 BL AL PLAS AMB X 10; SNV
1071401190034; PREDVAL; PREDVAL; NOT FOUND; 5 MG COM CX 50 BL AL PLAS AMB X 10; SNV
1071401190042; PREDVAL; PREDVAL; NOT FOUND; 20 MG COM CT PAPELAO BL AL PLAS AMB X 500 (EMB HOSP); SNV
