1071401320035; DERMASE; DERMASE; NOT FOUND; CX CT 01 BINS AL X 10 G; SNV
1071401320027; DERMASE; DERMASE; NOT FOUND; 7.5 MG/G 3.9 MG/G POM DERM CX 50 BG AL X 10 G; SNV
1071401730020; DIABECONTROL; DIABECONTROL; NOT FOUND; 250 MG COM CT FR VD AMB X 100; SNV
1071401730039; DIABECONTROL; DIABECONTROL; NOT FOUND; 250 MG COM CX BL AL PLAS AMB X 500 (EMB. HOSP.); SNV
1071401520034; DERMAZOL; DERMAZOL; NOT FOUND; 10 MG/ G CREM DERM CT BG AL X 25 G; SNV
1071401130015; DEFLAREN; DEFLAREN; NOT FOUND; 0.1 MG/ML ELX CT FR VD AMB X 120 ML; SNV
1071401130058; DEFLAREN; DEFLAREN; NOT FOUND; 0.1 MG/ML ELX CX 50 FR VD AMB X 120 ML; SNV
1071402360014; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CT FR VD AMB X 120 ML; SNV
1071401130049; DEFLAREN; DEFLAREN; NOT FOUND; 1 MG/G CREM DERM CT BG AL X 10 G; SNV
1071401130074; DEFLAREN; DEFLAREN; NOT FOUND; 1 MG/G CREM DERM CX 50 BG AL X 10 G; SNV
1071401130023; DEFLAREN; DEFLAREN; NOT FOUND; 0.5 MG COMP CT BL AL PLAS INC X 20; SNV
1071400970028; DILAVAX; DILAVAX; NOT FOUND; 10 MG CAP GEL MOLE CT FR VD AMB X 30; SNV
1071400970044; DILAVAX; DILAVAX; NOT FOUND; 10 MG COMP CT 03 BL AL PLAS AMB X 10; SNV
1071400970052; DILAVAX; DILAVAX; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 500 (EMB HOSP); SNV
