1071402490015; ACETATO DE DEXAMETASONA; ACETATO DEXAMETASONA; ACETATO DEXAMETASONA; 1 MG/G CREM DERM CT BG AL X 10 G; SNV
1071401330015; ASMODRIN; ASMODRIN; NOT FOUND; 100 MG COMP REV CT CX 02 BL X 10; SNV
1071402340021; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAPGEL DURA CT BL AL PLAS INC X 15; SNV
1071402340048; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAPGEL DURA CT BL AL PLAS INC X 21; SNV
1071402340056; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAPGEL DURA CX BL AL PLAS INC X 500 (EMB HOSP); SNV
1071400030076; AMPIVAL; AMPIVAL; NOT FOUND; 500 MG CAP GEL DURA CT 01 BL AL PLAS INC X 10; SNV
1071400030065; AMPIVAL; AMPIVAL; NOT FOUND; 500 MG COM CT 05 BL AL PLAS INC X 10; SNV
1071400760010; ANGINO-TRICIN; ANGINO TRICIN; NOT FOUND; CX 12 PAST; SNV
1071401870019; ACIDERM; ACIDERM; NOT FOUND; 20 MG/G CR DERM CT BINS AL X 30 G; SNV
1071401870035; ACIDERM; ACIDERM; NOT FOUND; 200 MG COMP CT BL AL PLAS INC X 10; SNV
1071401060041; ANGIL; ANGIL; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20; SNV
1071401060033; ANGIL; ANGIL; NOT FOUND; 5MG COM SUB LINGUAL CT BL AL PLAS INC X 20; SNV
1071401060051; ANGIL; ANGIL; NOT FOUND; 10 MG COM CX BL AL PLAS INC X 500; SNV
1071401060068; ANGIL; ANGIL; NOT FOUND; 5 MG COM SUB LINGUAL CX 50 BL AL PLAS INC X 10; SNV
1071401230052; ALUDROXIL; ALUDROXIL; NOT FOUND; 62 MG/ML SUS OR CT FR VD AMB X 200 ML; SNV
1071401230044; ALUDROXIL; ALUDROXIL; NOT FOUND; 62 MG/ML SUS OR CT FR VD AMB X 100 ML; SNV
1071401230095; ALUDROXIL; ALUDROXIL; NOT FOUND; 62 MG/ML SUSP ORAL CX 50 FR VD AMB X 100 ML (EMB HOSP); SNV
1071401230060; ALUDROXIL; ALUDROXIL; NOT FOUND; 300 MG COM MAST CT 3 BL AL PLAS AMB X 8; SNV
1071400960014; ALERGYO; ALERGYO; NOT FOUND; 2 MG /5ML SOL ORAL CT FR VD AMB X 100 ML; SNV
1071400960022; ALERGYO; ALERGYO; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 20 ; SNV
1071400960057; ALERGYO; ALERGYO; NOT FOUND; 2 MG COM CX BL AL PLAS INC X 500 (EMB HOSP); SNV
1071400040098; ANATYL; ANATYL; NOT FOUND; 100 MG/ML SOL ORAL CT FR PLAS OPC GOT X 10 ML; SNV
1071400040071; ANATYL; ANATYL; NOT FOUND; 325 MG COMP CT 02 BL AL PLAS INC X 10; SNV
1071400040111; ANATYL; ANATYL; NOT FOUND; 750 MG COMP CT 2 BL AL PLAS INC X 10; SNV
