1071402520038; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 20 MG/ML SUS OR CT FR PET AMB X 100 ML; SNV
1071402520046; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 20 MG/ML SUS OR CX 50 FR PET AMB X 100 ML (EMB. HOSP); SNV
1071401040024; CONVULSAN; CONVULSAN; NOT FOUND; 200 MG COM CT 2 BL AL PLAS INC X 10; SNV
1071401040032; CONVULSAN; CONVULSAN; NOT FOUND; 200 MG COM CT 50 BL AL PLAS INC X 10; SNV
1071402470014; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 20 ; SNV
1071402470022; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CX BL AL PLAS INC X 500 (EMB HOSP); SNV
1071401630042; CEFADROXON; CEFADROXON; NOT FOUND; 250 MG / 5 ML PO P/ PREP EXT CT FR VD AMB X 80 ML; SNV
1071401630018; CEFADROXON; CEFADROXON; NOT FOUND; 500 MG CAP GEL DURA CX 02 ENV KRAFT X 4; SNV
1071400940013; CIMETIVAL; CIMETIVAL; NOT FOUND; 200 MG COM CX FR PLAST X 40; SNV
1071400940056; CIMETIVAL; CIMETIVAL; NOT FOUND; 200 MG COM CX 50 BL AL PLAS AMB X 10 (EMB HOSP); SNV
1071401890011; CINAZON; CINAZON; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; SNV
1071401890028; CINAZON; CINAZON; NOT FOUND; 75 MG COM CT BL AL PLAS INC X 30; SNV
1071401890044; CINAZON; CINAZON; NOT FOUND; 25 MG COM CX 50 BL AL PLAS INC X 10 (EMB HOSP); SNV
1071401890052; CINAZON; CINAZON; NOT FOUND; 75 MG COM CX 50 BL AL PLAS INC X 10 (EMB HOSP); SNV
1071401560011; CIPRODINE; CIPRODINE; NOT FOUND; 250 MG COMP REV CT BL AL PLAS INC X 10; SNV
1071401560028; CIPRODINE; CIPRODINE; NOT FOUND; 500 MG COMP REV CT BL AL PLAS INC X 10; SNV
1071401250050; CLORANFENIL; CLORANFENIL; NOT FOUND; 250 MG COMP REV CX BL X 20; SNV
1071401250118; CLORANFENIL; CLORANFENIL; NOT FOUND; 500 MG CAP GEL DURA CX 02 BL AL PLAS INC X 10; SNV
1071402450013; CLORIDRATO DE VERAPAMIL; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 80 MG COM REV CT BL AL PLAS AMB X 20; SNV
1071402450021; CLORIDRATO DE VERAPAMIL; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 80 MG COM REV CT BL AL PLAS AMB X 30; SNV
1071402450031; CLORIDRATO DE VERAPAMIL; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 80 MG COM REV CX BL AL PLAS AMB X 500 (EMB HOSP); SNV
1071401880022; CICLISAN; CICLISAN; NOT FOUND; 100MG DRG CT BL ALPLAS INC X 15; SNV
1071410150023; CICLOVULON; CICLOVULON; NOT FOUND; COMP CT 10 BL AL PLAS INC X 21; SNV
1071402410011; CICLOVULON; CICLOVULON; NOT FOUND; 0.05 MG + 0.25 MG COM CT BL AL PLAS INC X 21; SNV
