68514; ACEBROFILINA; ACEBROFILINA; XAR. AD 10 MG 120 ML x 1 (/ML); N_Q;5,19E+14; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED 10 ML; N_Q
66081; ACEBROFILINA; ACEBROFILINA; XAR. AD 50 MG 120 ML x 1 (/5ML); GM2;5,26E+14; ACEBROFILINA; ACEBROFILINA; 25MG/5ML XPE C/ 120ML; GM2
66081; ACEBROFILINA; ACEBROFILINA; XAR. AD 50 MG 120 ML x 1 (/5ML); GM2;5,26E+14; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; GM2
66251; ACEBROFILINA; ACEBROFILINA; XAR. AD 50 MG 120 ML x 1 (/5ML); MD7;5,25E+14; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR VD AMB X 120 ML + DOSADOR; MD7
70113; ACEBROFILINA; ACEBROFILINA; XAR. AD 50 MG 120 ML x 1 (/5ML); FAS;5,09E+14; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED; FAS
66250; ACEBROFILINA; ACEBROFILINA; XAR. PED. 25 MG 120 ML x 1 (/5ML); MD7;5,25E+14; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR VD AMB X 120 ML + DOSADOR; MD7
68513; ACEBROFILINA; ACEBROFILINA; XAR. PED. 5 MG 120 ML x 1 (/ML); N_Q;5,19E+14; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED 10 ML; N_Q
66251; ACEBROFILINA; ACEBROFILINA; XAR. AD 50 MG 120 ML x 1 (/5ML); MD7;5,25E+14; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR VD AMB X 120 ML + DOSADOR; MD7
64285; ACEBROFILINA; ACEBROFILINA; XAR. PED. 25 MG 120 ML x 1 (/5ML); E3S;5,08E+14; ACEBROFILINA; ACEBROFILINA; 5MG/ML XPE CT FR VD AMB X 120ML + CP MED; E3S
64286; ACEBROFILINA; ACEBROFILINA; XAR. AD 50 MG 120 ML x 1 (/5ML); E3S;5,08E+14; ACEBROFILINA; ACEBROFILINA; 50MG/5ML XPE C/120ML; E3S
70113; ACEBROFILINA; ACEBROFILINA; XAR. AD 50 MG 120 ML x 1 (/5ML); FAS;5,09E+14; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; FAS
64285; ACEBROFILINA; ACEBROFILINA; XAR. PED. 25 MG 120 ML x 1 (/5ML); E3S;5,08E+14; ACEBROFILINA; ACEBROFILINA; 50MG/5ML XPE C/120ML; E3S
68514; ACEBROFILINA; ACEBROFILINA; XAR. AD 10 MG 120 ML x 1 (/ML); N_Q;5,19E+14; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED 10 ML; N_Q
68513; ACEBROFILINA; ACEBROFILINA; XAR. PED. 5 MG 120 ML x 1 (/ML); N_Q;5,19E+14; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED 10 ML; N_Q
70113; ACEBROFILINA; ACEBROFILINA; XAR. AD 50 MG 120 ML x 1 (/5ML); FAS;5,09E+14; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; FAS
70113; ACEBROFILINA; ACEBROFILINA; XAR. AD 50 MG 120 ML x 1 (/5ML); FAS;5,09E+14; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED; FAS
66250; ACEBROFILINA; ACEBROFILINA; XAR. PED. 25 MG 120 ML x 1 (/5ML); MD7;5,25E+14; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR VD AMB X 120 ML + DOSADOR; MD7
66080; ACEBROFILINA; ACEBROFILINA; XAR. PED. 5 MG 120 ML x 1 (/5ML); GM2;5,26E+14; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; GM2
70112; ACEBROFILINA; ACEBROFILINA; XAR. PED. 25 MG 120 ML x 1 (/5ML); FAS;5,09E+14; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED; FAS
70112; ACEBROFILINA; ACEBROFILINA; XAR. PED. 25 MG 120 ML x 1 (/5ML); FAS;5,09E+14; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; FAS
64286; ACEBROFILINA; ACEBROFILINA; XAR. AD 50 MG 120 ML x 1 (/5ML); E3S;5,08E+14; ACEBROFILINA; ACEBROFILINA; 5MG/ML XPE CT FR VD AMB X 120ML + CP MED; E3S
70112; ACEBROFILINA; ACEBROFILINA; XAR. PED. 25 MG 120 ML x 1 (/5ML); FAS;5,09E+14; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; FAS
66080; ACEBROFILINA; ACEBROFILINA; XAR. PED. 5 MG 120 ML x 1 (/5ML); GM2;5,26E+14; ACEBROFILINA; ACEBROFILINA; 25MG/5ML XPE C/ 120ML; GM2
70112; ACEBROFILINA; ACEBROFILINA; XAR. PED. 25 MG 120 ML x 1 (/5ML); FAS;5,09E+14; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED; FAS
92381; ACECLOFENACO CP; NOT FOUND; CPR REVEST 100 MG x 12; GM2;5,26E+14; ACECLOFENACO; ACECLOFENACO; 15 MG / G CREME DERM CT BG AL X 30 G; GM2
93531; ACECLOFENACO CP; NOT FOUND; CPR REVEST 100 MG x 12; E3S;5,08E+14; ACECLOFENACO; ACECLOFENACO; 15 MG / G CREME DERM CT BG AL X 30 G; E3S
92383; ACECLOFENACO CP; NOT FOUND; CPR REVEST 100 MG x 24; GM2;5,26E+14; ACECLOFENACO; ACECLOFENACO; 15 MG / G CREME DERM CT BG AL X 30 G; GM2
72270; ACECLOFENACO; ACECLOFENACO; CREME DERMAT 15 MG 30 G x 1 (/G); GM2;5,26E+14; ACECLOFENACO; ACECLOFENACO; 15 MG / G CREME DERM CT BG AL X 30 G; GM2
72097; ACECLOFENACO; ACECLOFENACO; CREME DERMAT 15 MG 30 G x 1 (/G); E3S;5,08E+14; ACECLOFENACO; ACECLOFENACO; 15 MG / G CREME DERM CT BG AL X 30 G; E3S
72906; AC DEXAMETASONA; ACETATO DEXAMETASONA; CREME DERMAT 1 MG 10 G x 1 (/G); E3S;5,08E+14; ACETATO DEXAMETASONA; ACETATO DEXAMETASONA; 1 MG/G CREM DERM CT BG AL X 10 G; E3S
72907; AC DEXAMETASONA; ACETATO DEXAMETASONA; CREME DERMAT 1 MG 10 G x 1 (/G); GM2;5,26E+14; ACETATO DEXAMETASONA; ACETATO DEXAMETASONA; 1 MG/G CREM DERM CT BG AL X 10 G; GM2
66083; ACETILCISTEINA; ACETILCISTEINA; XAR. 20 MG 100 ML x 1 (/ML); GM2;5,26E+14; ACETILCISTEINA; ACETILCISTEINA; 40 MG/ML XPE AD 120 ML; GM2
69243; ACETILCISTEINA; ACETILCISTEINA; GRAN ENVELO. 100 MG 5 G x 16; E3S;5,08E+14; ACETILCISTEINA; ACETILCISTEINA; 100 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC); E3S
67924; ACETILCISTEINA; ACETILCISTEINA; XPE INF. 20 MG 120 ML x 1 (/ML); E3S;5,08E+14; ACETILCISTEINA; ACETILCISTEINA; 600 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC); E3S
67924; ACETILCISTEINA; ACETILCISTEINA; XPE INF. 20 MG 120 ML x 1 (/ML); E3S;5,08E+14; ACETILCISTEINA; ACETILCISTEINA; 200MG GRAN CT 16 ENV AL POLIET X 5G; E3S
68717; ACETILCISTEINA; ACETILCISTEINA; GRAN ENVELO. 600 MG 5 G x 16; GM2;5,26E+14; ACETILCISTEINA; ACETILCISTEINA; 40 MG/ML XPE AD 120 ML; GM2
64288; ACETILCISTEINA; ACETILCISTEINA; GRAN ENVELO. 200 MG 5 G x 16; E3S;5,08E+14; ACETILCISTEINA; ACETILCISTEINA; 100 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC); E3S
