327275; VACINA HUMANA; VACINA HUMANA; NOT FOUND; VIRUS VIVO ATENUADO POLIOMIELITE TIPO I. II E III. SUSPENSAO ORAL; NO_ACR; FRASCO; 1680.00 ML

391660; VACINA HUMANA; VACINA HUMANA; NOT FOUND; PNEUMOCOCICA CONJUGADA 13-VALENTE. SOROTIPOS: 4.6B.9V.14.18C.19F.23F.1.3.5.6A.7F.19A. SUSPENSAO INJETAVEL; NO_ACR; SERINGA; 0

361507; VACINA HUMANA; VACINA HUMANA; NOT FOUND; ANTI-HPV (PAPILOMA VIRUS). TETRAVALENTE. MONODOSE. SUSPENSAO INJETAVEL. SERINGA PREENCHIDA; NO_ACR; DOSE(S); 0

368499; VITAMINAS DO COMPLEXO B; VITAMINAS DO COMPLEXO B; NOT FOUND; B1.B2.B3.B5.B6; NO_ACR; FRASCO; 20.00 ML

356935; VENLAFAXINA; VENLAFAXINA; VENLAFAXINA; SAL CLORIDRATO. 37.5 MG. LIBERACAO CONTROLADA; NO_ACR; CÃPSULA; 0

396695; VITAMINAS DO COMPLEXO B; VITAMINAS DO COMPLEXO B; NOT FOUND; COMPOSICAO MINIMA DE VITAMINAS: B1.B2.B3.B5 E B6. XAROPE; NO_ACR; FRASCO; 20.00 ML

396109; VACINA HUMANA; VACINA HUMANA; NOT FOUND; CONTRA INFLUENZA. FRAGMENTADA E INATIVADA. CEPAS SIMILARES AO TIPO A (H1N1 + H3N2) E TIPO B. SUSPENSAO INJETAVEL; NO_ACR; FRASCO-AMPOLA; 0

272091; VITAMINAS DO COMPLEXO B; VITAMINAS DO COMPLEXO B; NOT FOUND; VITAMINAS: B1.B2.B6.B12 E PP. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 20.00 ML

363068; VACINA HUMANA; VACINA HUMANA; NOT FOUND; POLIOMIELITE TIPOS I.II E III. INATIVADA. 40 UD + 8 UD + 32 UD/DOSE. SUSPENSAO INJETAVEL; NO_ACR; DOSE(S); 0

423264; VACINA HUMANA; VACINA HUMANA; NOT FOUND; CONTRA HPV. CEPAS 6. 11. 16. 18 (QUADRIVALENTE). MONODOSE. SUSPENSAO INJETAVEL. RECOMBINANTE; NO_ACR; FRASCO; 4.00 ML

370335; VACINA HUMANA; VACINA HUMANA; NOT FOUND; ACAROS MIX(D.PTERONYSSINUS.D.FARINAE.B.TROPICALIS). P/IMUNOTERAPIA. DILUICAO 1/100. DEPOT; NO_ACR; FRASCO; 6.00 ML

333565; VACINA HUMANA; VACINA HUMANA; NOT FOUND; ACAROS E FUNGOS DO AR. 60% + 40%. NA DILUICAO 1/1.000. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 6.00 ML

306145; VALSARTANA; VALSARTANA; VALSARTANA; 160 MG; NO_ACR; COMPRIMIDO; 0

367768; VANCOMICINA CLORIDRATO; VANCOMICINA CLORIDRATO; NOT FOUND; 500 MG. PO LIOFILO P/ INJETAVEL. COM BOLSA DILUENTE NACL 0.9%  100ML; NO_ACR; CÃPSULA; 0

370335; VACINA HUMANA; VACINA HUMANA; NOT FOUND; ACAROS MIX(D.PTERONYSSINUS.D.FARINAE.B.TROPICALIS). P/IMUNOTERAPIA. DILUICAO 1/100. DEPOT; NO_ACR; FRASCO-AMPOLA; 0

268540; VANCOMICINA CLORIDRATO; VANCOMICINA CLORIDRATO; NOT FOUND; 500 MG. INJETAVEL; NO_ACR; FRASCO-AMPOLA; 0

328530; VALPROATO DE SÃDIO; VALPROATO SODIO; VALPROATO SODIO; 500 MG; NO_ACR; FRASCO; 5.00 ML

358811; VACINA HUMANA; VACINA HUMANA; NOT FOUND; CONTRA VARICELA. VIRUS VIVO ATENUADO. MINIMO DE 1350 UFP/DOSE DE 0.5ML. PO LIOFILO P/ INJETAVEL + DILUENTE; NO_ACR; SERINGA; 0

333564; VACINA HUMANA; VACINA HUMANA; NOT FOUND; ACAROS E FUNGOS DO AR. 60% + 40%. NA DILUICAO 1/10.000. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 6.00 ML

357683; VACINA HUMANA; VACINA HUMANA; NOT FOUND; VIRUS DA HEPATITE A + ANTIGENO DE SUPERFICIE DA. HEPATITE B. 720 UNIDADES ELISA + 20 MCG/ DOSE (1ML). SUSPENSAO INJETAVEL; NO_ACR; DOSE(S); 0

278306; VACINA HUMANA; VACINA HUMANA; NOT FOUND; ALERGENA EM ALUMEN PRECIPITADO 1:1. LIQUIDO. INALANTE + ANTIESTROFULO; NO_ACR; FRASCO; 6.00 ML

394770; VACINA HUMANA; VACINA HUMANA; NOT FOUND; CONTRA HPV ONCOGENICO (16 E 18). RECOMBINANTE. COM ADJUVANTE ASO4. 20 MCG. MONODOSE. SUSPENSAO INJETAVEL; NO_ACR; FRASCO-AMPOLA; 0

383790; VINORELBINA; VINORELBINA; VINORELBINA; SAL TARTARATO. 30 MG; NO_ACR; FRASCO; 5.00 ML

338298; VORICONAZOL; VORICONAZOL; VORICONAZOL; 200 MG. PO LIOFILO P/ INJETAVEL; NO_ACR; COMPRIMIDO; 0

278483; VITAMINAS DO COMPLEXO B; VITAMINAS DO COMPLEXO B; NOT FOUND; VITAMINAS: B1.B2.B6.B12 E PP. SOLUCAO ORAL; NO_ACR; FRASCO; 100.00 ML

292790; VALSARTANA; VALSARTANA; VALSARTANA; ASSOCIADO A HIDROCLOROTIAZIDA. 80 MG + 12.5 MG; NO_ACR; COMPRIMIDO; 0

267425; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 80 MG; NO_ACR; DRÃGEA; 0

267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; NO_ACR; COMPRIMIDO; 0

394770; VACINA HUMANA; VACINA HUMANA; NOT FOUND; CONTRA HPV ONCOGENICO (16 E 18). RECOMBINANTE. COM ADJUVANTE ASO4. 20 MCG. MONODOSE. SUSPENSAO INJETAVEL; NO_ACR; FRASCO; 50.00 DOSE(S)

356935; VENLAFAXINA; VENLAFAXINA; VENLAFAXINA; SAL CLORIDRATO. 37.5 MG. LIBERACAO CONTROLADA; NO_ACR; COMPRIMIDO; 0

335969; VARDENAFILA; VARDENAFILA; VARDENAFILA; 20 MG; NO_ACR; COMPRIMIDO; 0

267732; VITELINATO DE PRATA; VITELINATO PRATA; VITELINATO PRATA; 10%. SOLUCAO OFTALMICA; NO_ACR; FRASCO; 10.00 ML

429826; VISMODEGIB; VISMODEGIB; NOT FOUND; 150 MG; NO_ACR; CÃPSULA; 0

278483; VITAMINAS DO COMPLEXO B; VITAMINAS DO COMPLEXO B; NOT FOUND; VITAMINAS: B1.B2.B6.B12 E PP. SOLUCAO ORAL; NO_ACR; DRÃGEA; 0

