270620; ESCOPOLAMINA BUTILBROMETO; ESCOPOLAMINA BUTILBROMETO; NOT FOUND; ASSOCIADA COM DIPIRONA SODICA. 10MG + 250MG; NO_ACR; AMPOLA; 1.00 ML

267281; ESCOPOLAMINA BUTILBROMETO; ESCOPOLAMINA BUTILBROMETO; NOT FOUND; 10 MG/ML. SOLUCAO ORAL; NO_ACR; FRASCO; 10.00 ML

369177; EVEROLIMO; EVEROLIMO; EVEROLIMO; 0.25 MG; NO_ACR; COMPRIMIDO; 0

267207; ERITROMICINA; ERITROMICINA; ERITROMICINA; 250 MG; NO_ACR; DRÃGEA; 0

270848; ESTRADIOL; ESTRADIOL; ESTRADIOL; ASSOCIADO COM NORETISTERONA ACETATO. 2MG + 1MG; NO_ACR; COMPRIMIDO; 0

269997; ERITROMICINA; ERITROMICINA; ERITROMICINA; ESTOLATO. 25 MG/ML. SUSPENSAO ORAL; NO_ACR; COMPRIMIDO; 0

267207; ERITROMICINA; ERITROMICINA; ERITROMICINA; 250 MG; NO_ACR; FRASCO; 60.00 ML

291231; ESTREPTOMICINA SULFATO; ESTREPTOMICINA SULFATO; NOT FOUND; 1 G. PO P/ SUSPENSAO INJETAVEL; NO_ACR; FRASCO-AMPOLA; 0

270620; ESCOPOLAMINA BUTILBROMETO; ESCOPOLAMINA BUTILBROMETO; NOT FOUND; ASSOCIADA COM DIPIRONA SODICA. 10MG + 250MG; NO_ACR; AMPOLA; 5.00 ML

426103; EXTRATO MEDICINAL; EXTRATO MEDICINAL; NOT FOUND;  MENTHA PIPERITA. 750 MG; NO_ACR; CÃPSULA; 0

395847; EXTRATO MEDICINAL; EXTRATO MEDICINAL; NOT FOUND; ALOE VERA (L.) BURM F.. 50 MG/G. POMADA. FORMULACAO ESPECIALMENTE MANIPULADA; NO_ACR; BISNAGA; 50.00 G

382297; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 2 MG/ML. SUSPENSAO ORAL. FORMULACAO ESPECIALMENTE MANIPULADA; NO_ACR; FRASCO; 100.00 ML

270621; ESCOPOLAMINA BUTILBROMETO; ESCOPOLAMINA BUTILBROMETO; NOT FOUND; ASSOCIADA COM DIPIRONA SODICA. 4MG + 500MG/ML. SOLUCAO INJETAVEL; NO_ACR; COMPRIMIDO; 0

285689; EZETIMIBA; EZETIMIBA; EZETIMIBA; ASSOCIADO A SINVASTATINA. 10MG + 40 MG; NO_ACR; COMPRIMIDO; 0

267281; ESCOPOLAMINA BUTILBROMETO; ESCOPOLAMINA BUTILBROMETO; NOT FOUND; 10 MG/ML. SOLUCAO ORAL; NO_ACR; COMPRIMIDO; 0

270365; EPIRRUBICINA CLORIDRATO; EPIRRUBICINA CLORIDRATO; NOT FOUND; 20 MG. INJETAVEL; NO_ACR; FRASCO; 10.00 ML

271432; ESTROGÃNIOS CONJUGADOS; ESTROGENIOS CONJUGADOS; ESTROGENIOS CONJUGADOS; 1.25 MG; NO_ACR; COMPRIMIDO; 0

272624; EMULSÃO DE LIPÃDIOS; EMULSAO LIPIDIOS; NOT FOUND; 20%. MCT / LCT. INJETaVEL; NO_ACR; FRASCO; 500.00 ML

267281; ESCOPOLAMINA BUTILBROMETO; ESCOPOLAMINA BUTILBROMETO; NOT FOUND; 10 MG/ML. SOLUCAO ORAL; NO_ACR; AMPOLA; 5.00 ML

305808; EXTRATO MEDICINAL; EXTRATO MEDICINAL; NOT FOUND; PASSIFLORA INCARNATA. CARATAEGUS OXYACANTHA. SALIX ALBA. 100 MG + 30 MG + 100 MG; NO_ACR; FRASCO; 120.00 ML

315089; ENTECAVIR; ENTECAVIR; ENTECAVIR; 1 MG; NO_ACR; COMPRIMIDO; 0

359286; EXTRATO MEDICINAL; EXTRATO MEDICINAL; NOT FOUND; HERA SEMPRE-VERDE. EXTRATO SECO DE HEDERA HELIX. 7 MG/ML. XAROPE; NO_ACR; FRASCO; 100.00 ML

272198; ETILEFRINA CLORIDRATO; ETILEFRINA CLORIDRATO; NOT FOUND; 10MG/ML. INJETAVEL; NO_ACR; AMPOLA; 1.00 ML

297775; ENZIMAS PANCREÃTICAS; ENZIMAS PANCREATICAS; NOT FOUND; PANCREATINA ( AMILASE + LIPASE + PROTEASE ). 10.000 UI; NO_ACR; CÃPSULA; 0

376809; EXTRATO MEDICINAL; EXTRATO MEDICINAL; NOT FOUND; BETULA + ARNICA (ARNICA MONTANA L). EM SOLUCAO OLEOSA TOPICA; NO_ACR; FRASCO; 100.00 ML

343607; ETANERCEPTE; ETANERCEPTE; ETANERCEPTE; 25 MG. PO LIOFILO P/ INJETAVEL. COM KIT DE APLICACAO; NO_ACR; SERINGA; 0

267650; ENALAPRIL MALEATO; ENALAPRIL MALEATO; NOT FOUND; 5 MG; NO_ACR; COMPRIMIDO; 0

295299; EXTRATO MEDICINAL; EXTRATO MEDICINAL; NOT FOUND; MENTHA CRISPA. 160 MG. EXTRATO SECO; NO_ACR; CÃPSULA; 0

272201; ETILEFRINA CLORIDRATO; ETILEFRINA CLORIDRATO; NOT FOUND; 7.5MG/ML. SOLUCAO ORAL - GOTAS; NO_ACR; FRASCO; 20.00 ML

308073; EXTRATO MEDICINAL; EXTRATO MEDICINAL; NOT FOUND; ARNICA MONTANA L.. 200 MG/G. GEL; NO_ACR; FRASCO; 250.00 G

355023; EXTRATO MEDICINAL; EXTRATO MEDICINAL; NOT FOUND; EXTRATO SECO DE VALERIANA OFFICINALIS. 125 MG; NO_ACR; COMPRIMIDO; 0

