81082; HIDRADEEP ; HIDRADEEP; NOT FOUND; BAST LAB F30 5.50 G x 1; A4H

93524; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 6 MG x 30; A4H

93521; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 1.50 MG x 30; A4H

50874; HEMAX ; HEMAX; NOT FOUND; F.AMP LIOF 4000 IU 2 ML x 1; A4H

128804; HIDRADEEP AE ; HIDRADEEP AE; NOT FOUND; LOCAO HIDRAT 200 G x 1; A4H

93523; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 4.50 MG x 30; A4H

93522; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 3 MG x 30; A4H

52517; HIPRESS ; HIPRESS; NOT FOUND; CPR REVEST x 15; A4H

55634; HEMAX ; HEMAX; NOT FOUND; F.AMP 10 K x 1; A4H

83316; HIDRADEEP OIL CONT ; HIDRADEEP OIL CONT; NOT FOUND; CR H FAC F30 60 ML x 1; A4H

50872; HEMAX ; HEMAX; NOT FOUND; F.AMP LIOF 1000 IU 1 ML x 1; A4H

51419; HYTRIN ; HYTRIN; NOT FOUND; CPR 5 MG x 30; ABT

50114; HYTRIN ; HYTRIN; NOT FOUND; CPR 2 MG x 14; ABT

147817; HAEMOLANCE PLUS ; HAEMOLANCE PLUS; NOT FOUND; LANCE LOW FL x 200; ABT

51418; HYTRIN ; HYTRIN; NOT FOUND; CPR 5 MG x 15; ABT

56598; HANTINA ; HANTINA; NOT FOUND; SUSP ORAL 5 MG 120 ML x 1 (/ML); APS

54214; HOLOXANE ; HOLOXANE; NOT FOUND; F.IV LIOF 2 G x 10; BAX

47083; HOLOXANE ; HOLOXANE; NOT FOUND; F.IV LIOF 1 G x 10; BAX

47082; HOLOXANE ; HOLOXANE; NOT FOUND; F.IV LIOF 500 MG x 10; BAX

49961; HICONCIL ; HICONCIL; NOT FOUND; PO P/SUSP 125 MG 150 ML x 1 (/5ML); BMS

30906; HALOG ; HALOG; NOT FOUND; SOLN CAPIL 1 MG 30 ML x 1 (/ML); BMS

29213; HALOG ; HALOG; NOT FOUND; CREME 1 MG 30 G x 1 (/G); BMS

49962; HICONCIL ; HICONCIL; NOT FOUND; PO P/SUSP 250 MG 150 ML x 1 (/5ML); BMS

76057; HIDRAKIDS ; HIDRAKIDS; NOT FOUND; LOC. 200 G x 1; BS2

68459; HEPA-MERZ ; HEPA MERZ; NOT FOUND; GRAN ENVELO. 3 G 5 G x 10; BS2

68458; HEPA-MERZ ; HEPA MERZ; NOT FOUND; AMP.INFUSION 5 G 10 ML x 5; BS2

66057; HIDRAKIDS ; HIDRAKIDS; NOT FOUND; LOC. 60 G x 1; BS2

55012; HIOARISTON ; HIOARISTON; NOT FOUND; AMP. 5 ML x 50; BU_

75685; HEPAMAX ; HEPAMAX; NOT FOUND; F.AMP 5000 IU 5 ML x 25; BU_

154142; HEPATOFORTE ; HEPATOFORTE; NOT FOUND; FLAC 10 ML x 48; CM5

78216; HIDRAT ; HIDRAT; NOT FOUND; LOC. 3 % 150 ML x 1; CM5

82084; HEMOFISS ; HEMOFISS; NOT FOUND; POM 1APLI 30 G x 1; CM5

76134; HIDRAT ; HIDRAT; NOT FOUND; LOC. 10 % 150 ML x 1; CM5

71400; HIDROMED ; HIDROMED; NOT FOUND; CPR 25 MG x 30; CM5

95033; HEPAMED ; HEPAMED; NOT FOUND; FLACONETES 10 ML x 48; CM5

99502; HEPAMED ; HEPAMED; NOT FOUND; LIQ ABA 100 ML x 1; CM5

61397; HIDROMED ; HIDROMED; NOT FOUND; CPR 50 MG x 20; CM5

106108; HIPOMED ; HIPOMED; NOT FOUND; POMADA BABY 45 G x 1; CM5

80431; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 25 MG x 30; CM5

75240; HIDRAT ; HIDRAT; NOT FOUND; LOC. 3 % 100 ML x 1; CM5

61396; HIDROMED ; HIDROMED; NOT FOUND; CPR 25 MG x 20; CM5

69145; HIDROMED ; HIDROMED; NOT FOUND; CPR 25 MG x 1000; CM5

100098; HEPAMED ; HEPAMED; NOT FOUND; FLAC ABACAXI 10 ML x 48; CM5

106113; HIPOMED ; HIPOMED; NOT FOUND; POMADA 45 G x 1; CM5

78158; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 50 MG x 20; CM5

84958; HYSEAC ; HYSEAC; NOT FOUND; FLUIDO FPS30 50 ML x 1; CT6

84955; HYSEAC ; HYSEAC; NOT FOUND; CRE ACT CARE 40 ML x 1; CT6
