123834; PREDNISOLONA MG ; PREDNISOLONA; PREDNISOLONA; CPR 20 MG x 10; A4H

154074; PROVANCE ; PROVANCE; NOT FOUND; CPR MAST x 10; A4H

70220; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR REVEST 750 MG x 20; A4H

86663; PURIANCE ; PURIANCE; NOT FOUND; GEL RENO 60 G x 1; A4H

67741; POSTINOR UNO ; POSTINOR UNO; NOT FOUND; CPR 1.50 MG x 1; A4H

91034; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 28; A4H

91032; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 20 MG x 28; A4H

46620; PROEPA ; PROEPA; NOT FOUND; CAPS 1 G x 45; A4H

51314; PARASIN ; PARASIN; NOT FOUND; SUSP ORAL 40 MG 10 ML x 1 (/ML); A4H

54905; PRELONE ; PRELONE; NOT FOUND; XAROPE 3 MG 60 ML x 1 (/ML); A4H

54906; PRELONE ; PRELONE; NOT FOUND; XAROPE 3 MG 120 ML x 1 (/ML); A4H

51313; PARASIN ; PARASIN; NOT FOUND; CPR MASC 400 MG x 1; A4H

58628; PIROXICAM MG ; PIROXICAM; PIROXICAM; CAPS 20 MG x 15; A4H

55297; POSTINOR-2 ; POSTINOR 2; NOT FOUND; CPR 0.75 MG x 2; A4H

137397; PREGABALINA MG ; PREGABALINA; PREGABALINA; CAPS GEL 75 MG x 30; A4H

64261; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); A4H

91033; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 14; A4H

56760; PROSTAVASIN ; PROSTAVASIN; NOT FOUND; F.AMP LIOF 20 Y x 10; A4H

30620; PARAQUEIMOL ; PARAQUEIMOL; NOT FOUND; POM. 50 G x 1; A4H

78195; PRELONE ; PRELONE; NOT FOUND; GOTAS 11 MG 20 ML x 1 (/ML); A4H

57791; PRELONE ; PRELONE; NOT FOUND; CPR 20 MG x 10; A4H

85198; PROLIVE ; PROLIVE; NOT FOUND; CAPS 55 MG x 30; A4H

77823; PRELONE ; PRELONE; NOT FOUND; CPR 5 MG x 10; A4H

57790; PRELONE ; PRELONE; NOT FOUND; CPR 5 MG x 20; A4H

154075; PROVANCE ; PROVANCE; NOT FOUND; CPR MAST x 30; A4H

123836; PREDNISOLONA MG ; PREDNISOLONA; PREDNISOLONA; CPR 5 MG x 20; A4H

79256; PURIANCE ; PURIANCE; NOT FOUND; SABAO 80 G x 1; A4H

144382; PURIANCE ; PURIANCE; NOT FOUND; SAB LIQ 140 ML x 1; A4H

59105; PENTOXIFILINA MG ; PENTOXIFILINA; PENTOXIFILINA; CPR REVEST 400 MG x 30; A4H

88858; PROEPA GESTA ; PROEPA GESTA; NOT FOUND; CAPS x 30; A4H

91031; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 20 MG x 14; A4H

85197; PROLIVE ; PROLIVE; NOT FOUND; CAPS 55 MG x 15; A4H

70219; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR REVEST 750 MG x 200; A4H

59619; PREVAX ; PREVAX; NOT FOUND; CPR 15 MG x 10; A4H

102164; PIPERACI+TAZOBA.MG ; PIPERACI TAZOBA; NOT FOUND; F A PO LIOF 4 G 50 ML x 10 (/50; AA0

99979; PEDIALYTE ZINCO 45 ; PEDIALYTE ZINCO 45; NOT FOUND; SOL GUARANA 500 ML x 1; ABT

51511; PEDIASURE ; PEDIASURE; NOT FOUND; LIQ COMP MOR 237 ML x 1; ABT

52929; PEDIASURE ; PEDIASURE; NOT FOUND; PO COMP CHOC 400 G x 1; ABT

92419; PEDIASURE ; PEDIASURE; NOT FOUND; PO COMP MORA 400 G x 1; ABT

32529; POLIGINAX ; POLIGINAX; NOT FOUND; CAPS VAGI x 12; ABT

51852; PEDIALYTE 45 ; PEDIALYTE 45; NOT FOUND; SOLN GUARANA 500 ML x 1; ABT

53398; PERATIVE ; PERATIVE; NOT FOUND; LIQD 1000 ML x 1; ABT

54490; PEDIALYTE 45 ; PEDIALYTE 45; NOT FOUND; SOLN.T.FRUTI 500 ML x 1; ABT

51856; POLIGINAX ; POLIGINAX; NOT FOUND; CR.VAG.12APL 60 G x 1; ABT

51512; PEDIASURE ; PEDIASURE; NOT FOUND; PO COMP BAUN 400 G x 1; ABT

99982; PEDIALYTE ZINCO 60 ; PEDIALYTE ZINCO 60; NOT FOUND; SOL MACA 500 ML x 1; ABT

54297; PROFORT ; PROFORT; NOT FOUND; LIQD BAUNIL. 1000 ML x 1; ABT

99981; PEDIALYTE ZINCO 45 ; PEDIALYTE ZINCO 45; NOT FOUND; SOL MORANGO 500 ML x 1; ABT

50906; PANZYTRAT ; PANZYTRAT; NOT FOUND; CAPS GASTROR x 12; ABT

150768; PROSURE ; PROSURE; NOT FOUND; LIQ RPB BAUN 220 ML x 1; ABT

51670; PREDNISONA ; PREDNISONA; PREDNISONA; CPR 5 MG x 20; ABT

99980; PEDIALYTE ZINCO 45 ; PEDIALYTE ZINCO 45; NOT FOUND; SOL MACA 500 ML x 1; ABT

76363; PIASCLEDINE ; PIASCLEDINE; NOT FOUND; CAPS 300 MG x 30; ABT

142035; PROSURE ; PROSURE; NOT FOUND; LIQ RPB LAR 220 ML x 1; ABT

77490; PEDIASURE ; PEDIASURE; NOT FOUND; PO COMP BAUN 900 G x 1; ABT

99983; PEDIALYTE ZINCO 60 ; PEDIALYTE ZINCO 60; NOT FOUND; SOL UVA 500 ML x 1; ABT

53397; PERATIVE ; PERATIVE; NOT FOUND; LIQD 237 ML x 1; ABT

72820; PROSURE ; PROSURE; NOT FOUND; PO BAUNILHA 380 G x 1; ABT

53407; PULMOCARE ; PULMOCARE; NOT FOUND; LIQD BAUNIL. 1000 ML x 1; ABT

67314; PROSURE ; PROSURE; NOT FOUND; TETRA P BAN 240 ML x 1; ABT

142034; PROSURE ; PROSURE; NOT FOUND; LIQ RPB BAN 220 ML x 1; ABT

67316; PROSURE ; PROSURE; NOT FOUND; TETRA P LAR 240 ML x 1; ABT

57904; PIASCLEDINE ; PIASCLEDINE; NOT FOUND; CAPS 300 MG x 15; ABT

49357; PICRATO BUTESIN ; PICRATO BUTESIN; NOT FOUND; POM. 1 % 15 G x 1; ABT

59294; PRECISION PLUS ; PRECISION PLUS; NOT FOUND; TIRAS TESTE x 100; ABT

51315; PEDIALYTE ; PEDIALYTE; NOT FOUND; SOLN ORAL 500 ML x 1; ABT

51509; PEDIASURE ; PEDIASURE; NOT FOUND; LIQ COMP BAU 237 ML x 1; ABT

51318; PEDIALYTE 45 ; PEDIALYTE 45; NOT FOUND; SOLN COCO 500 ML x 1; ABT

77491; PEDIASURE ; PEDIASURE; NOT FOUND; PO COMP CHOC 900 G x 1; ABT

51320; PEDIALYTE 45 ; PEDIALYTE 45; NOT FOUND; SOLN MACA 500 ML x 1; ABT

51317; PEDIALYTE 45 ; PEDIALYTE 45; NOT FOUND; SOLN CEREJA 500 ML x 1; ABT

51316; PEDIALYTE 90 ; PEDIALYTE 90; NOT FOUND; SOLN ORAL 500 ML x 1; ABT

67315; PROSURE ; PROSURE; NOT FOUND; TETRA P BAU 240 ML x 1; ABT

54489; PEDIALYTE 45 ; PEDIALYTE 45; NOT FOUND; SOLN PESSEGO 500 ML x 1; ABT

75488; PROGRAF XL ; PROGRAF XL; NOT FOUND; CAPS L.P. 1 MG x 50; AES

75489; PROGRAF XL ; PROGRAF XL; NOT FOUND; CAPS L.P. 5 MG x 50; AES

54787; PROGRAF ; PROGRAF; NOT FOUND; CAPS 5 MG x 50; AES

54786; PROGRAF ; PROGRAF; NOT FOUND; CAPS 1 MG x 100; AES

72226; PATANOL S ; PATANOL S; NOT FOUND; SOLN OFTAL 0.20 % 2.50 ML x 1; ALC

53395; PATANOL ; PATANOL; NOT FOUND; SOLN OFTAL 0.10 % 5 ML x 1; ALC

46824; PILOCARPINA ; PILOCARPINA; PILOCARPINA; COLIRIO 2 % 10 ML x 1; ALL

46825; PILOCARPINA ; PILOCARPINA; PILOCARPINA; COLIRIO 4 % 10 ML x 1; ALL

33119; PROPINE ; PROPINE; NOT FOUND; COLIRIO 0.10 % 10 ML x 1; ALL

49664; PRED FORT ; PRED FORT; NOT FOUND; SUSP OFTAL 1 % 5 ML x 1; ALL

54293; PRED MILD ; PRED MILD; NOT FOUND; SUSP OFTAL 0.12 % 5 ML x 1; ALL

46877; PILOCARPINA ; PILOCARPINA; PILOCARPINA; COLIRIO 1 % 10 ML x 1; ALL

50257; POLIPRED ; POLIPRED; NOT FOUND; SUSP OFTAL 5 ML x 1; ALL

54294; PRED MILD ; PRED MILD; NOT FOUND; SUSP OFTAL 0.12 % 10 ML x 1; ALL

73135; PIPERACI+TAZOBA.MG ; PIPERACI TAZOBA; NOT FOUND; F.AMP IV 2 G 30 ML x 1 (/.25); AOB

73136; PIPERACI+TAZOBA.MG ; PIPERACI TAZOBA; NOT FOUND; F.AMP IV 4 G 40 ML x 1 (/0.5); AOB

74448; PANKREOFLAT ; PANKREOFLAT; NOT FOUND; DRAG x 30; APS

74966; POSTEC ; POSTEC; NOT FOUND; POM. 20 G x 1; APS

7974; PANKREOFLAT ; PANKREOFLAT; NOT FOUND; DRAG x 20; APS

54448; PRIMID ; PRIMID; NOT FOUND; CPR 100 MG x 100; APS

63835; PRIMID ; PRIMID; NOT FOUND; CPR 250 MG x 20; APS

62092; POSTEC ; POSTEC; NOT FOUND; POM. 10 G x 1; APS

158172; PARACETA+CODE MG ; PARACETA CODE; NOT FOUND; CPR 500 MG x 24 (/30); ATV

76562; PARACETA+CODE MG ; PARACETA CODE; NOT FOUND; CPR 30 MG x 12; ATV

66147; PRAVASTAT.SODIC.MG ; PRAVASTAT SODIC; NOT FOUND; CPR 20 MG x 30; ATV

49621; PROSTEM PLUS ; PROSTEM PLUS; NOT FOUND; CAPS x 12; BAL

64022; PROSTEM ; PROSTEM; NOT FOUND; CAPS 50 MG x 30; BAL

64237; PROSTEM ; PROSTEM; NOT FOUND; CAPS 100 MG x 30; BAL

45292; PARTOGAMA ; PARTOGAMA; NOT FOUND; F.AMP 0.30 MG 2 ML x 1; BAX

