323964; NITRATO DE PRATA; NITRATO PRATA; NITRATO PRATA; 30 MG/ML. SOLUCAO TOPICA. MEDICAMENTO ESPECIALMENTE MANIPULADO; NO_ACR; UNIDADE; 0

304845; NITROGLICERINA; NITROGLICERINA; NITROGLICERINA; 50 MG. DISCO ADESIVO. 10 MG/24HS; NO_ACR; AMPOLA; 10.00 ML

273167; NEOMICINA; NEOMICINA; NEOMICINA; ASSOCIADA COM BACITRACINA. 5MG + 250UI/G. POMADA; NO_ACR; BISNAGA; 50.00 G

423130; NUTRIÃÃO PARENTERAL; NUTRICAO PARENTERAL; NOT FOUND; AMINOACIDOS EM SOLUCAO FISIOLOGICA. L-ARGININA + L-LISINA. 2.5% + 2.5%. PREPARACAO INJETAVEL ESPECIALMENTE MANIPULADA; NO_ACR; MILILITRO; 0

273703; NAPROXENO; NAPROXENO; NAPROXENO; 500 MG; NO_ACR; COMPRIMIDO; 0

362573; NIMESULIDA; NIMESULIDA; NIMESULIDA; 20 MG/G. GEL; NO_ACR; BISNAGA; 30.00 G

291951; NITRATO DE PRATA; NITRATO PRATA; NITRATO PRATA; 10 MG/ML. SOLUCAO OFTALMICA; NO_ACR; FRASCO; 5.00 ML

328627; NITRITO DE SÃDIO; NITRITO SODIO; NITRITO SODIO; 30 MG/ML. SOLUCAO INJETAVEL. ESPECIALMENTE MANIPULADA; NO_ACR; AMPOLA; 10.00 ML

268273; NITROFURANTOÃNA; NITROFURANTOINA; NITROFURANTOINA; 100 MG; NO_ACR; FRASCO; 60.00 ML

273710; NIMESULIDA; NIMESULIDA; NIMESULIDA; 100 MG; NO_ACR; CÃPSULA; 0

394662; NEOMICINA; NEOMICINA; NEOMICINA; 5 MG/G. POMADA; NO_ACR; BISNAGA; 50.00 G

272400; NAFAZOLINA; NAFAZOLINA; NAFAZOLINA; 0.5 MG/ML. SOLUCAO NASAL; NO_ACR; FRASCO; 15.00 ML

272411; NAFAZOLINA; NAFAZOLINA; NAFAZOLINA; ASSOC. COM FENOLSULFONATO DE ZINCO E BERBERINA. 0.5MG + 1MG + 0.025MG/ML. SOLUCAO OFTALMICA; NO_ACR; FRASCO; 10.00 ML

268274; NITROFURAL; NITROFURAL; NITROFURAL; 2 MG/G. POMADA; NO_ACR; BISNAGA; 30.00 G

426045; NITISINONA; NITISINONA; NITISINONA; 5 MG; NO_ACR; CÃPSULA; 0

273711; NIMESULIDA; NIMESULIDA; NIMESULIDA; 50 MG/ML. SOLUCAO ORAL - GOTAS; NO_ACR; FRASCO; 60.00 ML

428028; NISTATINA; NISTATINA; NISTATINA; ASSOCIADA A LIDOCAINA. 100.000 UI/ML + 2%. SUSPENSAO ORAL. ESPECIALMENTE MANIPULADO; NO_ACR; FRASCO; 50.00 ML

305714; NITROFURANTOÃNA; NITROFURANTOINA; NITROFURANTOINA; 5 MG/ML. SUSPENSAO ORAL; NO_ACR; FRASCO; 100.00 ML

349666; NITRATO DE PRATA; NITRATO PRATA; NITRATO PRATA; 5 G. BASTAO; NO_ACR; FRASCO; 5.00 ML

272689; NANDROLONA; NANDROLONA; NANDROLONA; SAL DECANOATO. 25 MG/ML. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 1.00 ML

279297; NISTATINA; NISTATINA; NISTATINA; ASSOCIADA COM OXIDO DE ZINCO. 100.000UI + 200MG/G. CREME; NO_ACR; BISNAGA; 40.00 G

366914; NAFAZOLINA; NAFAZOLINA; NAFAZOLINA; SAL CLORIDRATO. 0.12 MG/ML. SOLUCAO OFTALMICA; NO_ACR; FRASCO; 15.00 ML

273166; NEOMICINA; NEOMICINA; NEOMICINA; 3.5MG/G. POMADA; NO_ACR; BISNAGA; 20.00 G

267378; NISTATINA; NISTATINA; NISTATINA; 100.000 UI/ML. SUSPENSAO ORAL; NO_ACR; FRASCO; 40.00 ML

273164; NEOMICINA; NEOMICINA; NEOMICINA; 500 MG; NO_ACR; BISNAGA; 20.00 G

268353; NEVIRAPINA; NEVIRAPINA; NEVIRAPINA; 200 MG; NO_ACR; FRASCO; 240.00 ML

276856; NORETISTERONA; NORETISTERONA; NORETISTERONA; 10MG; NO_ACR; COMPRIMIDO; 0

291951; NITRATO DE PRATA; NITRATO PRATA; NITRATO PRATA; 10 MG/ML. SOLUCAO OFTALMICA; NO_ACR; UNIDADE; 0

267733; NORETISTERONA; NORETISTERONA; NORETISTERONA; 0.35 MG. BLISTER CALENDARIO COM 35 UNIDADES; NO_ACR; COMPRIMIDO; 0

273167; NEOMICINA; NEOMICINA; NEOMICINA; ASSOCIADA COM BACITRACINA. 5MG + 250UI/G. POMADA; NO_ACR; CÃPSULA; 0

368640; NITAZOXANIDA; NITAZOXANIDA; NITAZOXANIDA; 20 MG/ML. PO P/ SUSPENSAO ORAL; NO_ACR; FRASCO; 30.00 ML

267730; NIFEDIPINO; NIFEDIPINO; NIFEDIPINO; 10 MG. RETARD; NO_ACR; COMPRIMIDO; 0

268500; NADROPARINA CÃLCICA; NADROPARINA CALCICA; NADROPARINA CALCICA; 2.850UI AXA. SOLUCAO INJETAVEL; NO_ACR; SERINGA; 0

333661; NEOMICINA; NEOMICINA; NEOMICINA; 1 G. MEDICAMENTO ESPECIALMENTE MANIPULADO; NO_ACR; CÃPSULA; 0

268970; NITROGLICERINA; NITROGLICERINA; NITROGLICERINA; 5 MG/ML. INJETAVEL; NO_ACR; AMPOLA; 5.00 ML

304844; NITROGLICERINA; NITROGLICERINA; NITROGLICERINA; 25 MG. DISCO ADESIVO. 5 MG/24HS; NO_ACR; UNIDADE; 0

273166; NEOMICINA; NEOMICINA; NEOMICINA; 3.5MG/G. POMADA; NO_ACR; CÃPSULA; 0

368612; NITAZOXANIDA; NITAZOXANIDA; NITAZOXANIDA; 500 MG; NO_ACR; FRASCO; 100.00 ML

406992; NIMESULIDA; NIMESULIDA; NIMESULIDA; 200 MG. ACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

345754; NITROGLICERINA; NITROGLICERINA; NITROGLICERINA; 0.4 MG/DOSE. LIQUIDO PULVERIZAVEL; NO_ACR; UNIDADE; 0

366914; NAFAZOLINA; NAFAZOLINA; NAFAZOLINA; SAL CLORIDRATO. 0.12 MG/ML. SOLUCAO OFTALMICA; NO_ACR; FRASCO; 24.00 ML

396703; NIMESULIDA; NIMESULIDA; NIMESULIDA; NIMESULIDA BETACICLODEXTRINA. 400 MG; NO_ACR; CÃPSULA; 0

268274; NITROFURAL; NITROFURAL; NITROFURAL; 2 MG/G. POMADA; NO_ACR; POTE; 500.00 G

305708; NISTATINA; NISTATINA; NISTATINA; 500.000 UI; NO_ACR; FRASCO; 50.00 ML

272407; NAFAZOLINA; NAFAZOLINA; NAFAZOLINA; ASSOCIADA COM SULFATO DE ZINCO. 0.15MG + 0.3MG/ML. SOLUCAO OFTALMICA; NO_ACR; FRASCO; 20.00 ML

270778; NIFEDIPINO; NIFEDIPINO; NIFEDIPINO; ASSOCIADA AO ATENOLOL. 10MG + 25MG; NO_ACR; COMPRIMIDO; 0

305717; NOREPINEFRINA; NOREPINEFRINA; NOREPINEFRINA; SAL BITARTARATO. 1 MG/ML. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 4.00 ML

305718; NOREPINEFRINA; NOREPINEFRINA; NOREPINEFRINA; SAL BITARTARATO. 2 MG/ML. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 4.00 ML

268501; NALBUFINA CLORIDRATO; NALBUFINA CLORIDRATO; NOT FOUND; 10 MG/ML. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 1.00 ML

273266; NALTREXONA CLORIDRATO; NALTREXONA CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; COMPRIMIDO; 0

272408; NAFAZOLINA; NAFAZOLINA; NAFAZOLINA; ASSOCIADA COM SULFATO DE ZINCO. 0.5MG + 2.5MG/ML. SOLUCAO OFTALMICA; NO_ACR; FRASCO; 15.00 ML

321780; NEOMICINA; NEOMICINA; NEOMICINA; SULFATO. 33 MG/ML. XAROPE. MEDICAMENTO ESPECIALMENTE MANIPULADO; NO_ACR; FRASCO; 100.00 ML

394662; NEOMICINA; NEOMICINA; NEOMICINA; 5 MG/G. POMADA; NO_ACR; BISNAGA; 10.00 G

405962; NIMOTUZUMABE; NIMOTUZUMABE; NIMOTUZUMABE; 5 MG/ML. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 10.00 ML

272402; NAFAZOLINA; NAFAZOLINA; NAFAZOLINA; ASSOCIADA SO CLORETO DE BENZALCONIO. 0.5MG + 0.1MG/ML. SOLUCAO NASAL; NO_ACR; FRASCO; 20.00 ML

295270; NUTRIÃÃO PARENTERAL; NUTRICAO PARENTERAL; NOT FOUND; SOL. AMINOACIDOS S/ GLUTAMINA. S/EMULSAO LIPIDICA. PODENDO OU NAO TER ADICAO DE: IONS CA.NA.K.CL.P.MG. OLIGOELEMENTOS. VITAMINAS. HEPARINA E INSULINA. COMPONENTES EM CONCENTRACOES E VOLUMES VARIADOS. PREPARACAO INJETAVEL ESPECIAL; NO_ACR; MILILITRO; 0

