1040800580057; ALBENDROX; ALBENDROX; NOT FOUND; 400 MG/ 10 ML SUS OR CT FR VD AMB X 10 ML; ROY
1040800580073; ALBENDROX; ALBENDROX; NOT FOUND; 400 MG/10 ML SUS OR CX 100 FR VD AMB X 10 ML (EMB HOSP); ROY
1040800580030; ALBENDROX; ALBENDROX; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 2; ROY
1040800580014; ALBENDROX; ALBENDROX; NOT FOUND; 400 MG COM CT BL AL PLAS INC X 1; ROY
1040800580049; ALBENDROX; ALBENDROX; NOT FOUND; 200 MG COM CX 50 BL AL PLAS INC X 2 (EMB HOSP); ROY
1040800580022; ALBENDROX; ALBENDROX; NOT FOUND; 400 MG COM CX 100 BL AL PLAS INC X 1 USO HOSP; ROY
1040800230026; AMICALIN; AMICALIN; NOT FOUND; 100 MG - INJ. CX. C/ 50 AMP; ROY
1040800230060; AMICALIN; AMICALIN; NOT FOUND; 250 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML; ROY
1040800680019; ANGYTON; ANGYTON; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 20; ROY
1040800680035; ANGYTON; ANGYTON; NOT FOUND; 200 MG COM CX BL AL PLAS INC X 500 (EMB HOSP); ROY
1040800300011; AMPICIMAX; AMPICIMAX; NOT FOUND; 250 MG/5 ML PO PREP EXT CT FR VD AMB X 60 ML; ROY
1040800300054; AMPICIMAX; AMPICIMAX; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 10; ROY
1040800800022; ATENOTON; ATENOTON; NOT FOUND; 100 MG - CX. C/ 28 COMP; ROY
1040800800014; ATENOTON; ATENOTON; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 28; ROY
1040800800030; ATENOTON; ATENOTON; NOT FOUND; 50 MG COM CX BL AL PLAS INC X 700 - (EMB HOSP); ROY
1040800320039; AZIDROMIC; AZIDROMIC; NOT FOUND; 600 MG PO PREP EXTEMP SUS OR CT FR PLAS OPC + FR PLAS DIL X 9 ML + SER; ROY
1040800320047; AZIDROMIC; AZIDROMIC; NOT FOUND; 900 MG PO PREP EXTEMP SUS OR CT FR PLAS OPC + FR PLAS DIL X 12 ML + SER; ROY
1040800320071; AZIDROMIC; AZIDROMIC; NOT FOUND; 1000 MG COM REV CT  BL AL PLAS INC X 1; ROY
1040800320055; AZIDROMIC; AZIDROMIC; NOT FOUND;  500 MG - CX. C/ 2 COMP; ROY
1040800320063; AZIDROMIC; AZIDROMIC; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 3; ROY
1040800160015; ALERMINE; ALERMINE; NOT FOUND; 0.400 MG/ML SOL OR CT FR VD AMB X 100 ML; ROY
1040800160041; ALERMINE; ALERMINE; NOT FOUND; 0.400 MG/ML SOL OR CX 50 FR VD AMB X 100 ML (EMB HOSP); ROY
1040800160023; ALERMINE; ALERMINE; NOT FOUND; 2 MG COM CT FR VD AMB X 20; ROY
