1040800590044; DROFAXIL; DROFAXIL; NOT FOUND; 250 MG - SUSP. FR X 80 ML; ROY
1040800590011; DROFAXIL; DROFAXIL; NOT FOUND; 500 MG - CX. C/ 8 CAPS.; ROY
1040800190020; DILACARD; DILACARD; NOT FOUND; 5 MG - INJ. CX. C/ 50 AMP; ROY
1040800190011; DILACARD; DILACARD; NOT FOUND; 80 MG - CX. C/ 20 DRG; ROY
1040800950016; DICLOTON; DICLOTON; NOT FOUND; 50 MG DRG CT BL AL PLAS INC X 10; ROY
1040800950024; DICLOTON; DICLOTON; NOT FOUND; 50 MG DRG CX BL AL PLAS INC X 500; ROY
1040800260036; DIFENAN; DIFENAN; NOT FOUND; 25 MG/ML SOL INJ CX 5 AMP VD INC; ROY
1040800260011; DIFENAN; DIFENAN; NOT FOUND; 25 MG/ML SOL INJ CX 50 AMP VD INC; ROY
1040800260044; DIFENAN; DIFENAN; NOT FOUND; 50 MG - CX. C/ 20 COMP.REV; ROY
1040800260052; DIFENAN; DIFENAN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 500; ROY
1040800400016; DIURETIC; DIURETIC; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 20; ROY
1040800400024; DIURETIC; DIURETIC; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 20; ROY
1040800400040; DIURETIC; DIURETIC; NOT FOUND; 50 MG COM CX BL AL PLAS INC X 500; ROY
1040800400032; DIURETIC; DIURETIC; NOT FOUND; 25 MG COM CX BL AL PLAS INC X 500; ROY
1040800400059; DIURETIC; DIURETIC; NOT FOUND; 25 MG COM CT BL AL PLAS TRANS X 30; ROY
