1040800730016; MUCOCLEAN; MUCOCLEAN; NOT FOUND; 6 MG/ML XPE CT FR VD AMB X 120 ML + CP MEDIDA; ROY
1040800730032; MUCOCLEAN; MUCOCLEAN; NOT FOUND; 3 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; ROY
1040800730040; MUCOCLEAN; MUCOCLEAN; NOT FOUND; 3 MG/ ML XPE CX 50 FR VD AMB X 120 ML + CP MED (EMB HOSP); ROY
1040800730024; MUCOCLEAN; MUCOCLEAN; NOT FOUND; 6 MG/ML XPE CX 50 FR VD AMB X 120 ML+ CP MED (EMB HOSP); ROY
1040800250030; METRODAX; METRODAX; NOT FOUND; SUSP. FR. X 80 ML; ROY
1040800250014; METRODAX; METRODAX; NOT FOUND; 250 MG - CX. C/ 20 COMP; ROY
1040800250065; METRODAX; METRODAX; NOT FOUND; 250 MG - CX. C/ 500 COMP; ROY
1040800210039; MEBENTAL; MEBENTAL; NOT FOUND; 20 MG/ML SUS OR CT FR VD AMB X 30 ML; ROY
1040800210047; MEBENTAL; MEBENTAL; NOT FOUND; 20 MG/ML SUS OR CX 100 FR VD AMB X 30 ML; ROY
1040800210012; MEBENTAL; MEBENTAL; NOT FOUND; 100 MG COM CT ENV KRAFT X 6; ROY
1040800210020; MEBENTAL; MEBENTAL; NOT FOUND; 100 MG COM CT 50 ENV KRAFT X 6; ROY
1040800930031; MENOXITON; MENOXITON; NOT FOUND; 15 MG COM CT BL AL PLAS INC X 10 ; ROY
1040800930041; MENOXITON; MENOXITON; NOT FOUND; 15 MG COM CX BL AL PLAS INC X 500 (EMB. HOSP.) ; ROY
1040800930015; MENOXITON; MENOXITON; NOT FOUND; 7.5 MG COM CT BL AL PLAS INC X 10 ; ROY
1040800930023; MENOXITON; MENOXITON; NOT FOUND; 7.5 MG COM CX BL AL INC X 500 (EMB. HOSP.) ; ROY
1040800420017; MESOPRAN; MESOPRAN; NOT FOUND; 10 MG - CX. C/ 14 CAPS.; ROY
1040800420033; MESOPRAN; MESOPRAN; NOT FOUND; 20 MG - CX. C/ 14 CAPS.; ROY
1040800420041; MESOPRAN; MESOPRAN; NOT FOUND; 20 MG CAP GEL CX 50 FR PLAS OPC X 14; ROY
1040800420051; MESOPRAN; MESOPRAN; NOT FOUND; 10 MG CAP GEL DURA CX 50 FR PLAS OPC X 14; ROY
