1040800410054; CAPTON; CAPTON; NOT FOUND; 12.5 MG - CX. C/ 15 COMP.; ROY
1040800410046; CAPTON; CAPTON; NOT FOUND; 12.5 MG - CX. C/ 30 COMP.; ROY
1040800410070; CAPTON; CAPTON; NOT FOUND; 12.5 MG COM CX BL AL PLAS INC X 750 (EMB HOSP); ROY
1040800410038; CAPTON; CAPTON; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 16; ROY
1040800410021; CAPTON; CAPTON; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 28; ROY
1040800410011; CAPTON; CAPTON; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 16; ROY
1040800410062; CAPTON; CAPTON; NOT FOUND; 50 MG - CX. C/ 28 COMP.; ROY
1040800640017; CEFURAN; CEFURAN; NOT FOUND; 750 MG - CX. C/ 1 FA + DILUENTE; ROY
1040800520038; CETOZAN; CETOZAN; NOT FOUND; 20 MG/G SHAMP CT FR PLAS OPC X 100 ML; ROY
1040800520046; CETOZAN; CETOZAN; NOT FOUND; 20 MG/G SHAMP CX 50 FR PLAS OPC X 100 ML; ROY
SI/NC; CETOZAN; CETOZAN; NOT FOUND; 30G CREME CX C/100 BISN; ROY
1040800520011; CETOZAN; CETOZAN; NOT FOUND; 20 MG/G CREM DERM CT BG AL X 30; ROY
1040800520021; CETOZAN; CETOZAN; NOT FOUND; 20 MG/G CREM DERM CT 50 BG AL X 30 G; ROY
1040800520054; CETOZAN; CETOZAN; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 20; ROY
1040800520070; CETOZAN; CETOZAN; NOT FOUND; 200 MG COM CX 50 BL AL PLAS INC X 10 (EMB HOSP); ROY
1040800030014; CIMEDAX; CIMEDAX; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 20; ROY
1040800030065; CIMEDAX; CIMEDAX; NOT FOUND; 200 MG COM CX BL AL PLAS INC X 500 (EMB HOSP); ROY
1040800440042; CINARIX; CINARIX; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; ROY
1040800440069; CINARIX; CINARIX; NOT FOUND; 75 MG COM CT BL AL PLAS INC X 30; ROY
1040800440077; CINARIX; CINARIX; NOT FOUND; 75 MG COM CT 50 BL AL PLAS INC X 10; ROY
1040800440050; CINARIX; CINARIX; NOT FOUND; 25 MG COM CT 50 BL AL PLAS INC X 10; ROY
1040800380031; CIPROXAN; CIPROXAN; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; ROY
1040800380041; CIPROXAN; CIPROXAN; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 6; ROY
1040800380074; CIPROXAN; CIPROXAN; NOT FOUND; 500 MG COM REV CX 50 BL AL PLAS INC X 6 (EMB HOSP); ROY
1040800310033; CLATORIN; CLATORIN; NOT FOUND; 125 MG - SUSP - FR. X 50 ML; ROY
140800310025; CLATORIN; CLATORIN; NOT FOUND; 250MG CX C/8 COMP; ROY
1040800890013; COLZURIC; COLZURIC; NOT FOUND; 0.5 MG COM CT BL AL PLAS INC X 20 ; ROY
1040800890021; COLZURIC; COLZURIC; NOT FOUND; 0.5 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); ROY
1040800890031; COLZURIC; COLZURIC; NOT FOUND; 1 MG - CX. C/ 20 COMP; ROY
1040800890048; COLZURIC; COLZURIC; NOT FOUND; 1 MG - CX. C/ 500 COMP; ROY
1040800780013; CLOFAREN GEL; CLOFAREN GEL; NOT FOUND; 10 MG/G GEL CT BG AL X 60 G; ROY
1040800200033; CARDIODOPA; CARDIODOPA; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 30; ROY
1040800200041; CARDIODOPA; CARDIODOPA; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 30; ROY
1040800200051; CARDIODOPA; CARDIODOPA; NOT FOUND; 250 MG COM REV CX BL AL PLAS TRANS X 500 (EMB HOSP); ROY
1040800200068; CARDIODOPA; CARDIODOPA; NOT FOUND; 500 MG COM REV CX BL AL PLAS TRANS X 500 (EMB HOSP); ROY
