1040800330018; LODIPEN; LODIPEN; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 20; ROY
1040800330026; LODIPEN; LODIPEN; NOT FOUND; 5 MG COM CX 25 BL AL PLAS INC X 20; ROY
1040800940029; LANZOPRAN; LANZOPRAN; NOT FOUND; 30 MG CAP GEL DURA DESINT GRAD CT 2 BL AL PLAS X 7; ROY
1040800940010; LANZOPRAN; LANZOPRAN; NOT FOUND; 30 MG CAP GEL DURA DESINT GRAD CT BL AL PLAS X 7; ROY
1040800070016; LINCOPLAX; LINCOPLAX; NOT FOUND; 300 MG - INJ. CX. C/ 1 AMP; ROY
1040800070032; LINCOPLAX; LINCOPLAX; NOT FOUND; 300 MG - INJ. CX. C/ 50 AMP; ROY
1040800070040; LINCOPLAX; LINCOPLAX; NOT FOUND; 600 MG - INJ. CX. C/ 1 AMP; ROY
1040800070067; LINCOPLAX; LINCOPLAX; NOT FOUND; 600 MG - INJ. CX. C/ 50 AMP; ROY
1040800860041; LOSAPRIN; LOSAPRIN; NOT FOUND; 100 MG - CX. C/ 30 COMP; ROY
1040800860017; LOSAPRIN; LOSAPRIN; NOT FOUND; 12.5 MG - CX. C/ 20 COMP; ROY
1040800860025; LOSAPRIN; LOSAPRIN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 14; ROY
1040800860033; LOSAPRIN; LOSAPRIN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 28; ROY
1040800860068; LOSAPRIN; LOSAPRIN; NOT FOUND; 50 MG COM REV CX BL AL PLAS INC X 700 (EMB HOSP); ROY
1040800860076; LOSAPRIN; LOSAPRIN; NOT FOUND; 50 MG COM REV CT BL AL PLAS TRANS X 30; ROY
1040800570027; LOVATON; LOVATON; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 10; ROY
1040800570019; LOVATON; LOVATON; NOT FOUND; 20 MG COM CT 3 BL AL PLAS INC X 10; ROY
1040800570035; LOVATON; LOVATON; NOT FOUND; 20 MG COM CX 50 BL AL PLAS INC X 10; ROY
