1221400420024; TROZOLET; TROZOLET; NOT FOUND; 1 MG COM REV CT BL AL PLAS INC X 28; ZD1
1221400190029; TECNOCARB; TECNOCARB; NOT FOUND; 150 MG PO LIOF INJ CT FA VD AMB X 25 ML; ZD1
1221400190010; TECNOCARB; TECNOCARB; NOT FOUND; 450 MG PO LIOF INJ CT FA VD AMB X 50 ML; ZD1
1221400220017; TECNOPLATIN; TECNOPLATIN; NOT FOUND; 0.5MG/ML  SOL INJ CX FA  VD AMB X 20 ML (USO HOSP.); ZD1
1221400220025; TECNOPLATIN; TECNOPLATIN; NOT FOUND; 0.5 MG/ML SOL INJ CX FA VD AMB X 100 ML (USO HOSP.); ZD1
1221400050091; TECNOTAX; TECNOTAX; NOT FOUND; 10 MG COM CT BL AL PLAS BR X 30; ZD1
1221400050111; TECNOTAX; TECNOTAX; NOT FOUND; 20 MG COM CT BL AL PLAS OPC X 30; ZD1
1221400350018; TECNOMAX; TECNOMAX; NOT FOUND; 10 MG PO LIOF CT FA VD INC REST HOSP; ZD1
1221400350026; TECNOMAX; TECNOMAX; NOT FOUND; 50 MG PO LIOF CT FA VD INC REST HOSP; ZD1
1221400340012; TECNOTECAN; TECNOTECAN; NOT FOUND; 20 MG/ML SOL INJ CT FA VD AMB X 2 ML (REST. HOSP.); ZD1
1221400340020; TECNOTECAN; TECNOTECAN; NOT FOUND; 20 MG/ML SOL INJ CT FA VD AMB X 5 ML (REST. HOSP.); ZD1
1221400250013; TAMSULON; TAMSULON; NOT FOUND; 0.4 MG CAP GEL DURA CT BL AL PLAS INC X 20; ZD1
1221400250021; TAMSULON; TAMSULON; NOT FOUND; 0.4 MG CAP GEL DURA CT BL AL PLAS INC X 30; ZD1
1221400070015; TECNOFLUT; TECNOFLUT; NOT FOUND; 250 MG - CX C/ 20 COMP. (2 BL. X 10 COMP); ZD1
1221400070031; TECNOFLUT; TECNOFLUT; NOT FOUND; 250 MG - CX C/ 90 COMP. (9 BL X 10 COMP); ZD1
1221400080061; TECNOVORIN; TECNOVORIN; NOT FOUND; 50 MG PO LIOF INJ CT FA VD AMB + AMP DIL VD INC X 5 ML; ZD1
1221400080053; TECNOVORIN; TECNOVORIN; NOT FOUND; 15 MG COM CT FR VD AMB X 10; ZD1
1221400180074; TECNOMET; TECNOMET; NOT FOUND; 2.5 MG COM CT 2 BL AL PLAS AMB X 10; ZD1
1221400180015; TECNOMET; TECNOMET; NOT FOUND; 2.5 MG COM CT BL AL PLAS INC X 50; ZD1
