1221400060011; PROLEUKIN; PROLEUKIN; NOT FOUND; 18000000 UI PO LIOF CT X FA VD INC (REST HOSP); ZD1
1221400750024; PYRIDIUM; PYRIDIUM; NOT FOUND; 100 MG DRG CT BL AL PLAS INC X 25; ZD1
1221400750040; PYRIDIUM; PYRIDIUM; NOT FOUND; 200 MG DRG CT BL AL PLAS INC X 18; ZD1
1221400750016; PYRIDIUM; PYRIDIUM; NOT FOUND; 100 MG DRG CT BL AL PLAS INC X 12; ZD1
1221400790026; PAMIGEN; PAMIGEN; NOT FOUND; 1 G PO LIOF INJ IV CT FA VD INC X 50 ML ; ZD1
1221400790018; PAMIGEN; PAMIGEN; NOT FOUND; 200 MG PO LIOF INJ IV CT FA VD INC X 10 ML ; ZD1
1221400710049; PARATRAM; PARATRAM; NOT FOUND; 37.5 MG + 325 MG COM CT BL AL PLAS INC X 10; ZD1
1221400710014; PARATRAM; PARATRAM; NOT FOUND; 37.5 MG + 325 MG COM CT BL AL PLAS INC X 20; ZD1
1221400710065; PARATRAM; PARATRAM; NOT FOUND; 37.5 MG + 325 MG COM CT BL AL PLAS INC X 30; ZD1
1221400020077; PAREXEL; PAREXEL; NOT FOUND; 6 MG/ML SOL INJ CT FA VD INC X 16.7 ML; ZD1
1221400020085; PAREXEL; PAREXEL; NOT FOUND; 6 MG/ML SOL INJ CT FA VD INC X 25 ML; ZD1
1221400020042; PAREXEL; PAREXEL; NOT FOUND; 6MG/ML SOL INJ CT FA VD INC X 5 ML; ZD1
1221400020093; PAREXEL; PAREXEL; NOT FOUND; 6 MG/ML SOL INJ CT FA VD INC X 50 ML; ZD1
1221400890012; PEMEKER; PEMEKER; NOT FOUND; 500 MG PO LIOF SOL INJ CT FA VD TRANS; ZD1
1221400820014; PREBICTAL; PREBICTAL; NOT FOUND; 75 MG CAP GEL DURA CT BL AL PLAS INC X 14 ; ZD1
1221400820022; PREBICTAL; PREBICTAL; NOT FOUND; 75 MG CAP GEL DURA CT BL AL PLAS INC X 28; ZD1
1221400820030; PREBICTAL; PREBICTAL; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 14  ; ZD1
1221400820049; PREBICTAL; PREBICTAL; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 28; ZD1
1221400920019; PREBICTAL; PREBICTAL; NOT FOUND; 50 MG CAP DURA CT BL AL PLAS TRANS X 14; ZD1
1221400920027; PREBICTAL; PREBICTAL; NOT FOUND; 50 MG CAP DURA CT BL AL PLAS TRANS X 28; ZD1
