1221400740010; ELIGARD; ELIGARD; NOT FOUND; 7.5 MG SUSP INJ CT SACHE C/ SER B + SACHE C/ SER A DIL + AGULHA + DESSEC ; ZD1
1221400740029; ELIGARD; ELIGARD; NOT FOUND; 22.5 MG SUS INJ CT SACHE C/ SER B + SACHE C/ SER A DIL + AGULHA + DESSEC ; ZD1
1221400740037; ELIGARD; ELIGARD; NOT FOUND; 7.5 MG PO LIOF SUS INJ SC LIB PROL CT BL AL PLAS INC SER B + AGU + SER A DIL + EMBOLO + 2 DESSEC; ZD1
1221400740045; ELIGARD; ELIGARD; NOT FOUND; 22.5 MG PO LIOF SUS INJ SC LIB PROL CT BL AL PLAS INC SER B + AGU + SER A DIL + EMBOLO + 2 DESSEC; ZD1
1221400740053; ELIGARD; ELIGARD; NOT FOUND; 45 MG PO LIOF SUS INJ SC LIB PROL CT BL AL PLAS TRANS SER B + AGU DISP SEGUR + BL AL PLAS TRANS DIL SER A + EMB + 2 DESSEC; ZD1
1221400740061; ELIGARD; ELIGARD; NOT FOUND; 7.5 MG PO LIOF SUS INJ SC LIB PROL CT BL AL PLAS TRANS SER B + AGU DISP SEGUR + DESSEC + BL AL PLAS TRANS DIL SER A + EMB + DESSEC; ZD1
1221400740071; ELIGARD; ELIGARD; NOT FOUND; 22.5 MG PO LIOF SUS INJ SC LIB PROL CT BL AL PLAS TRANS SER B + AGU DISP SEGUR + DESSEC + BL AL PLAS TRANS DIL SER A + EMB + DESSEC; ZD1
1221400740088; ELIGARD; ELIGARD; NOT FOUND; 7.5 MG PO LIOF SUS INJ SC LIB PROL CT BL AL PLAS TRANS SER B + AGU DISP SEGUR + DESSEC + BL AL PLAS TRANS DIL SER A + EMB + DESSEC ; ZD1
1221400740096; ELIGARD; ELIGARD; NOT FOUND; 22.5 MG PO LIOF SUS INJ SC LIB PROL CT BL AL PLAS TRANS SER B + AGU DISP SEGUR + DESSEC + BL AL PLAS TRANS DIL SER A + EMB + DESSEC ; ZD1
1221400560020; EVOCANIL; EVOCANIL; NOT FOUND; 100 MG CAP GEL MOLE CT 2 BL AL PLAS INC X 10; ZD1
1221400560039; EVOCANIL; EVOCANIL; NOT FOUND; 100 MG CAP GEL MOLE CT BL AL PLAS INC X 30; ZD1
1221400560055; EVOCANIL; EVOCANIL; NOT FOUND; 100 MG CAP GEL MOLE CT BL AL PLAS INC X 60; ZD1
1221400560081; EVOCANIL; EVOCANIL; NOT FOUND; 200 MG CAP GEL MOLE CT BL AL PLAS INC X 20 ; ZD1
1221400560071; EVOCANIL; EVOCANIL; NOT FOUND; 200MG CAP GEL MOLE CT BL AL PLAS INC X 30; ZD1
