1221400270057; OXYCONTIN; OXYCONTIN; NOT FOUND; 10 MG COM REV LIB CONTR CT FR PLAS OPC X 100 (EMB HOSP); ZD1
1221400270162; OXYCONTIN; OXYCONTIN; NOT FOUND; 10 MG COM REV LIB CONTR CT FR PLAS OPC X 12; ZD1
1221400270049; OXYCONTIN; OXYCONTIN; NOT FOUND; 10 MG COM REV LIB CONTR CT FR PLAS OPC X 30; ZD1
1221400270103; OXYCONTIN; OXYCONTIN; NOT FOUND; 20 MG COM REV LIB CONTR CT FR PLAS OPC X 100 (EMB HOSP); ZD1
1221400270091; OXYCONTIN; OXYCONTIN; NOT FOUND; 20 MG COM REV LIB CONTR CT FR PLAS OPC X 30; ZD1
1221400270170; OXYCONTIN; OXYCONTIN; NOT FOUND; 20 MG COM REV LIB CONTR CT FR PLAS OPC X 12; ZD1
1221400270154; OXYCONTIN; OXYCONTIN; NOT FOUND; 40 MG COM REV LIB CONTR CT FR PLAS OPC X 100 (EMB HOSP); ZD1
1221400270146; OXYCONTIN; OXYCONTIN; NOT FOUND; 40 MG COM REV LIB CONTR CT FR PLAS OPC X 30; ZD1
1221400270189; OXYCONTIN; OXYCONTIN; NOT FOUND; 40 MG COM REV LIB CONTR CT FR PLAS OPC X 12; ZD1
1221400450012; ONCOTECAN; ONCOTECAN; NOT FOUND; 4 MG PO LIOF INJ CT FA VD INC X 10 ML (REST HOSP); ZD1
1221400410010; ONCODOCEL; ONCODOCEL; NOT FOUND; 80 MG SOL INJ CT FA VD INC X 2.0 ML + FA DIL X 6 ML; ZD1
1221400410029; ONCODOCEL; ONCODOCEL; NOT FOUND; 20 MG SOL INJ CT FA VD INC X 0.5 ML + FA DIL X 1.5 ML; ZD1
1221400840015; OSTEOTEC; OSTEOTEC; NOT FOUND; 150 MG COM REV CT BL AL/AL X 1; ZD1
1221400840023; OSTEOTEC; OSTEOTEC; NOT FOUND; 150 MG COM REV CT BL AL/AL X 2; ZD1
1221400330025; O-PLAT; O PLAT; NOT FOUND; 100 MG PO LIOF INJ CT FA VD AMB; ZD1
1221400330017; O-PLAT; O PLAT; NOT FOUND; 50 MG PO LIOF INJ CT FA VD AMB; ZD1
