1221400900018; CABERGOLINA; CABERGOLINA; CABERGOLINA; 0.5 MG COM FR VD AMB CT X 2 ; ZD1
1221400900026; CABERGOLINA; CABERGOLINA; CABERGOLINA; 0.5 MG COM FR VD AMB CT X 8; ZD1
1221400910013; CABERTRIX; CABERTRIX; NOT FOUND; 0.5 MG COM CT FR VD AMB X 2; ZD1
1221400910021; CABERTRIX; CABERTRIX; NOT FOUND; 0.5 MG COM CT FR VD AMB X 8; ZD1
1221400290015; CARDIOXANE; CARDIOXANE; NOT FOUND; 500 MG PO LIOF INJ CT FA VD AMB (REST HOSP); ZD1
1221400690056; CONDROFLEX; CONDROFLEX; NOT FOUND; 1.5 + 1.2 G PO OR CT 30 SACH X 4.135 G; ZD1
1221400690064; CONDROFLEX; CONDROFLEX; NOT FOUND; 1.5 G + 1.2 G PO OR CT 7 SACHES X 4.135 G; ZD1
1221400690048; CONDROFLEX; CONDROFLEX; NOT FOUND; 1.5 + 1.2 G PO OR CT 15 SACH X 4.135 G; ZD1
1221400690013; CONDROFLEX; CONDROFLEX; NOT FOUND; 500 MG + 400 MG CAP GEL DURA CT BL AL PLAS INC X 20; ZD1
1221400690021; CONDROFLEX; CONDROFLEX; NOT FOUND; 500 MG + 400 MG CAP GEL DURA CT  BL AL PLAS INC X 40; ZD1
1221400690031; CONDROFLEX; CONDROFLEX; NOT FOUND; 500 MG + 400 MG CAP GEL DURA CT BL AL PLAS INC X 60; ZD1
