528524601161114; VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5 MG/G + 1 MG/G + 10 MG/G +10 MG/G CR DERM CT BG AL X 20 G; PZ8
528524603164110; VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5MG/G + 1MG/G + 10MG/G + 10MG/G POM DERM CT BG AL X 20G ; PZ8
528523204169110; VALERATO DE BETAMETASONA + SULFATO DE NEOMICINA; VALERATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 1 MG/G + 5 MG/G CREM DERM CT BG AL X 30 G; PZ8
528523601168110; VALERATO DE BETAMETASONA; VALERATO BETAMETASONA; VALERATO BETAMETASONA; 1.0 MG/G CREM DERM CT BG AL X 30 G; PZ8
528523603160117; VALERATO DE BETAMETASONA; VALERATO BETAMETASONA; VALERATO BETAMETASONA; 1.0 MG/G CREM DERM CX 100 BG AL X 30 G (EMB HOSP); PZ8
528523605163113; VALERATO DE BETAMETASONA; VALERATO BETAMETASONA; VALERATO BETAMETASONA; 1.0 MG/G POM DERM CT BG AL X 30G; PZ8
528512070120906; VALPROATO DE SODIO; VALPROATO SODIO; VALPROATO SODIO; 50 MG/ML XPE FR VD AMB X 100 ML + CP MED; PZ8
528512070121006; VALPROATO DE SODIO; VALPROATO SODIO; VALPROATO SODIO; 50 MG/ML XPE FR PLAS OPC X 100 ML + CP MED; PZ8
528512070121106; VALPROATO DE SODIO; VALPROATO SODIO; VALPROATO SODIO; 50 MG/ML XPE FR PET AMB X 100 ML + CP MED; PZ8
528512070121206; VALPROATO DE SODIO; VALPROATO SODIO; VALPROATO SODIO; 50 MG/ML XPE CX 50 FR VD AMB X 100 ML + 50 CP MED (EMB HOSP); PZ8
528512070121306; VALPROATO DE SODIO; VALPROATO SODIO; VALPROATO SODIO; 50 MG/ML XPE CX 50 FR PET AMB X 100 ML + 50 CP MED (EMB HOSP); PZ8
528512070121406; VALPROATO DE SODIO; VALPROATO SODIO; VALPROATO SODIO; 50 MG/ML XPE CX 50 FR PLAS OPC X 100 ML +50 CP MED (EMB HOSP); PZ8
