528529701131412; RINAFEN; RINAFEN; NOT FOUND; 40 MG/ML + 0.6 MG/ML + 0.6 MG/ML SOL OR CT FR PET AMB X 100 ML + CP MED; PZ8
528529704139414; RINAFEN; RINAFEN; NOT FOUND; 40 MG/ML + 0.6 MG/ML + 0.6 MG/ML SOL OR CX 50 FR PET AMB X 100 ML + 50 CP MED (EMB HOSP); PZ8
528529705135412; RINAFEN; RINAFEN; NOT FOUND; 40 MG/ML + 0.6 MG/ML + 0.6 MG/ML SOL OR CX 50 FR VD AMB X 100 ML + 50 CP MED; PZ8
528529706131410; RINAFEN; RINAFEN; NOT FOUND; 40MG/ML+ 0.6 MG/ML + 0.6MG/ML SOL OR CT FR VD AMB X 100ML + CP MED; PZ8
528529702136418; RINAFEN; RINAFEN; NOT FOUND; 100 MG/ML + 2 MG/ML + 2 MG/ML SOL OR CX 100 FR PLAS OPC GOT X 20 ML (EMB HOSP); PZ8
528529703132416; RINAFEN; RINAFEN; NOT FOUND; 100 MG/ML + 2 MG/ML + 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; PZ8
528522411136414; RUBROMICIN; RUBROMICIN; NOT FOUND; 25 MG/ML SUS OR CT FR PLAS OPC X 105 ML; PZ8
528522412132412; RUBROMICIN; RUBROMICIN; NOT FOUND; 25 MG/ML SUS OR CX 50 FR PLAS OPC X 105 ML (EMB HOSP); PZ8
528514010125703; RUBROMICIN; RUBROMICIN; NOT FOUND; 25 MG/ML SUS OR CX 50 FR PLAS OPC X 60 ML (EMB HOSP) + 50 COP; PZ8
528522407139412; RUBROMICIN; RUBROMICIN; NOT FOUND; 25 MG/ML SUS OR CX 50 FR PLAS OPC X 60 ML (EMB HOSP) ; PZ8
528522413139410; RUBROMICIN; RUBROMICIN; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC X 105 ML ; PZ8
528522414135419; RUBROMICIN; RUBROMICIN; NOT FOUND; 50 MG/ML SUS OR CX 50 FR PLAS OPC X 105 ML (EMB HOSP); PZ8
528514010125603; RUBROMICIN; RUBROMICIN; NOT FOUND; 50 MG/ML SUS OR CX 50 FR PLAS OPC X 60 ML (EMB HOSP) + 50 COP; PZ8
528522408135410; RUBROMICIN; RUBROMICIN; NOT FOUND; 50 MG/ML SUS OR CX 50 FR PLAS OPC X 60 ML (EMB HOSP) ; PZ8
528522415115411; RUBROMICIN; RUBROMICIN; NOT FOUND; 500 MG COM CT BL AL PLAS AMB X 12; PZ8
528522417118418; RUBROMICIN; RUBROMICIN; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 12; PZ8
528522420119411; RUBROMICIN; RUBROMICIN; NOT FOUND; 500 MG COM CT BL AL PLAS LEIT X 12; PZ8
528522418114416; RUBROMICIN; RUBROMICIN; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
528522421115411; RUBROMICIN; RUBROMICIN; NOT FOUND; 500 MG COM CT BL AL PLAS LEIT X 300 (EMB HOSP); PZ8
528522423118416; RUBROMICIN; RUBROMICIN; NOT FOUND; 500 MG COM CT BL AL PLAS AMB X 300 (EMB HOSP); PZ8
528522416111411; RUBROMICIN; RUBROMICIN; NOT FOUND; 500 MG COM CT BL AL PLAS AMB X 480 (EMB HOSP); PZ8
528522419110414; RUBROMICIN; RUBROMICIN; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 480 (EMB HOSP); PZ8
528522422111418; RUBROMICIN; RUBROMICIN; NOT FOUND; 500 MG COM CT BL AL PLAS LEIT X 480 (EMB HOSP); PZ8
528512050119306; RISPERIDONA; RISPERIDONA; RISPERIDONA; 1MG/ML SOL OR CT FR VD AMB X 30ML + SER DOSAD ; PZ8
528512050119406; RISPERIDONA; RISPERIDONA; RISPERIDONA; 1MG/ML SOL OR CT FR PLAS AMB X 30ML + SER DOSAD ; PZ8
528512050119506; RISPERIDONA; RISPERIDONA; RISPERIDONA; 1MG/ML SOL OR CT FR PLAS OPC X 30ML + SER DOSAD ; PZ8
528512050119606; RISPERIDONA; RISPERIDONA; RISPERIDONA; 1MG/ML SOL OR CT FR PET AMB X 30ML + SER DOSAD ; PZ8
528512050119706; RISPERIDONA; RISPERIDONA; RISPERIDONA; 1MG/ML SOL OR CX 100 FR VD AMB X 30ML + 100 SER DOSAD (EMB HOSP); PZ8
528512050119806; RISPERIDONA; RISPERIDONA; RISPERIDONA; 1MG/ML SOL OR CX 100 FR PLAS AMB X 30ML + 100 SER DOSAD (EMB HOSP).; PZ8
528512050119906; RISPERIDONA; RISPERIDONA; RISPERIDONA; 1MG/ML SOL OR CX 100 FR PLAS OPC X 30ML + 100 SER DOSAD (EMB HOSP); PZ8
528512050120006; RISPERIDONA; RISPERIDONA; RISPERIDONA; 1MG/ML SOL OR CX 100 FR PET AMB X 30ML + 100 SER DOSAD (EMB HOSP) ; PZ8
