528529302111116, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 1, PZ8
528529303118114, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 100 (EMB HOSP), PZ8
528529301115118, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 2, PZ8
528529304114112, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 20, PZ8
528529307113117, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 200 (EMB FRAC), PZ8
528529306117119, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 40, PZ8
528529308111118, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 90 (EMB FRAC), PZ8
528527401163118, FOSFATO DE CLINDAMICINA, FOSFATO CLINDAMICINA, FOSFATO CLINDAMICINA, 20 MG/G CREM VAG CT BG AL X 20 G + 3 APLIC , PZ8
528527402161119, FOSFATO DE CLINDAMICINA, FOSFATO CLINDAMICINA, FOSFATO CLINDAMICINA, 20 MG/G CREM VAG CX 100 BG AL X 20 G + 300 APLIC (EMB HOSP)

, PZ8
528502914132112, FOSFATO SÓDICO DE PREDNISOLONA, FOSFATO SODICO PREDNISOLONA, NOT FOUND, 1 MG/ML SOL OR CX 50 FR PLAS OPC X 100 ML + 50 CP MED 10 ML (EMB HOSP), PZ8
528502931134111, FOSFATO SÓDICO DE PREDNISOLONA, FOSFATO SODICO PREDNISOLONA, NOT FOUND, 1 MG/ML SOL OR CT FR PLAS OPC X 100 ML + SER DOSAD, PZ8
528502933137116, FOSFATO SÓDICO DE PREDNISOLONA, FOSFATO SODICO PREDNISOLONA, NOT FOUND, 1 MG/ML SOL OR CT FR VD AMB X 100 ML + SER DOSAD, PZ8
528502935131115, FOSFATO SÓDICO DE PREDNISOLONA, FOSFATO SODICO PREDNISOLONA, NOT FOUND, 1 MG/ML SOL OR CX 50 FR PLAS OPC X 100 ML + SER DOSAD (EMB HOSP), PZ8
528502936136110, FOSFATO SÓDICO DE PREDNISOLONA, FOSFATO SODICO PREDNISOLONA, NOT FOUND, 1 MG/ML SOL OR CX 50 FR VD AMB X 100 ML + SER DOSAD (EMB HOSP), PZ8
528502932130118, FOSFATO SÓDICO DE PREDNISOLONA, FOSFATO SODICO PREDNISOLONA, NOT FOUND, 1 MG/ML SOL OR CT FR PLAS OPC X 120 ML + SER DOSAD, PZ8
528502934133114, FOSFATO SÓDICO DE PREDNISOLONA, FOSFATO SODICO PREDNISOLONA, NOT FOUND, 1 MG/ML SOL OR CT FR VD AMB X 120 ML + SER DOSAD, PZ8
528502904137111, FOSFATO SÓDICO DE PREDNISOLONA, FOSFATO SODICO PREDNISOLONA, NOT FOUND, 3 MG/ML SOL OR CT FR PLAS OPC X 100 ML + CP MED, PZ8
528502908132114, FOSFATO SÓDICO DE PREDNISOLONA, FOSFATO SODICO PREDNISOLONA, NOT FOUND, 3 MG/ML SOL OR CX 50 FR PLAS OPC X 100 ML + 50 CP MED (EMB HOSP), PZ8
528502919134113, FOSFATO SÓDICO DE PREDNISOLONA, FOSFATO SODICO PREDNISOLONA, NOT FOUND, 3 MG/ML SOL OR CT FR PLAS OPC X 100 ML + SER DOSAD, PZ8
