528512050118006, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, 2 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 20 ML (EMB HOSP), PZ8
528512050117806, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, 2 MG/ML SOL OR CT FR PLAS OPC GOT X 30 ML, PZ8
528512050117906, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, 2 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 30 ML (EMB HOSP), PZ8
528528102119115, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 25 MG COM CT BL AL PLAS INC X 1000 (EMB HOSP), PZ8
528528106114118, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 25 MG COM CT BL AL PLAS INC X 30, PZ8
528528103115113, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 25 MG COM CT BL AL PLAS INC X 400 (EMB HOSP), PZ8
528528104111111, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 50 MG COM CT BL AL PLAS INC X 1000 (EMB HOSP), PZ8
528528101112117, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 50 MG COM CT BL AL PLAS INC X 30, PZ8
528528105118111, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 50 MG COM CT BL AL PLAS INC X 400 (EMB HOSP), PZ8
528503401139112, HIDRÓXIDO DE ALUMÍNIO, HIDROXIDO ALUMINIO, HIDROXIDO ALUMINIO, 61.5 MG/ML SUS OR CX 50 FR PLAS OPC X 100 ML (EMB HOSP), PZ8
528503409131110, HIDRÓXIDO DE ALUMÍNIO, HIDROXIDO ALUMINIO, HIDROXIDO ALUMINIO, 61.5 MG/ML SUS OR CX 50 FR PLAS OPC X 100 ML + 50 CP MED (EMB HOSP), PZ8
528503404138117, HIDRÓXIDO DE ALUMÍNIO, HIDROXIDO ALUMINIO, HIDROXIDO ALUMINIO, 61.5 MG/ML SUS OR CX 50 FR PLAS OPC X 150 ML (EMB HOSP) , PZ8
528503408133111, HIDRÓXIDO DE ALUMÍNIO, HIDROXIDO ALUMINIO, HIDROXIDO ALUMINIO, 61.5 MG/ML SUS OR CX 50 FR PLAS OPC X 150 ML + 50 CP MED (EMB HOSP), PZ8
528503410138115, HIDRÓXIDO DE ALUMÍNIO, HIDROXIDO ALUMINIO, HIDROXIDO ALUMINIO, 61.5 MG/ML SUS OR CT FR VD AMB X 150 ML + CP MED, PZ8
528503412130111, HIDRÓXIDO DE ALUMÍNIO, HIDROXIDO ALUMINIO, HIDROXIDO ALUMINIO, 61.5 MG/ML SUS OR CX 50 FR VD AMB X 150 ML + 50 CP MED (EMB HOSP), PZ8
528503402135110, HIDRÓXIDO DE ALUMÍNIO, HIDROXIDO ALUMINIO, HIDROXIDO ALUMINIO, 61.5 MG/ML SUS OR CX 50 FR PLAS OPC X 240 ML (EMB HOSP), PZ8
528503403131119, HIDRÓXIDO DE ALUMÍNIO, HIDROXIDO ALUMINIO, HIDROXIDO ALUMINIO, 61.5 MG/ML SUS OR CT FR PLAS OPC X 240 ML, PZ8
528503407137111, HIDRÓXIDO DE ALUMÍNIO, HIDROXIDO ALUMINIO, HIDROXIDO ALUMINIO, 61.5 MG/ML SUS OR CT FR PLAS OPC X 240 ML + CP MED, PZ8
528503411134113, HIDRÓXIDO DE ALUMÍNIO, HIDROXIDO ALUMINIO, HIDROXIDO ALUMINIO, 61.5 MG/ML SUS OR CX 50 FR PLAS OPC X 240 ML + 50 CP MED (EMB HOSP), PZ8
528531201130117, HIDRÓXIDO DE ALUMÍNIO + HIDRÓXIDO DE MAGNÉSIO + SIMETICONA, HIDROXIDO ALUMINIO HIDROXIDO MAGNESIO SIMETICONA, NOT FOUND, 37 MG/ ML + 40 MG/ ML + 5 MG/ ML CT FR PLAS OPC X 150 ML (SABOR CEREJA), PZ8
528531202137115, HIDRÓXIDO DE ALUMÍNIO + HIDRÓXIDO DE MAGNÉSIO + SIMETICONA, HIDROXIDO ALUMINIO HIDROXIDO MAGNESIO SIMETICONA, NOT FOUND, 37 MG/ ML + 40 MG/ ML + 5 MG/ ML CT 50 FR PLAS OPC X 150 ML (SABOR CEREJA), PZ8
528531203133113, HIDRÓXIDO DE ALUMÍNIO + HIDRÓXIDO DE MAGNÉSIO + SIMETICONA, HIDROXIDO ALUMINIO HIDROXIDO MAGNESIO SIMETICONA, NOT FOUND, 37 MG/ ML + 40 MG/ ML + 5 MG/ ML CT 50 FR PLAS OPC X 150 ML (SABOR MENTA), PZ8
