528512040113003; ESPAFIN COMPOSTO; ESPAFIN COMPOSTO; NOT FOUND; 250 MG + 10 MG COM REV CT BL AL PLAS TRANS X 160 (EMB FRAC); PZ8
528512040113103; ESPAFIN COMPOSTO; ESPAFIN COMPOSTO; NOT FOUND; 250 MG + 10 MG COM REV CT BL AL PLAS TRANS X 240 (EMB FRAC); PZ8
528512040113203; ESPAFIN COMPOSTO; ESPAFIN COMPOSTO; NOT FOUND; 250 MG + 10 MG COM REV CT BL AL PLAS TRANS X 280 (EMB FRAC); PZ8
528512040113303; ESPAFIN COMPOSTO; ESPAFIN COMPOSTO; NOT FOUND; 250 MG + 10 MG COM REV CT BL AL PLAS TRANS X 400 (EMB FRAC); PZ8
528530902119413; ESPAFIN COMPOSTO; ESPAFIN COMPOSTO; NOT FOUND; 250 MG + 10 MG COM REV CT BL AL PLAS INC X 20 ; PZ8
528530903115411; ESPAFIN COMPOSTO; ESPAFIN COMPOSTO; NOT FOUND; 250 MG + 10 MG COM REV CT BL AL PLAS INC X 200 (EMB MULT); PZ8
528530901112415; ESPAFIN COMPOSTO; ESPAFIN COMPOSTO; NOT FOUND; 250 MG + 10 MG COM REV CT BL AL PLAS INC X 600 (EMB MULT); PZ8
528513070123206; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 25 MG/ML SUS OR CT FR PLAS OPC X 105 ML + CP MED; PZ8
528513070123006; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 25 MG/ML SUS OR CT FR PLAS OPC X 60 ML + CP MED ; PZ8
528513070123306; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 25 MG/ML SUS OR CX 50 FR PLAS OPC X 60 ML + 50 CP MED (EMB HOSP); PZ8
528513070123106; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 25 MG/ML SUS OR CT FR PLAS OPC X 80 ML + CP MED ; PZ8
528513070123406; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 25 MG/ML SUS OR CX 50 FR PLAS OPC X 80 ML + 50 CP MED (EMB HOSP); PZ8
528530116131114; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 50 MG/ML SUS OR CT FR PLAS OPC X 105 ML + CP MED; PZ8
528530117136111; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 50 MG/ML SUS OR CT FR PLAS OPC X 60 ML + CP MED; PZ8
528530120137113; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 50 MG/ML SUS OR CX 50 FR PLAS OPC X 60 ML + 50 CP MED (EMB HOSP); PZ8
528530118132118; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 50 MG/ML SUS OR CT FR PLAS OPC X 80 ML + CP MED; PZ8
