528531601112418, NERVAMIN, NERVAMIN, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 30, PZ8
528531602119416, NERVAMIN, NERVAMIN, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 600 (EMB HOSP), PZ8
528527501133113, NIMESULIDA, NIMESULIDA, NIMESULIDA, 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML , PZ8
528527502131114, NIMESULIDA, NIMESULIDA, NIMESULIDA, 50 MG/ML SUS OR CX 100 FR PLAS OPC GOT X 15 ML (EMB HOSP), PZ8
528504210132111, NISTATINA, NISTATINA, NISTATINA, 100.000 UI/ML SUS OR CX 200 FR PLAS OPC C/CGT X 30 ML (EMB HOSP), PZ8
528504209134114, NISTATINA, NISTATINA, NISTATINA, 100.000 UI/ML SUS OR CT FR PLAS OPC C/CGT X 50 ML, PZ8
528504212135118, NISTATINA, NISTATINA, NISTATINA, 100.000 UI/ML SUS OR CX 50 FR PLAS OPC C/ CGT X 50 ML (EMB HOSP), PZ8
528504205163111, NISTATINA, NISTATINA, NISTATINA, 100.000 UI/ML SUS OR CX 50 FR VD AMB C/CGT X 50 ML (EMB HOSP), PZ8
528504204167111, NISTATINA, NISTATINA, NISTATINA, 25.000 UI/G CREM VAG CX 50  BG AL X 50 G + 50 APLIC (EMB HOSP) , PZ8
528504213166114, NISTATINA, NISTATINA, NISTATINA, 25.000 UI/G CREM VAG CX 50 BG AL X 50 G + 500 APLIC (EMB HOSP), PZ8
528504203160113, NISTATINA, NISTATINA, NISTATINA, 25.000 UI/G CREM VAG CT BG AL X 60 G + APLIC, PZ8
528504205155117, NISTATINA, NISTATINA, NISTATINA, 25.000 UI/G CREM VAG CX 50  BG AL X 60 G + 50 APLIC (EMB HOSP), PZ8
528504214162112, NISTATINA, NISTATINA, NISTATINA, 25.000 UI/G CREM VAG CX 50 BG AL X 60 G + 700 APLIC (EMB HOSP), PZ8
528504215169110, NISTATINA, NISTATINA, NISTATINA, 25.000 UI/G CREM VAG CT BG AL X 60 G + 14 APLIC, PZ8
528525201167113, NISTATINA + ÓXIDO DE ZINCO, NISTATINA OXIDO ZINCO, NOT FOUND, 100.000 UI/G + 200 MG/G POM DERM CT BG AL X 60 G , PZ8
528525203161112, NISTATINA + ÓXIDO DE ZINCO, NISTATINA OXIDO ZINCO, NOT FOUND, 100.000 UI/G + 200 MG/G POM DERM CX 50 BG AL X 60 G (EMB HOSP), PZ8
528523703165110, NITRATO DE ISOCONAZOL, NITRATO ISOCONAZOL, NITRATO ISOCONAZOL, 10 MG/G CREM DERM CT BG AL X 20 G, PZ8
528523701162114, NITRATO DE ISOCONAZOL, NITRATO ISOCONAZOL, NITRATO ISOCONAZOL, 10 MG/G CREM VAG CX 50 BG AL X 40 G + 7 APLIC VAG DESCART (EMB HOSP), PZ8
528523706164115, NITRATO DE ISOCONAZOL, NITRATO ISOCONAZOL, NITRATO ISOCONAZOL, 10 MG/G CREM VAG CT BG AL X 40 G + 7 APLIC VAG DESCART , PZ8
528504308167118, NITRATO DE MICONAZOL, NITRATO MICONAZOL, NITRATO MICONAZOL, 20 MG/G CREM DERM CX 100 BG AL X 28 G (EMB HOSP), PZ8
528504306172114, NITRATO DE MICONAZOL, NITRATO MICONAZOL, NITRATO MICONAZOL, 20 MG/G LOC CX 200 FR PLAST X 30 G (EMB HOSP), PZ8
528504309163116, NITRATO DE MICONAZOL, NITRATO MICONAZOL, NITRATO MICONAZOL, 20 MG/G CREM DERM CT BG AL X 30 G, PZ8
528504310161113, NITRATO DE MICONAZOL, NITRATO MICONAZOL, NITRATO MICONAZOL, 20 MG/G CREM DERM CX 100 BG AL X 30 G (EMB HOSP), PZ8
