528525701135113; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP); PZ8
528525706137114; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ ML XPE CT FR VD AMB X 120 ML + CP MED; PZ8
528525709136119; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED; PZ8
528525710134116; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CX 50 FR PLAS OPC X 120 ML + 50 CP MED (EMB HOSP); PZ8
528525703138111; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP); PZ8
528525704134118; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ ML XPE CT FR VD AMB X 120 ML + CP MED; PZ8
528525711130114; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED; PZ8
528525712137112; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CX 50 FR PLAS OPC X 120 ML + 50 CP MED (EMB HOSP); PZ8
528524001164112; ACETATO DE DEXAMETASONA; ACETATO DEXAMETASONA; ACETATO DEXAMETASONA; 1 MG/G CREM DERM CT BG AL X 10 G ; PZ8
528524002160110; ACETATO DE DEXAMETASONA; ACETATO DEXAMETASONA; ACETATO DEXAMETASONA; 1 MG/G CREM DERM CX 100 BG AL X 10 G (EMB HOSP); PZ8
528500114139116; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 120 MG/G GRAN CT C/ 16 ENV X 5 G; PZ8
528500119130117; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 120 MG/G GRAN CT C/ 200 ENV X 5 G (EMB MULT); PZ8
528500109119110; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ G GRAN CT C/ 16 ENV X 5 G; PZ8
528500110133113; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ G GRAN CT C/ 200 ENV X 5 G (EMB MULT); PZ8
528500102130119; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20.0 MG/ML XPE CT FR VD AMB X 100ML + COPO MED; PZ8
528500103137117; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20.0 MG/ML XPE CT FR VD AMB X 150ML + COPO MED; PZ8
528500101134110; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ML XPE 50 FR VD AMB X 80 ML + 50 CP MED (EMB HOSP); PZ8
528500106136111; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 40 MG/ G GRAN CT C/ 16 ENV X 5 G; PZ8
528500107132111; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 40 MG/ G GRAN CT C/ 200 ENV X 5 G (EMB MULT); PZ8
528500115135114; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 40 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; PZ8
528500118134119; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 40 MG/ML XPE CX 50 FR VD AMB X 100 ML + 50 CP MED (EMB HOSP); PZ8
528500116131112; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 40 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; PZ8
528500117138110; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 40 MG/ML XPE CT FR VD AMB X 150 ML + CP MED; PZ8
528523303116112; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS INC X 10; PZ8
528523307111115; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS INC X 280 (EMB FRAC) ; PZ8
528523305119119; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS INC X 30; PZ8
528523306115117; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS INC X 450 (EMB HOSP); PZ8
528523301164111; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50MG/G CREM DERM CX 100 BG AL X 10 G (EMB HOSP); PZ8
528523302160118; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50MG/G CREM DERM CT BG AL X 10 G; PZ8
528500205134117; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 40 MG/ML SUS OR CT FR PLAS OPC X 10 ML; PZ8
528500206130115; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 40 MG/ML SUS OR CX 200 FR PLAS OPC X 10 ML (EMB HOSP); PZ8
