528531702113118, LANSOPRAZOL + CLARITROMICINA + AMOXICILINA, LANSOPRAZOL CLARITROMICINA AMOXICILINA, NOT FOUND, 30 MG CAP GEL DURA + 500 MG COMP REV + 500 MG CAP GEL DURA CT 40 BL AL PLAS INC 2 + 2 + 4, PZ8
528531701117111, LANSOPRAZOL + CLARITROMICINA + AMOXICILINA, LANSOPRAZOL CLARITROMICINA AMOXICILINA, NOT FOUND, 30 MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT 7 BL AL PLAS INC X 2 + 2 + 4, PZ8
528531703111119, LANSOPRAZOL + CLARITROMICINA + AMOXICILINA, LANSOPRAZOL CLARITROMICINA AMOXICILINA, NOT FOUND, 30 MG CAP GEL DURA + 500 MG COMP REV + 500 MG CAP GEL DURA CT 7 BL AL PLAS INC 2 + 2 + 4 + 30 MG CAP GEL DURA BL AL PLAS INC X 14, PZ8
528531704116114, LANSOPRAZOL + CLARITROMICINA + AMOXICILINA, LANSOPRAZOL CLARITROMICINA AMOXICILINA, NOT FOUND, 30 MG CAP GEL DURA + 500 MG COMP REV + 500 MG CAP GEL DURA CT 7 BL AL PLAS INC 2 + 2 + 4 + 30 MG CAP GEL DURA BL AL PLAS INC X 28, PZ8
528530401111118, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 30 MG CAP GEL DURA MCGRAN LIB RETARD CT BL AL PLAS INC X 14, PZ8
528531101111412, LISPELIN, LISPELIN, NOT FOUND, 30 MG CAP GEL DURA MCGRAN LIB RETARD CT BL AL PLAS INC X 14, PZ8
528530407118114, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 30 MG CAP GEL DURA MCGRAN LIB RETARD CT BL AL PLAS TRANS X 140 (EMB FRAC), PZ8
528530402116113, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 30 MG CAP GEL DURA MCGRAN LIB RETARD CT BL AL PLAS INC X 28, PZ8
528530403112111, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 30 MG CAP GEL DURA MCGRAN LIB RETARD CT BL AL PLAS INC X 280 (EMB HOSP), PZ8
528530406111116, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 30 MG CAP GEL DURA MCGRAN LIB RETARD CT BL AL PLAS INC X 560 (EMB HOSP), PZ8
528530404119111, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 30 MG CAP GEL DURA MCGRAN LIB RETARD CT BL AL PLAS INC X 7  , PZ8
528531102116418, LISPELIN, LISPELIN, NOT FOUND, 30 MG CAP GEL DURA MCGRAN LIB RETARD CT BL AL PLAS INC X 7, PZ8
528530405115118, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 30 MG CAP GEL DURA MCGRAN LIB RETARD CT BL AL PLAS INC X 840 (EMB HOSP), PZ8
528530201161111, LIDOCAÍNA, LIDOCAINA, LIDOCAINA, 50 MG/G POM DERM CX 100 BG AL X 25 G (EMB HOSP), PZ8
528530202168111, LIDOCAÍNA, LIDOCAINA, LIDOCAINA, 50 MG/G POM DERM CT BG AL X 25 G, PZ8
528503506135117, LORATADINA, LORATADINA, LORATADINA, 1 MG/ML XPE CT FR PLAS OPC X 100 ML + CP MED, PZ8
528503507131115, LORATADINA, LORATADINA, LORATADINA, 1 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, PZ8
528503508138113, LORATADINA, LORATADINA, LORATADINA, 1 MG/ML XPE CX 50 FR PLAS OPC X 100 ML + 50 CP MED (EMB HOSP), PZ8
528503509134111, LORATADINA, LORATADINA, LORATADINA, 1 MG/ML XPE CX 50 FR VD AMB X 100 ML + 50 CP MED (EMB HOSP), PZ8
528529609111117, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 100 MG COM REV CT BL AL PLAS INC X 100 (EMB FRAC), PZ8
528529608113116, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 100 MG COM REV CT BL AL PLAS INC X 15, PZ8
528529607117118, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 100 MG COM REV CT BL AL PLAS INC X 30, PZ8
528529606110111, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 100 MG COM REV CT BL AL PLAS INC X 300 (EMB HOSP), PZ8
528529605114111, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 100 MG COM REV CT BL AL PLAS INC X 900 (EMB HOSP), PZ8
528529604118113, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS INC X 15, PZ8
528529610118111, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS INC X 200 (EMB FRAC), PZ8
528529603111115, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS INC X 30, PZ8
528529602115117, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS INC X 300 (EMB HOSP), PZ8
528529601119119, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS INC X 900 (EMB HOSP), PZ8
