528529502110113, IBUPROFENO, IBUPROFENO, IBUPROFENO, 600 MG COM REV CT BL AL PLAS INC X 20, PZ8
528529501114115, IBUPROFENO, IBUPROFENO, IBUPROFENO, 600 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP), PZ8
528529503117111, IBUPROFENO, IBUPROFENO, IBUPROFENO, 600 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP), PZ8
528530603111119, ITRACONAZOL, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 10, PZ8
528530604118117, ITRACONAZOL, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 100 (EMB HOSP) , PZ8
528530605114115, ITRACONAZOL, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 15, PZ8
528530606110113, ITRACONAZOL, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 150 (EMB HOSP) , PZ8
528530607117111, ITRACONAZOL, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 160 (EMB HOSP) , PZ8
528530601119112, ITRACONAZOL, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 4, PZ8
528530608113111, ITRACONAZOL, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 40 (EMB HOSP) , PZ8
528530609111110, ITRACONAZOL, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 400 (EMB HOSP) , PZ8
528530602115110, ITRACONAZOL, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 600 (EMB HOSP) , PZ8
528529502110113, IBUPROFENO, IBUPROFENO, IBUPROFENO, 600 MG COM REV CT BL AL PLAS INC X 20, PZ8
528529501114115, IBUPROFENO, IBUPROFENO, IBUPROFENO, 600 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP), PZ8
528529503117111, IBUPROFENO, IBUPROFENO, IBUPROFENO, 600 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP), PZ8
528530603111119, ITRACONAZOL, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 10, PZ8
528530604118117, ITRACONAZOL, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 100 (EMB HOSP) , PZ8
528530605114115, ITRACONAZOL, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 15, PZ8
528530606110113, ITRACONAZOL, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 150 (EMB HOSP) , PZ8
528530607117111, ITRACONAZOL, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 160 (EMB HOSP) , PZ8
528530601119112, ITRACONAZOL, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 4, PZ8
528530608113111, ITRACONAZOL, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 40 (EMB HOSP) , PZ8
528530609111110, ITRACONAZOL, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 400 (EMB HOSP) , PZ8
528530602115110, ITRACONAZOL, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 600 (EMB HOSP) , PZ8
528529502110113, IBUPROFENO, IBUPROFENO, IBUPROFENO, 600 MG COM REV CT BL AL PLAS INC X 20, PZ8
528529501114115, IBUPROFENO, IBUPROFENO, IBUPROFENO, 600 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP), PZ8
528529503117111, IBUPROFENO, IBUPROFENO, IBUPROFENO, 600 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP), PZ8
528530603111119, ITRACONAZOL, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 10, PZ8
528530604118117, ITRACONAZOL, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 100 (EMB HOSP) , PZ8
528530605114115, ITRACONAZOL, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 15, PZ8
528530606110113, ITRACONAZOL, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 150 (EMB HOSP) , PZ8
528530607117111, ITRACONAZOL, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 160 (EMB HOSP) , PZ8
