528514070126006, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, 20 MG CAP DURA C/ MCGRAN CT BL AL PLAS TRANS X 60, PZ8
528514070126106, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, 20 MG CAP DURA C/ MCGRAN CT BL AL PLAS TRANS X 90, PZ8
528528202113119, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, 10 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 30 , PZ8
528528201117110, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, 10 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 420 (EMB HOSP), PZ8
528528203111111, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, 20 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 14, PZ8
528528207115111, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, 20 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 140 (EMB HOSP), PZ8
528528211112111, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, 20 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 200 (EMB HOSP), PZ8
528528210116113, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, 20 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 30, PZ8
528528209118116, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, 20 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 560 (EMB HOSP), PZ8
528528208111118, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, 20 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 800 (EMB HOSP), PZ8
528528204116115, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, 40 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 10, PZ8
528528205112113, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, 40 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 140 (EMB HOSP), PZ8
528528206119111, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, 40 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 200 (EMB HOSP), PZ8
