514301002152411, PASMODEX, PASMODEX, NOT FOUND, 0.25 MG/ML SOL INJ CX 100 AMP PLAS TRANS X 1 ML ( EMB HOSP), IS5
514301003159411, PASMODEX, PASMODEX, NOT FOUND, 0.25 MG/ML SOL INJ CX 120 AMP PLAS TRANS X 1 ML ( EMB HOSP), IS5
514301001156413, PASMODEX, PASMODEX, NOT FOUND, 0.25MG/ML CAIXA COM 100 UND 1ML EM VIDRO, IS5
514301002152411, PASMODEX, PASMODEX, NOT FOUND, 0.25 MG/ML SOL INJ CX 100 AMP PLAS TRANS X 1 ML ( EMB HOSP), IS5
514301003159411, PASMODEX, PASMODEX, NOT FOUND, 0.25 MG/ML SOL INJ CX 120 AMP PLAS TRANS X 1 ML ( EMB HOSP), IS5
514301001156413, PASMODEX, PASMODEX, NOT FOUND, 0.25MG/ML CAIXA COM 100 UND 1ML EM VIDRO, IS5
514301002152411, PASMODEX, PASMODEX, NOT FOUND, 0.25 MG/ML SOL INJ CX 100 AMP PLAS TRANS X 1 ML ( EMB HOSP), IS5
514301003159411, PASMODEX, PASMODEX, NOT FOUND, 0.25 MG/ML SOL INJ CX 120 AMP PLAS TRANS X 1 ML ( EMB HOSP), IS5
514301001156413, PASMODEX, PASMODEX, NOT FOUND, 0.25MG/ML CAIXA COM 100 UND 1ML EM VIDRO, IS5
514301002152411, PASMODEX, PASMODEX, NOT FOUND, 0.25 MG/ML SOL INJ CX 100 AMP PLAS TRANS X 1 ML ( EMB HOSP), IS5
514301003159411, PASMODEX, PASMODEX, NOT FOUND, 0.25 MG/ML SOL INJ CX 120 AMP PLAS TRANS X 1 ML ( EMB HOSP), IS5
514301001156413, PASMODEX, PASMODEX, NOT FOUND, 0.25MG/ML CAIXA COM 100 UND 1ML EM VIDRO, IS5
514301002152411, PASMODEX, PASMODEX, NOT FOUND, 0.25 MG/ML SOL INJ CX 100 AMP PLAS TRANS X 1 ML ( EMB HOSP), IS5
514301003159411, PASMODEX, PASMODEX, NOT FOUND, 0.25 MG/ML SOL INJ CX 120 AMP PLAS TRANS X 1 ML ( EMB HOSP), IS5
514301001156413, PASMODEX, PASMODEX, NOT FOUND, 0.25MG/ML CAIXA COM 100 UND 1ML EM VIDRO, IS5
514301002152411, PASMODEX, PASMODEX, NOT FOUND, 0.25 MG/ML SOL INJ CX 100 AMP PLAS TRANS X 1 ML ( EMB HOSP), IS5
514301003159411, PASMODEX, PASMODEX, NOT FOUND, 0.25 MG/ML SOL INJ CX 120 AMP PLAS TRANS X 1 ML ( EMB HOSP), IS5
514301001156413, PASMODEX, PASMODEX, NOT FOUND, 0.25MG/ML CAIXA COM 100 UND 1ML EM VIDRO, IS5
514301002152411, PASMODEX, PASMODEX, NOT FOUND, 0.25 MG/ML SOL INJ CX 100 AMP PLAS TRANS X 1 ML ( EMB HOSP), IS5
514301003159411, PASMODEX, PASMODEX, NOT FOUND, 0.25 MG/ML SOL INJ CX 120 AMP PLAS TRANS X 1 ML ( EMB HOSP), IS5
514301001156413, PASMODEX, PASMODEX, NOT FOUND, 0.25MG/ML CAIXA COM 100 UND 1ML EM VIDRO, IS5
514301002152411, PASMODEX, PASMODEX, NOT FOUND, 0.25 MG/ML SOL INJ CX 100 AMP PLAS TRANS X 1 ML ( EMB HOSP), IS5
514301003159411, PASMODEX, PASMODEX, NOT FOUND, 0.25 MG/ML SOL INJ CX 120 AMP PLAS TRANS X 1 ML ( EMB HOSP), IS5
514301001156413, PASMODEX, PASMODEX, NOT FOUND, 0.25MG/ML CAIXA COM 100 UND 1ML EM VIDRO, IS5
514301002152411, PASMODEX, PASMODEX, NOT FOUND, 0.25 MG/ML SOL INJ CX 100 AMP PLAS TRANS X 1 ML ( EMB HOSP), IS5
514301003159411, PASMODEX, PASMODEX, NOT FOUND, 0.25 MG/ML SOL INJ CX 120 AMP PLAS TRANS X 1 ML ( EMB HOSP), IS5
514301001156413, PASMODEX, PASMODEX, NOT FOUND, 0.25MG/ML CAIXA COM 100 UND 1ML EM VIDRO, IS5
514301002152411, PASMODEX, PASMODEX, NOT FOUND, 0.25 MG/ML SOL INJ CX 100 AMP PLAS TRANS X 1 ML ( EMB HOSP), IS5
514301003159411, PASMODEX, PASMODEX, NOT FOUND, 0.25 MG/ML SOL INJ CX 120 AMP PLAS TRANS X 1 ML ( EMB HOSP), IS5
514301002152411, PASMODEX, PASMODEX, NOT FOUND, 0.25 MG/ML SOL INJ CX 100 AMP PLAS TRANS X 1 ML ( EMB HOSP), IS5
514301003159411, PASMODEX, PASMODEX, NOT FOUND, 0.25 MG/ML SOL INJ CX 120 AMP PLAS TRANS X 1 ML ( EMB HOSP), IS5
