514301501159111, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 2 MG/ML SOL. INJ ENV AL BOLS POLIET TRANSP X 100, IS5
514301501159111, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 2 MG/ML SOL. INJ ENV AL BOLS POLIET TRANSP X 100, IS5
514301501159111, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 2 MG/ML SOL. INJ ENV AL BOLS POLIET TRANSP X 100, IS5
514301501159111, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 2 MG/ML SOL. INJ ENV AL BOLS POLIET TRANSP X 100, IS5
514301501159111, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 2 MG/ML SOL. INJ ENV AL BOLS POLIET TRANSP X 100, IS5
514302201159414, FOSFATO DE POTÁSSIO, FOSFATO POTASSIO, FOSFATO POTASSICO MEGALOMICINA, 2 MEG/ML SOL INJ IV CX 100 AMP PLAS TRANS PE X 10 ML , IS5
514302202155412, FOSFATO DE POTÁSSIO, FOSFATO POTASSIO, FOSFATO POTASSICO MEGALOMICINA, 2 MEG/ML SOL INJ IV CX 200 AMP PLAS TRANS PE X 10 ML , IS5
514301501159111, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 2 MG/ML SOL. INJ ENV AL BOLS POLIET TRANSP X 100, IS5
514302201159414, FOSFATO DE POTÁSSIO, FOSFATO POTASSIO, FOSFATO POTASSICO MEGALOMICINA, 2 MEG/ML SOL INJ IV CX 100 AMP PLAS TRANS PE X 10 ML , IS5
514302202155412, FOSFATO DE POTÁSSIO, FOSFATO POTASSIO, FOSFATO POTASSICO MEGALOMICINA, 2 MEG/ML SOL INJ IV CX 200 AMP PLAS TRANS PE X 10 ML , IS5
514301501159111, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 2 MG/ML SOL. INJ ENV AL BOLS POLIET TRANSP X 100, IS5
514302201159414, FOSFATO DE POTÁSSIO, FOSFATO POTASSIO, FOSFATO POTASSICO MEGALOMICINA, 2 MEG/ML SOL INJ IV CX 100 AMP PLAS TRANS PE X 10 ML , IS5
514302202155412, FOSFATO DE POTÁSSIO, FOSFATO POTASSIO, FOSFATO POTASSICO MEGALOMICINA, 2 MEG/ML SOL INJ IV CX 200 AMP PLAS TRANS PE X 10 ML , IS5
514301501159111, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 2 MG/ML SOL. INJ ENV AL BOLS POLIET TRANSP X 100, IS5
514302201159414, FOSFATO DE POTÁSSIO, FOSFATO POTASSIO, FOSFATO POTASSICO MEGALOMICINA, 2 MEG/ML SOL INJ IV CX 100 AMP PLAS TRANS PE X 10 ML , IS5
514302202155412, FOSFATO DE POTÁSSIO, FOSFATO POTASSIO, FOSFATO POTASSICO MEGALOMICINA, 2 MEG/ML SOL INJ IV CX 200 AMP PLAS TRANS PE X 10 ML , IS5
514301501159111, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 2 MG/ML SOL. INJ ENV AL BOLS POLIET TRANSP X 100, IS5
514302201159414, FOSFATO DE POTÁSSIO, FOSFATO POTASSIO, FOSFATO POTASSICO MEGALOMICINA, 2 MEG/ML SOL INJ IV CX 100 AMP PLAS TRANS PE X 10 ML , IS5
514302202155412, FOSFATO DE POTÁSSIO, FOSFATO POTASSIO, FOSFATO POTASSICO MEGALOMICINA, 2 MEG/ML SOL INJ IV CX 200 AMP PLAS TRANS PE X 10 ML , IS5
514301501159111, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 2MG/ML SOL INJ IV ENV AL BOLS PLAS TRANS X 100 ML (SIST FECH), IS5
514302201159414, FOSFATO DE POTÁSSIO, FOSFATO POTASSIO, FOSFATO POTASSICO MEGALOMICINA, 2 MEG/ML SOL INJ IV CX 100 AMP PLAS TRANS PE X 10 ML , IS5
514302202155412, FOSFATO DE POTÁSSIO, FOSFATO POTASSIO, FOSFATO POTASSICO MEGALOMICINA, 2 MEG/ML SOL INJ IV CX 200 AMP PLAS TRANS PE X 10 ML , IS5
514301501159111, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 2MG/ML SOL INJ IV ENV AL BOLS PLAS TRANS X 100 ML (SIST FECH), IS5
514302201159414, FOSFATO DE POTÁSSIO, FOSFATO POTASSIO, FOSFATO POTASSICO MEGALOMICINA, 2 MEG/ML SOL INJ IV CX 100 AMP PLAS TRANS PE X 10 ML , IS5
514302202155412, FOSFATO DE POTÁSSIO, FOSFATO POTASSIO, FOSFATO POTASSICO MEGALOMICINA, 2 MEG/ML SOL INJ IV CX 200 AMP PLAS TRANS PE X 10 ML , IS5
