533013040059104; CHOFRAFIG; CHOFRAFIG; NOT FOUND; SOL OR CT 12 FLAC INC X 10 ML; U_Q
533013040059204; CHOFRAFIG; CHOFRAFIG; NOT FOUND; SOL OR CT 60 FLAC INC X 10 ML; U_Q
533013050059603; CHOFRAFIG; CHOFRAFIG; NOT FOUND; SOL OR CT 12 FR VD AMB X 120 ML; U_Q
504101301159410; CICLOVULAR; CICLOVULAR; NOT FOUND; 150MG/ML + 10MG/ML SOL INJ CT AMP VD INC X 1 ML; U_Q
533020101110416; CONSTANTE; CONSTANTE; NOT FOUND; 0.25 MG COM CT BL AL PLAS INC X 20 ; U_Q
533020104111413; CONSTANTE; CONSTANTE; NOT FOUND; 0.25 MG COM CT BL AL PLAS INC X 30 ; U_Q
533020102117414; CONSTANTE; CONSTANTE; NOT FOUND; 0.5 MG COM CT BL AL PLAS INC X 20 ; U_Q
533020105116419; CONSTANTE; CONSTANTE; NOT FOUND; 0.5 MG COM CT  BL AL PLAS INC X 30 ; U_Q
533020103113412; CONSTANTE; CONSTANTE; NOT FOUND; 1.0 MG COM CT BL AL PLAS INC X 20 ; U_Q
533020106112417; CONSTANTE; CONSTANTE; NOT FOUND; 1.0 MG COM CT  BL AL PLAS INC X 30; U_Q
533001802133416; CELESTRAT; CELESTRAT; NOT FOUND; 2 MG/5ML + 0.25 MG/5ML XPE CT FR VD AMB X 120 ML; U_Q
533001801110412; CELESTRAT; CELESTRAT; NOT FOUND; 2 MG + 0.25 MG COM CT BL AL PLAS INC X 15; U_Q
533001403115414; CAPOTRAT; CAPOTRAT; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; U_Q
533024702119119; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 30; U_Q
533001404111412; CAPOTRAT; CAPOTRAT; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); U_Q
533001405118410; CAPOTRAT; CAPOTRAT; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; U_Q
533024701112110; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS INC X 30 ; U_Q
533021307138111; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 20 MG/ML SUS OR CT FR VD AMB X 100 ML + CP MED; U_Q
533021308134118; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 20 MG/ML SUS OR CT FR VD AMB X 100 ML + SER DOSAD; U_Q
533021301113115; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 100 (EMB HOSP); U_Q
533021302111116; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 20; U_Q
533021303116111; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); U_Q
533021304112111; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 30; U_Q
533021305119118; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); U_Q
533021306115116; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 60; U_Q
533022201139110; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE CT FR PLAS TRANS X 100 ML + CP MED ; U_Q
533022202135119; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CT FR PLAS TRANS X 100 ML + CP MED ; U_Q
533025002137112; CEFALEXINA; CEFALEXINA; CEFALEXINA; 50 MG/ML PO P/ SUS OR CT FR VD AMB X 100 ML + CP MED; U_Q
533025001130114; CEFALEXINA; CEFALEXINA; CEFALEXINA; 50 MG/ML PO P/ SUS OR CT FR VD AMB X 60 ML + CP MED ; U_Q
533025102115110; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG CAP GEL DURA CT BL AL PLAS TRANS X 10; U_Q
533025101119112; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG CAP GEL DURA CT BL AL PLAS TRANS X 8; U_Q
533001501151415; CEFALOTIL; CEFALOTIL; NOT FOUND; 1 G PO SOL INJ CX 50 FA VD INC + 50 AMP DIL X 5 ML; U_Q
533001502156410; CEFALOTIL; CEFALOTIL; NOT FOUND; 1 G PO SOL INJ CX 50 FA VD INC; U_Q
533001701159411; CEFTRAT; CEFTRAT; NOT FOUND; 1 G PO INJ IM/IV CT FA VD INC; U_Q
