1181900870018; CECOFENE; CECOFENE; NOT FOUND; 100 MG COM REV CT BL AL/AL X 12; MB9
1181900370015; CORTITOP; CORTITOP; NOT FOUND; 1.0 MG/G CREM DERM CT BG AL X 10 G  ; MB9
1181900370041; CORTITOP; CORTITOP; NOT FOUND; 1.0 MG/G CREM DERM CX 50 BG AL X 10 G   (EMB HOSP); MB9
1181900260023; CAPTOLAB; CAPTOLAB; NOT FOUND; 12.5MG BLISTER COM 15 COMP; MB9
1181900260066; CAPTOLAB; CAPTOLAB; NOT FOUND; 25 MG COM CT BL AL PLAS X 30; MB9
1181900260074; CAPTOLAB; CAPTOLAB; NOT FOUND; 50MG BLISTER COM 15 COMP; MB9
1181900260031; CAPTOLAB; CAPTOLAB; NOT FOUND; 12.5 MG COM CT BL AL PLAS X 30 ; MB9
1181900260082; CAPTOLAB; CAPTOLAB; NOT FOUND; 50 MG COM CT BL AL PLAS X 30; MB9
1181900260112; CAPTOLAB; CAPTOLAB; NOT FOUND; 25 MG COM CT BL AL PLAS X 750 (EMB HOSP); MB9
1181900260120; CAPTOLAB; CAPTOLAB; NOT FOUND; 25 MG COM CT BL AL PLAS X 60; MB9
1181901430011; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS TRANS X 30 ; MB9
1181901430021; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS TRANS X 450 (EMB HOSP); MB9
1181900580060; CEFAGEL; CEFAGEL; NOT FOUND; 50 MG/ML PO SUS OR CT FR VD AMB X 60 ML + COP; MB9
1181900580079; CEFAGEL; CEFAGEL; NOT FOUND; 50 MG/ML PO SUS OR CT FR VD AMB X 100 ML + COP ; MB9
1181900580011; CEFAGEL; CEFAGEL; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 10; MB9
1181900580028; CEFAGEL; CEFAGEL; NOT FOUND; 500 MG CAP GEL DURA CX BL AL PLAS INC X 500 (EMB HOSP); MB9
1181900280016; CETOCONALAB; CETOCONALAB; NOT FOUND; BATAO C/ 30G CREME; MB9
1181900280024; CETOCONALAB; CETOCONALAB; NOT FOUND; FRASCO 100ML XAMPOO; MB9
1181901350018; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM DERM CT BG AL X 30 G ; MB9
1181901350026; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM DERM CX 50 BG AL X 30 G (EMB HOSP); MB9
1181900280040; CETOCONALAB; CETOCONALAB; NOT FOUND; 200 MG COM CT 01 BL AL PLAST INC X 10; MB9
1181900810015; CIMETILAB; CIMETILAB; NOT FOUND; 200 MG COM REV CT BL AL PLAS INC X 40; MB9
1181900810031; CIMETILAB; CIMETILAB; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 20; MB9
1181900820010; CIMETIDINA; CIMETIDINA; CIMETIDINA; 200 MG COM REV CT BL AL PLAS INC X 40; MB9
1181900820037; CIMETIDINA; CIMETIDINA; CIMETIDINA; 400 MG COM REV CT BL AL PLAS INC X 20; MB9
1181901100011; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 5 MG COM REV CT BL AL PLAS INC X 30; MB9
1181901100046; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS INC X 30; MB9
1181900890019; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14 ; MB9
1181900900014; CICLATRY; CICLATRY; NOT FOUND; 500 MG COMP REV CT BL AL PLAS INC X 14; MB9
1181901140031; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 30; MB9
1181901140048; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 60; MB9
1181900340035; CARDIX; CARDIX; NOT FOUND; 40 MG COM CT BL AL PLAS X 40; MB9
1181900340094; CARDIX; CARDIX; NOT FOUND; 80 MG COM CT BL AL PLAS X 20; MB9
1181900340116; CARDIX; CARDIX; NOT FOUND; 40 MG COM CT BL AL PLAS X 1000 ; MB9
1181900340027; CARDIX; CARDIX; NOT FOUND; 40 MG COM CT BL AL PLAS X 30; MB9
1181900770013; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM DERM CT BG AL X 20 G; MB9
1181900800011; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM VAG CT BG AL X 35 G + 6 APLIC; MB9
1181901090067; COCICHIMIL; COCICHIMIL; NOT FOUND; 0.5 MG COM CT BL AL PLAS OPC X 20; MB9
1181901090105; COCICHIMIL; COCICHIMIL; NOT FOUND; 1 MG COM CT BL AL PLAS OPC X 30; MB9
1181901260027; COLPLEN; COLPLEN; NOT FOUND; 100 MG/G GEL VAG CT BG AL X 50 G + 10 APLIC; MB9
