1181900090012; MUCOLAB; MUCOLAB; NOT FOUND; 50 MG/ ML XPE CT FR VD AMB 150 ML + COLHER DOSADORA; MB9
1181900090020; MUCOLAB; MUCOLAB; NOT FOUND; 50 MG/ML XPE CT FR VD AMB 100 ML + COLHER DOSADORA; MB9
1181900140011; MULTISORO INFANTIL; MULTISORO INFANTIL; NOT FOUND; 9.0 MG + 0.1 MG SOL NASAL CT FR VD AMB X 30 ML + CGT; MB9
1181900210039; MULTIGRIP; MULTIGRIP; NOT FOUND; 100 MG + 2 MG + 2 MG/ML SOL OR CT FR PLAS OPC X 15 ML; MB9
1181900210042; MULTIGRIP; MULTIGRIP; NOT FOUND; 40 MG + 0.60 MG + 0.60 SOL OR CT FR PLAS TRANS X 100 ML; MB9
1181900210042; MULTIGRIP; MULTIGRIP; NOT FOUND; 400 MG + 4 MG + 4 MG GRAN ENV AL POLIET X 5 (LIMAO); MB9
1181900210093; MULTIGRIP; MULTIGRIP; NOT FOUND; 400MG + 4MG + 4MG GRAN ENV AL POLIET X 5G (LARANJA); MB9
1181900210018; MULTIGRIP; MULTIGRIP; NOT FOUND; 400MG + 4MG + 4MG CAP GEL DURA CT BL AL PLAS X 20; MB9
1181900210034; MULTIGRIP; MULTIGRIP; NOT FOUND; 400MG + 4MG + 4MG CAP GEL DURA CT BL AL PLAS X 100; MB9
1181900210115; MULTIGRIP; MULTIGRIP; NOT FOUND; 400 MG + 4 MG + 4 MG CAP GEL DURA CX BL AL PLAS X 200; MB9
1181900210123; MULTIGRIP; MULTIGRIP; NOT FOUND; 400MG + 4MG + 4MG GRAN CX 50 ENV AL POLIET X 5G (LIMAO); MB9
1181900200012; MULTISORO ADULTO; MULTISORO ADULTO; NOT FOUND; 0.5 MG/ML SOL NAS CT FR VD AMB CGT X 30 ML; MB9
1181900160010; MULTICOR; MULTICOR; NOT FOUND; 80 MG COM REV CT BL AL PLAS INC X 20; MB9
1181900320018; MULTIDERME; MULTIDERME; NOT FOUND; 5000 UI/G + 900 UI/G + 150 MG/G POM DERM CT BG AL X 45G; MB9
1181900320026; MULTIDERME; MULTIDERME; NOT FOUND; 5000 UI/G + 900 UI/G + 150 MG/G POM DERM CX 154 BG AL X 45 G (EMB HOSP); MB9
1181900930010; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 2.8 MG/ML SOL OR CT FR PLAS OPC GOT X 20ML ; MB9
1181900930071; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR PET AMB X 120ML+ CP MED; MB9
1181900760018; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 10 MG/G CREM DERM CT BG AL X 30G; MB9
1181900190041; MULTIPRESSIM; MULTIPRESSIM; NOT FOUND; 10 MG BLISTER C/ 30CPRS; MB9
1181900190068; MULTIPRESSIM; MULTIPRESSIM; NOT FOUND; 20 MG BLISTER C/ 30CPRS; MB9
1181900190025; MULTIPRESSIM; MULTIPRESSIM; NOT FOUND; 5 MG BLISTER C/ 30CPRS; MB9
1181900020014; MULTIZOL; MULTIZOL; NOT FOUND; 20  MG/ML SUS OR CT FR VD AMB X 30 ML ; MB9
1181901250021; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 100 MG/G GEL VAG CT BG AL X 50 G + 10 APLIC; MB9
1181900290011; MICOSTALAB; MICOSTALAB; NOT FOUND; 100.000 UI/ML SUS OR CT FR VD CGT X 50 ML; MB9
1181900290021; MICOSTALAB; MICOSTALAB; NOT FOUND; 25.000 UI/G CREM VAG CT BG AL X 40 G; MB9
1181900290038; MICOSTALAB; MICOSTALAB; NOT FOUND; 25000 UI/G CREM VAG CT  BG AL X 60 G ; MB9
1181900290062; MICOSTALAB; MICOSTALAB; NOT FOUND; 25000 UI/G CREM VAG CT BG AL X 60G + 10 APLIC ; MB9
1181900070011; MULTIRALGIM; MULTIRALGIM; NOT FOUND; FRASCO COM 10ML; MB9
