1181900250011; DENTISAN; DENTISAN; NOT FOUND; 12 FRASCOS 10ML; MB9
1181900060034; DELTALAB; DELTALAB; NOT FOUND; 0.2 MG/ML XAMP CT FR PLAS OPC X 100 ML; MB9
1181900060023; DELTALAB; DELTALAB; NOT FOUND; 0.2 MG/ML XAMP CX 162 FR PLAS OPC X 100 ML; MB9
1181900060016; DELTALAB; DELTALAB; NOT FOUND; 0.2 MG/ML LOC CT FR PLAS OPC X 100 ML; MB9
1181901320011; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CT FR VD AMB X 100 ML + COP ; MB9
1181901320021; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CX 50 FR VD AMB X 100 ML + 50 COP (EMB HOSP); MB9
1181901320038; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CT FR PET AMB X 100 ML + COP ; MB9
1181901320046; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CX 50 FR PET AMB X 100 ML + 50 COP (EMB HOSP) ; MB9
1181900980018; DICLOSODICO; DICLOSODICO; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; MB9
1181900970012; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COMP REV OR CT BL PLAS TRANS X 20; MB9
1181900410130; DORSANOL; DORSANOL; NOT FOUND; 160 MG/5ML SUS OR CT FR PLAS OPC X 60 ML; MB9
1181900410084; DORSANOL; DORSANOL; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS OPC X 15 ML; MB9
1181900410238; DORSANOL; DORSANOL; NOT FOUND; 500 MG PO SOL CX 50 ENV AL/PLAS 5 G (EMB MULT) ABACAXI; MB9
1181900410246; DORSANOL; DORSANOL; NOT FOUND; 500 MG PO SOL CX 50 ENV AL/PLAS 5 G (EMB MULT) CAMOMILA; MB9
1181900410254; DORSANOL; DORSANOL; NOT FOUND; 500 MG PO SOL CX 50 ENV AL/PLAS 5 G (EMB MULT) MACA CANELA; MB9
1181900410262; DORSANOL; DORSANOL; NOT FOUND; 500 MG PO SOL CX 50 ENV AL/PLAS 5 G (EMB MULT) LARANJA ; MB9
1181900410270; DORSANOL; DORSANOL; NOT FOUND; 500 MG PO SOL CX 50 ENV AL/PLAS 5 G (EMB MULT) MEL LIMAO ; MB9
1181900410017; DORSANOL; DORSANOL; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 20; MB9
1181900410025; DORSANOL; DORSANOL; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 200 (EMB MULT); MB9
1181900410041; DORSANOL; DORSANOL; NOT FOUND; 750 MG COM CT 5 BL AL PLAS INC X 4; MB9
1181900410051; DORSANOL; DORSANOL; NOT FOUND; 750 MG COM CT 50 BL AL PLAS INC X 4; MB9
