1181900780019; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 100 MG COM REV CT BL AL/AL X 12; MB9
1181900650018; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM DERM CT BG AL X 10 G; MB9
1181900910011; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL/PLAS INC X 15; MB9
1181900910028; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL/PLAS INC X 21; MB9
1181900920066; AMOXICILINA TRIIDRATADA; AMOXICILINA TRIIDRATADA; NOT FOUND; 100 MG/ML PO SUS OR CT FR VD AMB X 15 G (150 ML) + COP; MB9
1181900920015; AMOXICILINA TRIIDRATADA; AMOXICILINA TRIIDRATADA; NOT FOUND; 50 MG/ML PO SUS OR CT FR VD AMB X 3 G (60 ML) + COP; MB9
1181900920031; AMOXICILINA TRIIDRATADA; AMOXICILINA TRIIDRATADA; NOT FOUND; 50 MG/ML PO SUS OR CT FR VD AMB X 7.5 G (150 ML) + COP; MB9
1181900100093; AMPICILAB; AMPICILAB; NOT FOUND; 3 G PO SUS OR CT FR VD AMB; MB9
1181900100166; AMPICILAB; AMPICILAB; NOT FOUND; 3 G PO SUS OR CX 50 FR VD AMB; MB9
1181900100042; AMPICILAB; AMPICILAB; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 10; MB9
1181900100174; AMPICILAB; AMPICILAB; NOT FOUND; 500 MG CAP GEL DURA CX BL AL PLAS INC X 200 (EMB HOSP); MB9
1181900100158; AMPICILAB; AMPICILAB; NOT FOUND; 500 MG CAP GEL DURA CX BL AL PLAS INC X 600 (EMB HOSP); MB9
1181900700015; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 10; MB9
1181900170024; ATENOLAB; ATENOLAB; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 28 ; MB9
1181900170059; ATENOLAB; ATENOLAB; NOT FOUND; 100MG COM CT BL AL PLAS INC X 28 ; MB9
1181900170075; ATENOLAB; ATENOLAB; NOT FOUND; 100MG COM CT BL AL PLAS INC X 700 (EMB HOSP); MB9
1181900170083; ATENOLAB; ATENOLAB; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 28; MB9
1181900170156; ATENOLAB; ATENOLAB; NOT FOUND; 25 MG COM CT BL AL PLAS TRANS X 30; MB9
1181900170164; ATENOLAB; ATENOLAB; NOT FOUND; 50 MG COM CT BL AL PLAS TRANS X 30; MB9
1181900170172; ATENOLAB; ATENOLAB; NOT FOUND; 100MG COM CT BL AL PLAS TRANS X 30; MB9
1181900990048; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 28 ; MB9
1181900990072; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 28 ; MB9
1181900990102; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS TRANS X 30; MB9
1181900990013; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 28 ; MB9
1181900990110; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS TRANS X 30; MB9
1181900990129; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS TRANS X 30; MB9
1181900400038; AZITROLAB; AZITROLAB; NOT FOUND; 900 MG  PO PREP EXTEMP CT FR VD AMB + FLAC X 15 ML; MB9
1181900400046; AZITROLAB; AZITROLAB; NOT FOUND; 600 MG  PO PREP EXTEMP CT  FR VD AMB + FLAC X 10 ML; MB9
1181900400062; AZITROLAB; AZITROLAB; NOT FOUND; 1000 MG COM REV CT  BL AL PLAS INC X 1; MB9
1181900400089; AZITROLAB; AZITROLAB; NOT FOUND; 500 MG COM REV CT  BL AL PLAS INC X 3; MB9
1181900400135; AZITROLAB; AZITROLAB; NOT FOUND; 500 MG COM REV CT  BL AL PLAS INC X 6; MB9
