1181900360044; OCYLIN; OCYLIN; NOT FOUND; 250 MG/5 ML PO SUS OR CT FR VD INC X 7.5 G (150 ML); MB9
1181900360036; OCYLIN; OCYLIN; NOT FOUND; 500 MG/5 ML PO SUS OR CT FR VD INC X 15 G (150 ML); MB9
1181900360222; OCYLIN; OCYLIN; NOT FOUND; 250 MG/5 ML PO SUS OR CT 24 FR VD AMB X 150 ML (EMB HOSP); MB9
1181900360214; OCYLIN; OCYLIN; NOT FOUND; 250 MG/5 ML PO SUS OR CX FR 50 VD AMB X 60 ML (EMB HOSP) ; MB9
1181900360052; OCYLIN; OCYLIN; NOT FOUND; 250 MG/5 ML PO SUS OR CT FR VD INC X 3.0 G (60 ML); MB9
1181900360095; OCYLIN; OCYLIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 10 ; MB9
1181900360079; OCYLIN; OCYLIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; MB9
1181900360235; OCYLIN; OCYLIN; NOT FOUND; 875 MG COM REV CT 2 BL AL PLAS INC X 7; MB9
1181900360184; OCYLIN; OCYLIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 (EMB HOSP); MB9
1181900360192; OCYLIN; OCYLIN; NOT FOUND;  500 MG CAP GEL DURA CT BL AL PLAS INC X 600 (EMB HOSP); MB9
2500001473799; OLEO MINERAL; OLEO MINERAL; NOT FOUND; FRASCO COM 100ML; MB9
