63199, ICTUS , ICTUS, NOT FOUND, CPR 12.5 MG x 30, BS2
77139, ICTUS , ICTUS, NOT FOUND, CPR 12.5 MG x 60, BS2
63203, ICTUS , ICTUS, NOT FOUND, CPR 25 MG x 30, BS2
77138, ICTUS , ICTUS, NOT FOUND, CPR 25 MG x 60, BS2
63201, ICTUS , ICTUS, NOT FOUND, CPR 3.12 MG x 30, BS2
77148, ICTUS , ICTUS, NOT FOUND, CPR 3.12 MG x 60, BS2
63202, ICTUS , ICTUS, NOT FOUND, CPR 6.25 MG x 30, BS2
77067, ICTUS , ICTUS, NOT FOUND, CPR 6.25 MG x 60, BS2
159356, INIPARET , INIPARET, NOT FOUND, CPR REVEST 10 MG x 14, BS2
159355, INIPARET , INIPARET, NOT FOUND, CPR REVEST 20 MG x 14, BS2
159354, INIPARET , INIPARET, NOT FOUND, CPR REVEST 20 MG x 28, BS2
