1177200030035; SOLUÇÃO RINGER SIMPLES; SOLUCAO RINGER SIMPLES; NOT FOUND; 1000 ML; EQX
1177200030027; SOLUÇÃO RINGER SIMPLES; SOLUCAO RINGER SIMPLES; NOT FOUND; 250 ML; EQX
1177200030017; SOLUÇÃO RINGER SIMPLES; SOLUCAO RINGER SIMPLES; NOT FOUND; 500 ML; EQX
1177200030086; SOLUÇÃO RINGER SIMPLES EQUIPLEX; SOLUCAO RINGER SIMPLES EQUIPLEX; NOT FOUND; 0.86G + 0.03G + 0.033G SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML ; EQX
1177200030061; SOLUÇÃO RINGER SIMPLES EQUIPLEX; SOLUCAO RINGER SIMPLES EQUIPLEX; NOT FOUND; 0.86G + 0.03G + 0.033G SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000 ML ; EQX
1177200030078; SOLUÇÃO RINGER SIMPLES EQUIPLEX; SOLUCAO RINGER SIMPLES EQUIPLEX; NOT FOUND; 0.86G + 0.03G + 0.033G SOL INJ IV CX 20 FR PLAS TRANS SIST FECH X 500 ML  ; EQX
1177200030051; SOLUÇÃO RINGER SIMPLES EQUIPLEX; SOLUCAO RINGER SIMPLES EQUIPLEX; NOT FOUND; 0.86G + 0.03G + 0.033G SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML  ; EQX
1177200030043; SOLUÇÃO RINGER SIMPLES EQUIPLEX; SOLUCAO RINGER SIMPLES EQUIPLEX; NOT FOUND; 0.86G + 0.03G + 0.033G SOL INJ IV CX 48 FR PLAS TRANS SIST FECH X 250 ML; EQX
1177200050028; SOLUÇÃO RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND; 1000 ML; EQX
1177200050036; SOLUÇÃO RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND; 250 ML; EQX
1177200050011; SOLUÇÃO RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND; 500 ML; EQX
1177200050052; SOLUÇÃO RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND; SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000 ML; EQX
1177200050079; SOLUÇÃO RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND; SOL INJ IV CX 20 FR PLAS TRANS SIST FECH X 500 ML ; EQX
1177200050044; SOLUÇÃO RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND; SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML; EQX
