1044000760053; AMPICILON; AMPICILON; NOT FOUND; PO P/ SUSP EM FR C/ 140 ML 250 MG SUSP; DLT
1044000760045; AMPICILON; AMPICILON; NOT FOUND; PO P/ SUSP EM FR C/ 60 ML 250 MG SUSP; DLT
1044000760037; AMPICILON; AMPICILON; NOT FOUND; CX C/ 12 CAPS 500 MG; DLT
1044000760010; AMPICILON; AMPICILON; NOT FOUND; CX C/ 6 CAPS 500 MG; DLT
1044001070069; AZITRIN; AZITRIN; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 2; DLT
1044001070050; AZITRIN; AZITRIN; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 3; DLT
1044000110016; AMIGDALOL; AMIGDALOL; NOT FOUND; CX C/ 20 PAST; DLT
1044000840014; AZILIV; AZILIV; NOT FOUND; CX C/ 10 COMP 150 MG; DLT
1044000840030; AZILIV; AZILIV; NOT FOUND; CX C/ 8 COMP 300 MG; DLT
1044001230023; ALERSIN; ALERSIN; NOT FOUND; FR C/ 75 ML SOL; DLT
1044001230015; ALERSIN; ALERSIN; NOT FOUND; CX C/ 6 COMP; DLT
1044000200044; APIRON; APIRON; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; DLT
1044000200036; APIRON; APIRON; NOT FOUND; 500 COM CT 50 STR X 4; DLT
1044000050025; ACERATUM; ACERATUM; NOT FOUND; SOL OTO CT FR PLAST OPC GOT X 10 ML; DLT
