511514401130411; CLAXAM; CLAXAM; NOT FOUND; 80 MG/ML + 11.4 MG/ML PO SUS OR CX FR VD AMB X 70 ML + DOSADOR ; SDZ
511514402110412; CLAXAM; CLAXAM; NOT FOUND; 875 MG + 125 MG COM REV CT FR PLAS X 14; SDZ
511514403117410; CLAXAM; CLAXAM; NOT FOUND; 875 MG + 125 MG COM REV CT FR PLAS X 20; SDZ
511516401111111; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; 16 MG COM CT BL AL/AL X 30; SDZ
511516402118118; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; 8 MG COM CT BL AL/AL X 30; SDZ
511514090059006; CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 16 MG + 12.5 MG COM CT BL AL AL X 30; SDZ
511501101117114; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT 2 BL AL PLAS INC X 15; SDZ
511501301116413; CAPTOTEC; CAPTOTEC; NOT FOUND; 12.5 MG COM CT BL AL PLAS INC X 30; SDZ
511501104116119; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT 3 BL AL PLAS INC X 10  ; SDZ
511501305111416; CAPTOTEC; CAPTOTEC; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; SDZ
511501105112117; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT 6 BL AL PLAS INC X 10  ; SDZ
511501306118414; CAPTOTEC; CAPTOTEC; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 60; SDZ
511501107115113; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT 3 BL AL PLAS INC X 10   ; SDZ
511501307114412; CAPTOTEC; CAPTOTEC; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; SDZ
511501108111111; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT 6 BL AL PLAS INC X 10  ; SDZ
511512902132117; CEFADROXILA; CEFADROXILA; CEFADROXILA; 100 MG/ML PO P/ SUS OR CT FR VD AMB X 100 ML + COL DOSAD; SDZ
511512901136119; CEFADROXILA; CEFADROXILA; CEFADROXILA; 50 MG/ML PO P/ SUS OR CT FR VD AMB X 100 ML + COL DOSAD; SDZ
511512903112111; CEFADROXILA; CEFADROXILA; CEFADROXILA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 08 ; SDZ
511510602115113; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PLAS INC X 10; SDZ
511510603111111; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP); SDZ
511510604118111; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PLAS INC X 40; SDZ
511510601119115; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 8; SDZ
511518801176118; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G XAMP CT FR PLAS OPC X 100 ML; SDZ
511512090055604; CETOPROX; CETOPROX; NOT FOUND; 20MG/G XAMP CT FR PLAS OPC X 100ML; SDZ
511514501119418; CINTAG; CINTAG; NOT FOUND; 200 MG COM CT BL AL PLAS AMB X 20 ; SDZ
511510202117119; CITALOPRAM; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT 3 BL AL PLAS INC X 10; SDZ
