1101300150040; CAMOXIN; CAMOXIN; NOT FOUND; 250 MG SUSP150 ML; GMK
1101300150075; CAMOXIN; CAMOXIN; NOT FOUND; 500 MG SUSP150 ML; GMK
1101300150091; CAMOXIN; CAMOXIN; NOT FOUND; 500 MG 21 CAPS; GMK
1101302720014; CEDUR; CEDUR; NOT FOUND; 200 MG COM REV CT BL AL PLAS INC X 20; GMK
1101302720022; CEDUR; CEDUR; NOT FOUND; 400 MG COM AP CT BL AL PLAS INC X 30; GMK
1101302390014; CARBOPLATINA; CARBOPLATINA; CARBOPLATINA; 150 MG PO LIOF P/ SOL INJ IV CT FA VD INC X 20 ML; GMK
1101302400011; CARBOPLATINA; CARBOPLATINA; CARBOPLATINA; 450 MG PO LIOF P/ SOL INJ IV CT FA VD INC X 100 ML; GMK
1101300480075; CEFACLER; CEFACLER; NOT FOUND; 250 MG/ML SUS FR X 80 ML; GMK
1101300480121; CEFACLER; CEFACLER; NOT FOUND; 375 MG/ML SUS FR X 80 ML; GMK
1101300480032; CEFACLER; CEFACLER; NOT FOUND; 500 MG CAP CX C/ 10; GMK
1101302430032; CEFTRIAXONA DISSÓDICA; CEFTRIAXONA DISSODICA; NOT FOUND; 1 G PO P/ SOL INJ IV CT 100 FA VD INC + 100 DIL AMP VD X 10 ML (EMB HOSP); GMK
1101302430016; CEFTRIAXONA DISSÓDICA; CEFTRIAXONA DISSODICA; NOT FOUND; 1 G PO P/ SOL INJ IV CT 25 FA VD INC + 25 DIL AMP VD X 10 ML (EMB HOSP); GMK
1101302430024; CEFTRIAXONA DISSÓDICA; CEFTRIAXONA DISSODICA; NOT FOUND; 1 G PO P/ SOL INJ IV CT 50 FA VD INC + 50 DIL AMP VD X 10 ML (EMB HOSP); GMK
1101302430040; CEFTRIAXONA DISSÓDICA; CEFTRIAXONA DISSODICA; NOT FOUND; 1 G PO P/ SOL INJ IV CT FA VD INC + DIL AMP VD X 10 ML ; GMK
1101302410041; CEFUROXIMA SÓDICA; CEFUROXIMA SODICA; CEFUROXIMA SODICA; 750 MG PO P/ SOL INJ CT 100 FA VD INC + 100 DIL AMP VD X 6 ML (EMB HOSP); GMK
1101302410023; CEFUROXIMA SÓDICA; CEFUROXIMA SODICA; CEFUROXIMA SODICA; 750 MG PO P/ SOL INJ CT 25 FA VD INC + 25 DIL AMP VD X 6 ML(EMB HOSP); GMK
1101302410031; CEFUROXIMA SÓDICA; CEFUROXIMA SODICA; CEFUROXIMA SODICA; 750 MG PO P/ SOL INJ CT 50 FA VD INC + 50 DIL AMP VD X 6 ML (EMB HOSP); GMK
1101302410015; CEFUROXIMA SÓDICA; CEFUROXIMA SODICA; CEFUROXIMA SODICA; 750 MG PO P/ SOL INJ CT  FA VD INC + DIL AMP VD X 6 ML; GMK
1101302540024; CELAMINA; CELAMINA; NOT FOUND; 10 MG/ML SOL TOP CT FR PLAS TRANS GOT X 30 ML; GMK
1101302540032; CELAMINA; CELAMINA; NOT FOUND; 10 MG/ML SOL TOP CT FR PLAS TRANS GOT X 10 ML; GMK
1101302540040; CELAMINA; CELAMINA; NOT FOUND; 10 MG/ML SOL TOP CT FR PLAS TRANS GOT X 20 ML; GMK
1101302540016; CELAMINA; CELAMINA; NOT FOUND; 10 MG/ML SOL TOP CT FR PLAS TRANS GOT X 15 ML; GMK
1101302540059; CELAMINA; CELAMINA; NOT FOUND; 10 MG/G CREM DERM CT BG AL REV X 20 G ; GMK
1101302540067; CELAMINA; CELAMINA; NOT FOUND; 10 MG/G CREM DERM CT BG AL REV X 10 G; GMK
1101302540083; CELAMINA; CELAMINA; NOT FOUND; 10 MG/G CREM DERM CT BG AL REV X 60 G; GMK
1101302540075; CELAMINA; CELAMINA; NOT FOUND; 10 MG/G CREM DERM CT BG AL REV X 30 G; GMK
1101302320016; CLORIDRATO DE DOXORRUBICINA; CLORIDRATO DOXORRUBICINA; CLORIDRATO DOXORRUBICINA; 10 MG PO LIOF P/ SOL INJ CT FA VD INC; GMK
1101302320024; CLORIDRATO DE DOXORRUBICINA; CLORIDRATO DOXORRUBICINA; CLORIDRATO DOXORRUBICINA; 50 MG PO LIOF P/ SOL INJ CT FA VD INC; GMK
1101302350020; CLORIDRATO DE IRINOTECANO; CLORIDRATO IRINOTECANO; CLORIDRATO IRINOTECANO; 20 MG/ML SOL INJ IV CT FA VD AMB X 5 ML  ; GMK
1101302350012; CLORIDRATO DE IRINOTECANO; CLORIDRATO IRINOTECANO; CLORIDRATO IRINOTECANO; 20 MG/ML SOL INJ IV CT FA VD AMB X 2 ML  ; GMK
1101302600019; CLOTRIGEL; CLOTRIGEL; NOT FOUND; 20 MG/G CREM VAG CT BG AL X 20 G + 3 APLIC; GMK
1101300320027; CLISTIN; CLISTIN; NOT FOUND; 1 MG/ML XPE CT FR VD AMB X 100 ML; GMK
1101300320019; CLISTIN; CLISTIN; NOT FOUND; 10 MG COM CT FR PLAS OPC X 12; GMK
